Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.975,5.56,24.8,2.27,0.16,0.65,0.444,0.42,0.3674,0.46,2.23,0.305,1.6,12.0,7.287999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,5.69,14.0,1.9,0.19,0.95,0.459,0.28,0.3966,1.1,3.0199999999999996,0.287,1.43,14.0,8.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.956,6.18,24.2,2.15,0.05,1.47,0.529,0.21,0.403,0.58,3.0060000000000002,0.309,1.35,15.8,7.087999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.965,5.21,27.0,2.9,0.21,1.23,0.473,0.38,0.3844,0.62,1.862,0.264,1.44,10.8,7.106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.966,4.78,24.4,3.73,0.05,0.98,0.457,0.39,0.3756,1.07,1.536,0.29,1.39,9.6,6.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.953,3.79,15.4,2.86,0.09,0.59,0.368,0.31,0.3468,0.95,2.002,0.262,0.9,8.8,6.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.967,4.14,20.8,1.81,0.25,0.58,0.408,0.2,0.34280000000000005,0.93,2.3280000000000003,0.28,1.08,12.8,7.632000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.977,4.79,15.0,2.04,0.32,0.57,0.448,0.33,0.3722,1.59,2.7039999999999997,0.299,1.67,14.6,7.093999999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,5.69,22.4,2.64,0.13,1.02,0.48,0.26,0.402,0.49,2.138,0.314,1.18,12.6,6.8340000000000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.972,4.25,20.6,1.27,0.11,0.39,0.384,0.21,0.3684,1.61,3.022,0.282,1.26,17.2,7.604000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.964,4.86,9.0,2.41,0.32,0.5,0.401,0.32,0.3944,1.04,2.1879999999999997,0.27,1.38,9.8,7.3740000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.956,4.89,15.6,3.44,0.18,1.07,0.458,0.38,0.3974,0.58,1.634,0.275,1.25,8.0,6.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.983,5.39,32.8,1.43,0.14,0.77,0.451,0.14,0.395,1.25,3.0160000000000005,0.301,1.33,16.0,8.264000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,4.18,18.8,2.8,0.16,0.47,0.361,0.42,0.3536,1.42,2.1740000000000004,0.257,1.02,10.4,7.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.957,5.93,23.2,3.85,0.21,0.82,0.455,0.32,0.398,2.0,1.366,0.293,1.4,5.8,7.378,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.976,3.46,27.4,2.45,0.07,0.42,0.376,0.22,0.3294,0.63,2.17,0.268,1.32,10.4,7.481999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.964,4.35,28.2,2.95,0.14,0.61,0.409,0.25,0.34680000000000005,1.0,2.002,0.282,1.12,8.6,7.206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,3.45,33.6,1.93,0.23,0.55,0.369,0.21,0.3356,0.96,2.604,0.25,0.98,13.4,7.5040000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968,4.34,20.2,1.92,0.17,0.51,0.379,0.47,0.35559999999999997,0.36,2.81,0.276,0.92,16.0,7.564000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.952,5.82,30.8,3.56,0.16,0.95,0.463,0.29,0.407,2.39,1.6920000000000002,0.291,1.23,9.2,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.968,4.27,27.2,3.27,0.17,0.28,0.38,0.6,0.3578,1.4,1.698,0.289,1.18,7.0,6.728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.964,4.77,15.4,2.17,0.16,0.8,0.45,0.27,0.375,0.82,2.4139999999999997,0.292,1.41,13.4,8.008000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.954,5.38,20.2,3.44,0.15,0.51,0.415,0.25,0.39299999999999996,0.96,1.562,0.302,1.25,8.4,6.678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973,4.28,20.2,4.01,0.11,0.8,0.415,0.33,0.3496,0.98,1.5599999999999998,0.266,1.24,4.8,6.475999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,4.27,15.6,2.47,0.11,0.73,0.421,0.21,0.3652,0.95,2.408,0.283,0.97,12.4,7.2540000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973,3.62,25.4,2.39,0.02,0.45,0.363,0.17,0.3378,0.92,2.3560000000000003,0.255,1.32,11.0,7.324000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.97,4.96,15.0,3.03,0.08,1.04,0.438,0.65,0.396,0.75,2.308,0.266,1.21,10.2,6.678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,4.32,15.8,2.73,0.25,0.51,0.392,0.2,0.3652,0.78,2.128,0.271,1.12,10.8,7.406000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.954,5.33,28.2,2.51,0.3,1.0,0.462,0.16,0.3742,0.65,2.15,0.283,1.26,9.8,6.946000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957,5.62,15.4,2.95,0.14,1.02,0.476,0.33,0.39,1.19,1.97,0.296,1.28,10.0,6.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.957,4.56,19.8,3.0,0.06,0.62,0.394,0.37,0.35840000000000005,1.52,2.0,0.26,1.37,8.6,7.786,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,5.42,19.0,2.07,0.07,0.98,0.447,0.36,0.39099999999999996,0.27,3.258,0.273,1.42,12.4,7.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.972,3.94,28.0,2.07,0.08,0.64,0.403,0.32,0.3356,1.44,2.604,0.279,1.26,13.4,7.890000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.965,5.69,13.0,3.28,0.14,0.82,0.434,0.57,0.395,0.39,2.0199999999999996,0.282,1.22,10.4,6.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.96,4.28,18.8,2.46,0.25,0.38,0.354,0.11,0.35280000000000006,1.11,2.044,0.255,1.02,10.4,7.260000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.962,4.78,15.4,2.2,0.22,0.63,0.411,0.41,0.3658,1.44,1.972,0.281,1.24,9.6,7.0680000000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.971,3.82,24.0,2.52,0.09,0.4,0.352,0.36,0.341,0.71,2.2520000000000002,0.262,1.02,10.2,7.197999999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.965,5.92,12.4,2.37,0.18,0.63,0.437,0.33,0.41,0.59,2.5420000000000003,0.317,1.02,10.2,6.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.952,4.2,16.6,3.83,0.16,0.48,0.403,0.26,0.3434,0.4,1.6,0.275,1.5,7.4,6.475999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.972,4.61,15.8,2.36,0.17,0.67,0.41,0.3,0.3552,1.96,2.2800000000000002,0.277,1.07,10.6,7.448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
