Rank,College,G,SB,CS,PG
262,Saint Peter's ,43,17,10,0.40
263,UAB ,59,23,7,0.39
264,Green Bay ,54,21,5,0.39
264,East Carolina ,54,21,8,0.39
266,Jacksonville St. ,60,23,8,0.38
267,UNC Greensboro ,59,22,3,0.37
268,Sacred Heart ,49,18,4,0.37
269,South Carolina St. ,30,11,2,0.37
270,Rhode Island ,44,16,11,0.36
271,Cal Poly ,50,18,11,0.36
272,Arkansas ,56,20,4,0.36
273,Robert Morris ,56,19,11,0.34
274,Miami ,58,18,6,0.31
275,Northwestern St. ,52,16,3,0.31
276,South Dakota ,53,15,5,0.28
277,Nevada ,47,13,4,0.28
278,Southern Miss. ,58,16,4,0.28
279,ETSU ,42,11,3,0.26
280,Kent St. ,59,14,6,0.24
281,Long Beach St. ,55,13,13,0.24
282,Alcorn ,46,10,5,0.22
283,Kansas ,51,11,4,0.22
284,Appalachian St. ,56,11,4,0.20
285,Niagara ,48,9,5,0.19
286,Chattanooga ,59,10,6,0.17
287,UTEP ,55,9,6,0.16
288,Austin Peay ,47,7,5,0.15
289,Cornell ,41,4,4,0.10
290,Stanford ,48,4,1,0.08
