Rank,College,G,AB,H,BA
1,San Diego St. ,49,"1,396",497,0.356
2,James Madison ,60,"1,582",549,0.347
3,Minnesota ,61,"1,611",552,0.343
4,Arizona ,61,"1,555",526,0.338
5,Georgia ,58,"1,537",519,0.338
6,Louisiana ,55,"1,455",483,0.332
7,Florida St. ,64,"1,646",541,0.329
8,Boise St. ,53,"1,480",484,0.327
9,Oregon ,62,"1,576",513,0.326
10,New Mexico St. ,54,"1,444",470,0.325
11,BYU ,60,"1,492",483,0.324
12,Michigan ,57,"1,500",485,0.323
13,Baylor ,63,"1,703",546,0.321
14,UCLA ,63,"1,691",540,0.319
15,Weber St. ,60,"1,681",536,0.319
16,Utah ,53,"1,400",445,0.318
17,Alabama St. ,57,"1,488",471,0.317
18,Tennessee ,60,"1,525",482,0.316
19,St. John's ,48,"1,310",413,0.315
20,Washington ,64,"1,701",535,0.315
21,Fordham ,63,"1,670",522,0.313
22,Oklahoma ,70,"1,944",605,0.311
23,Michigan St. ,58,"1,526",474,0.311
24,Utah Valley ,40,"1,077",334,0.310
25,Utah St. ,51,"1,394",431,0.309
26,Marshall ,54,"1,448",446,0.308
27,Syracuse ,50,"1,382",425,0.308
28,Idaho St. ,46,"1,228",376,0.306
29,South Dakota ,54,"1,418",434,0.306
30,Wichita St. ,52,"1,425",436,0.306
31,Liberty ,72,"1,815",554,0.305
32,Illinois ,59,"1,605",487,0.303
33,Col. of Charleston ,56,"1,509",457,0.303
34,Kennesaw St. ,60,"1,668",505,0.303
35,George Washington ,52,"1,410",426,0.302
36,Houston ,55,"1,449",437,0.302
37,Jacksonville St. ,53,"1,455",438,0.301
38,Georgia St. ,61,"1,691",508,0.300
39,Marist ,59,"1,662",499,0.300
40,Charlotte ,53,"1,359",408,0.300
41,Dayton ,56,"1,499",450,0.300
42,Belmont ,57,"1,574",472,0.300
43,LIU ,52,"1,384",415,0.300
44,Notre Dame ,57,"1,543",462,0.299
45,Villanova ,55,"1,513",453,0.299
46,Florida ,68,"1,727",517,0.299
47,Eastern Ky. ,58,"1,541",461,0.299
48,Bethune-Cookman ,57,"1,481",443,0.299
49,Texas A&M ,60,"1,488",443,0.298
50,Louisville ,50,"1,381",411,0.298
51,Seattle U ,52,"1,473",438,0.297
52,Saint Francis ,61,"1,612",479,0.297
53,Illinois St. ,57,"1,541",457,0.297
54,Princeton ,45,"1,213",359,0.296
55,Penn ,40,"1,137",336,0.296
56,Albany ,47,"1,154",341,0.295
57,Oregon St. ,55,"1,462",432,0.295
58,Ark.-Pine Bluff ,44,"1,127",333,0.295
59,North Florida ,58,"1,592",470,0.295
60,Southern U. ,39,986,291,0.295
61,UTEP ,48,"1,265",373,0.295
62,McNeese ,61,"1,591",469,0.295
63,Ole Miss ,63,"1,683",495,0.294
64,UTSA ,53,"1,465",430,0.294
65,Mount St. Mary's ,51,"1,350",396,0.293
66,Providence ,48,"1,276",374,0.293
67,UT Martin ,59,"1,546",453,0.293
68,Delaware ,53,"1,413",413,0.292
69,New Mexico ,50,"1,325",387,0.292
70,Murray St. ,56,"1,528",446,0.292
71,San Jose St. ,56,"1,463",427,0.292
72,Jackson St. ,48,"1,199",349,0.291
73,Western Mich. ,54,"1,477",429,0.290
74,Campbell ,58,"1,598",464,0.290
75,Wagner ,47,"1,241",360,0.290
76,USC Upstate ,58,"1,515",439,0.290
77,IUPUI ,54,"1,506",436,0.290
78,LSU ,70,"1,790",518,0.289
79,Lehigh ,56,"1,524",441,0.289
80,Ohio St. ,53,"1,415",409,0.289
81,Stetson ,47,"1,253",362,0.289
82,North Carolina ,61,"1,608",464,0.289
83,Central Mich. ,52,"1,395",402,0.288
84,UCF ,52,"1,354",390,0.288
85,Oklahoma St. ,63,"1,592",458,0.288
86,Alcorn ,47,"1,220",350,0.287
87,Memphis ,56,"1,494",428,0.286
88,Nicholls St. ,57,"1,492",427,0.286
89,CSUN ,53,"1,382",395,0.286
90,Nevada ,55,"1,487",425,0.286
91,ETSU ,55,"1,452",414,0.285
92,Seton Hall ,48,"1,292",367,0.284
93,Arkansas ,55,"1,430",406,0.284
94,FIU ,61,"1,544",437,0.283
95,UC Santa Barbara ,59,"1,584",448,0.283
95,Robert Morris ,52,"1,386",392,0.283
97,Towson ,50,"1,372",388,0.283
98,Chattanooga ,55,"1,351",382,0.283
99,Louisiana Tech ,62,"1,606",454,0.283
100,Missouri St. ,49,"1,249",353,0.283
101,Southeast Mo. St. ,50,"1,327",375,0.283
102,Kentucky ,58,"1,526",431,0.282
103,Hawaii ,52,"1,353",382,0.282
104,Cornell ,42,"1,176",332,0.282
105,UIC ,61,"1,612",455,0.282
106,Ohio ,62,"1,574",444,0.282
107,Indiana St. ,53,"1,423",401,0.282
108,Fresno St. ,58,"1,512",426,0.282
109,Northern Ill. ,54,"1,438",405,0.282
110,Stony Brook ,47,"1,230",346,0.281
111,Boston College ,53,"1,401",394,0.281
112,Mississippi St. ,58,"1,554",437,0.281
113,UT Arlington ,60,"1,565",440,0.281
114,Virginia Tech ,53,"1,410",396,0.281
115,Dartmouth ,40,"1,051",295,0.281
116,Kansas City ,55,"1,347",378,0.281
117,Harvard ,41,"1,095",307,0.280
118,Missouri ,57,"1,495",419,0.280
119,Canisius ,53,"1,438",403,0.280
120,UMBC ,52,"1,410",395,0.280
121,San Diego ,46,"1,214",340,0.280
122,Kansas ,52,"1,354",379,0.280
123,Montana ,59,"1,608",450,0.280
124,Wisconsin ,52,"1,352",376,0.278
125,SIUE ,54,"1,381",384,0.278
126,Binghamton ,47,"1,212",337,0.278
127,Texas ,59,"1,601",445,0.278
128,Virginia ,54,"1,463",406,0.278
129,Auburn ,61,"1,577",437,0.277
130,Southern Utah ,46,"1,184",328,0.277
131,Sam Houston St. ,51,"1,301",360,0.277
132,Columbia ,48,"1,256",347,0.276
133,Tulsa ,58,"1,571",434,0.276
134,Brown ,45,"1,166",322,0.276
135,UNCW ,56,"1,422",392,0.276
136,Prairie View ,48,"1,194",329,0.276
137,Texas Southern ,46,"1,151",317,0.275
138,Georgetown ,48,"1,272",350,0.275
139,Omaha ,45,"1,163",320,0.275
140,Mercer ,57,"1,494",411,0.275
141,Pacific ,54,"1,382",380,0.275
142,Fla. Atlantic ,56,"1,456",400,0.275
143,UNI ,52,"1,376",378,0.275
144,Jacksonville ,55,"1,436",394,0.274
145,Boston U. ,52,"1,444",396,0.274
146,Arizona St. ,53,"1,354",371,0.274
147,Hofstra ,50,"1,230",337,0.274
148,UNLV ,52,"1,373",376,0.274
149,Rutgers ,51,"1,304",357,0.274
150,South Carolina ,59,"1,469",402,0.274
151,Army West Point ,57,"1,502",410,0.273
152,DePaul ,52,"1,374",375,0.273
153,Butler ,52,"1,320",360,0.273
154,Colgate ,44,"1,126",307,0.273
155,Eastern Ill. ,49,"1,300",354,0.272
156,Bucknell ,43,"1,172",319,0.272
157,Alabama ,64,"1,606",437,0.272
158,South Alabama ,55,"1,407",382,0.271
159,Nebraska ,53,"1,352",367,0.271
160,Stanford ,51,"1,338",363,0.271
161,Bradley ,53,"1,379",374,0.271
162,Lamar University ,65,"1,659",449,0.271
163,Massachusetts ,53,"1,405",380,0.270
164,Miami ,53,"1,333",360,0.270
165,NC State ,56,"1,471",397,0.270
166,Southeastern La. ,55,"1,365",368,0.270
167,Western Ill. ,54,"1,480",399,0.270
168,Drexel ,49,"1,291",348,0.270
169,Indiana ,54,"1,343",361,0.269
170,Furman ,54,"1,414",380,0.269
171,Winthrop ,58,"1,520",408,0.268
172,Wright St. ,52,"1,306",350,0.268
173,UC Davis ,54,"1,474",394,0.267
174,Southern Miss. ,53,"1,366",365,0.267
175,Niagara ,45,"1,248",333,0.267
176,Sacramento St. ,50,"1,323",353,0.267
177,Cal St. Fullerton ,58,"1,571",419,0.267
178,Akron ,57,"1,411",376,0.266
179,Colorado St. ,50,"1,336",356,0.266
180,Samford ,61,"1,633",435,0.266
181,Hampton ,45,"1,172",312,0.266
182,Western Caro. ,48,"1,240",330,0.266
182,Delaware St. ,48,"1,240",330,0.266
184,Fairfield ,54,"1,386",367,0.265
185,UC Riverside ,52,"1,364",361,0.265
186,South Fla. ,56,"1,470",389,0.265
187,Elon ,53,"1,366",361,0.264
188,Holy Cross ,43,"1,113",294,0.264
189,Grambling ,45,"1,053",277,0.263
190,Youngstown St. ,59,"1,539",404,0.263
191,Ga. Southern ,53,"1,345",353,0.262
192,Cal Poly ,59,"1,551",407,0.262
193,Iona ,51,"1,350",354,0.262
194,Saint Joseph's ,53,"1,419",372,0.262
195,Manhattan ,55,"1,452",380,0.262
196,Yale ,45,"1,143",299,0.262
197,South Dakota St. ,54,"1,438",376,0.261
198,Bowling Green ,56,"1,466",383,0.261
199,Quinnipiac ,50,"1,310",342,0.261
200,Pittsburgh ,47,"1,258",328,0.261
201,Purdue ,56,"1,412",368,0.261
202,Alabama A&M ,48,"1,232",321,0.261
203,Maine ,46,"1,117",291,0.261
204,Coastal Carolina ,55,"1,302",339,0.260
205,Maryland ,51,"1,374",357,0.260
206,Lipscomb ,56,"1,467",381,0.260
207,LMU ,51,"1,298",337,0.260
208,Detroit Mercy ,52,"1,358",352,0.259
209,Green Bay ,35,903,234,0.259
210,Oakland ,46,"1,212",314,0.259
211,Eastern Mich. ,51,"1,282",332,0.259
212,Creighton ,50,"1,275",330,0.259
213,California ,56,"1,426",369,0.259
214,Valparaiso ,51,"1,345",348,0.259
215,Morehead St. ,48,"1,200",310,0.258
