Rank,College,G,HR,PG
1,Louisiana ,54,116,2.15
2,Oklahoma ,58,107,1.84
3,USC Upstate ,54,94,1.74
4,North Carolina ,53,92,1.74
5,Michigan ,68,118,1.74
6,Arizona ,61,104,1.70
7,Georgia St. ,60,102,1.70
8,New Mexico St. ,63,103,1.63
9,UTSA ,54,85,1.57
10,Tennessee ,64,100,1.56
11,Northwestern St. ,54,82,1.52
12,Savannah St. ,39,58,1.49
13,Auburn ,67,99,1.48
14,Coastal Carolina ,57,84,1.47
15,Washington ,59,86,1.46
16,Ohio St. ,52,75,1.44
17,South Dakota ,54,77,1.43
18,UCLA ,63,89,1.41
19,Longwood ,59,83,1.41
20,Arizona St. ,58,81,1.40
21,Oregon ,59,81,1.37
22,Missouri ,58,79,1.36
23,Stony Brook ,47,64,1.36
24,Cleveland St. ,52,70,1.35
25,Minnesota ,60,80,1.33
26,Illinois ,53,68,1.28
27,Maryland ,54,69,1.28
28,DePaul ,46,58,1.26
29,Illinois St. ,56,70,1.25
29,NC State ,60,75,1.25
31,Northwestern ,51,61,1.20
32,Florida ,67,80,1.19
33,Virginia Tech ,57,65,1.14
34,Seton Hall ,53,60,1.13
35,Bryant ,49,55,1.12
36,IUPUI ,51,57,1.12
37,Texas A&M ,60,67,1.12
38,Northern Colo. ,43,48,1.12
39,Texas St. ,53,59,1.11
40,San Diego St. ,58,63,1.09
41,Hofstra ,53,56,1.06
42,Jacksonville St. ,55,58,1.05
43,Charleston So. ,59,62,1.05
44,Tennessee Tech ,61,64,1.05
45,Rutgers ,49,51,1.04
46,Hawaii ,54,56,1.04
47,Saint Louis ,54,55,1.02
48,Texas ,55,56,1.02
49,South Carolina ,60,60,1.00
49,Georgia ,61,61,1.00
49,Kent St. ,54,54,1.00
52,Virginia ,56,55,0.98
53,Kansas ,55,54,0.98
54,North Texas ,50,49,0.98
54,UNI ,50,49,0.98
56,Manhattan ,46,45,0.98
57,Binghamton ,45,44,0.98
58,Alabama ,63,61,0.97
59,Notre Dame ,57,55,0.96
60,Furman ,56,54,0.96
61,Kansas City ,55,53,0.96
62,Texas Tech ,51,49,0.96
63,Chattanooga ,50,48,0.96
64,Ball St. ,59,56,0.95
65,Providence ,39,37,0.95
66,James Madison ,58,55,0.95
67,Mississippi St. ,57,54,0.95
68,North Dakota St. ,56,53,0.95
69,UNLV ,55,52,0.95
70,South Dakota St. ,52,49,0.94
70,Idaho St. ,52,49,0.94
72,LSU ,66,62,0.94
73,Sam Houston St. ,47,44,0.94
74,Syracuse ,46,43,0.93
75,Utah Valley ,59,55,0.93
76,Troy ,55,51,0.93
77,Louisiana Tech ,50,46,0.92
78,Appalachian St. ,49,45,0.92
79,California ,57,52,0.91
80,Indiana ,56,51,0.91
81,Massachusetts ,43,39,0.91
82,Eastern Ky. ,52,47,0.90
83,Nebraska ,58,52,0.90
83,Fordham ,58,52,0.90
85,LMU ,54,48,0.89
86,Oregon St. ,52,46,0.88
87,Dartmouth ,43,38,0.88
88,UAB ,51,45,0.88
89,Pittsburgh ,59,52,0.88
90,Saint Joseph's ,41,36,0.88
91,Louisville ,49,43,0.88
92,ETSU ,48,42,0.88
93,Ole Miss ,55,48,0.87
93,Missouri St. ,55,48,0.87
95,La Salle ,37,32,0.86
96,Oakland ,51,44,0.86
97,Stetson ,50,43,0.86
98,Towson ,57,49,0.86
98,Murray St. ,57,49,0.86
100,Samford ,55,47,0.85
100,North Dakota ,55,47,0.85
102,BYU ,54,46,0.85
103,UNC Greensboro ,47,40,0.85
104,Drake ,53,45,0.85
105,Southeast Mo. St. ,46,39,0.85
106,Kennesaw St. ,51,43,0.84
107,Albany ,48,40,0.83
107,Tulsa ,54,45,0.83
107,Youngstown St. ,48,40,0.83
110,Northern Ill. ,53,44,0.83
111,McNeese ,56,46,0.82
112,Eastern Mich. ,50,41,0.82
113,Creighton ,43,35,0.81
114,Mercer ,59,48,0.81
115,LIU ,53,43,0.81
116,Florida St. ,63,51,0.81
117,Penn St. ,57,46,0.81
118,Fairleigh Dickinson ,36,29,0.81
119,Campbell ,55,44,0.80
120,New Mexico ,54,43,0.80
120,Marist ,54,43,0.80
122,Kentucky ,58,46,0.79
123,Colgate ,38,30,0.79
124,Austin Peay ,46,36,0.78
125,UT Martin ,50,39,0.78
126,CSUN ,58,45,0.78
127,Wichita St. ,57,44,0.77
128,Long Beach St. ,52,40,0.77
129,Jacksonville ,56,43,0.77
130,Utah ,55,42,0.76
130,Evansville ,55,42,0.76
132,Boise St. ,54,41,0.76
133,Baylor ,58,44,0.76
134,Radford ,49,37,0.76
135,Iona ,44,33,0.75
136,Houston ,55,41,0.75
136,UT Arlington ,55,41,0.75
138,Western Mich. ,51,38,0.75
139,St. John's ,47,35,0.74
140,Iowa St. ,54,40,0.74
141,Detroit Mercy ,50,37,0.74
141,Presbyterian ,50,37,0.74
143,Green Bay ,46,34,0.74
144,Delaware ,53,39,0.74
144,UTEP ,53,39,0.74
146,Utah St. ,55,40,0.73
147,Stanford ,54,39,0.72
148,Western Caro. ,53,38,0.72
149,Southern Ill. ,48,34,0.71
150,Charlotte ,51,36,0.71
151,Georgia Tech ,50,35,0.70
152,South Alabama ,53,37,0.70
153,Michigan St. ,55,38,0.69
154,Eastern Ill. ,48,33,0.69
154,Robert Morris ,48,33,0.69
156,Weber St. ,57,39,0.68
157,Central Ark. ,56,38,0.68
158,Wagner ,34,23,0.68
159,Southeastern La. ,52,35,0.67
159,Seattle U ,52,35,0.67
161,Butler ,51,34,0.67
162,UCF ,59,39,0.66
163,Saint Mary's ,53,35,0.66
164,N.C. Central ,45,29,0.64
165,Loyola Chicago ,50,32,0.64
166,Mount St. Mary's ,44,28,0.64
166,Delaware St. ,44,28,0.64
168,Nevada ,53,33,0.62
169,Gardner-Webb ,50,31,0.62
170,Rider ,47,29,0.62
171,SIUE ,59,36,0.61
172,Lipscomb ,56,34,0.61
173,Texas Southern ,43,26,0.60
174,Central Mich. ,50,30,0.60
175,Iowa ,59,35,0.59
176,UMBC ,49,29,0.59
177,SFA ,51,30,0.59
177,Valparaiso ,51,30,0.59
179,Morehead St. ,46,27,0.59
180,Arkansas ,53,31,0.58
181,Southern Utah ,50,29,0.58
181,Saint Francis ,50,29,0.58
183,Oklahoma St. ,52,30,0.58
184,Saint Peter's ,42,24,0.57
185,Winthrop ,51,29,0.57
185,Ga. Southern ,51,29,0.57
187,Harvard ,44,25,0.57
187,Maine ,44,25,0.57
189,Dayton ,53,30,0.57
190,Bowling Green ,48,27,0.56
191,Montana ,50,28,0.56
192,Alabama St. ,54,30,0.56
193,Colorado St. ,56,31,0.55
193,San Jose St. ,56,31,0.55
195,Ohio ,47,26,0.55
196,Siena ,49,27,0.55
197,Boston College ,51,28,0.55
198,Pacific ,55,30,0.55
199,Liberty ,59,32,0.54
200,Buffalo ,50,27,0.54
201,East Carolina ,53,28,0.53
202,Penn ,42,22,0.52
202,Drexel ,42,22,0.52
204,La.-Monroe ,52,27,0.52
205,FIU ,54,28,0.52
206,Fresno St. ,56,29,0.52
206,Wright St. ,56,29,0.52
208,UConn ,53,27,0.51
209,North Florida ,59,30,0.51
210,South Fla. ,56,28,0.50
210,Bradley ,54,27,0.50
212,Col. of Charleston ,53,26,0.49
213,Cornell ,41,20,0.49
214,UC Santa Barbara ,54,26,0.48
215,San Diego ,52,25,0.48
216,Western Ky. ,50,24,0.48
217,Elon ,53,25,0.47
218,Akron ,51,24,0.47
218,Portland St. ,51,24,0.47
220,A&M-Corpus Christi ,49,23,0.47
221,Cal St. Fullerton ,56,26,0.46
221,Purdue ,56,26,0.46
223,Toledo ,56,25,0.45
224,Brown ,34,15,0.44
225,George Washington ,48,21,0.44
226,UC Riverside ,56,24,0.43
227,Sacramento St. ,54,23,0.43
228,Ark.-Pine Bluff ,40,17,0.43
229,George Mason ,52,22,0.42
230,Canisius ,45,19,0.42
230,Central Conn. St. ,45,19,0.42
232,Quinnipiac ,50,21,0.42
233,Alabama A&M ,43,18,0.42
234,Monmouth ,44,18,0.41
235,Tennessee St. ,48,19,0.40
236,Morgan St. ,38,15,0.39
237,CSU Bakersfield ,46,18,0.39
238,Western Ill. ,41,16,0.39
238,Norfolk St. ,41,16,0.39
240,Fla. Atlantic ,59,23,0.39
241,Villanova ,54,21,0.39
241,Lamar University ,54,21,0.39
243,Fairfield ,49,19,0.39
244,Cal Poly ,55,21,0.38
245,Santa Clara ,50,19,0.38
246,Indiana St. ,58,22,0.38
247,Hampton ,48,18,0.38
248,Howard ,43,16,0.37
249,Southern U. ,30,11,0.37
250,Columbia ,44,16,0.36
251,Georgetown ,47,17,0.36
252,Coppin St. ,36,13,0.36
253,Marshall ,50,18,0.36
254,St. Bonaventure ,39,14,0.36
255,Princeton ,42,15,0.36
256,Houston Baptist ,45,16,0.36
257,Middle Tenn. ,51,18,0.35
258,N.C. A&T ,46,16,0.35
258,UIC ,46,16,0.35
260,Lehigh ,49,17,0.35
260,Mississippi Val. ,49,17,0.35
262,Bucknell ,55,19,0.35
263,Sacred Heart ,44,15,0.34
264,Memphis ,53,18,0.34
264,FGCU ,53,18,0.34
266,Miami ,56,19,0.34
267,Army West Point ,51,17,0.33
267,South Carolina St. ,36,12,0.33
267,Prairie View ,36,12,0.33
270,Holy Cross ,28,9,0.32
271,Nicholls St. ,48,15,0.31
272,Southern Miss. ,52,15,0.29
273,UC Davis ,49,14,0.29
274,Purdue Fort Wayne ,48,13,0.27
275,Bethune-Cookman ,51,13,0.25
276,Boston U. ,44,11,0.25
277,Belmont ,45,11,0.24
278,Florida A&M ,57,13,0.23
279,Wisconsin ,52,11,0.21
280,Yale ,34,7,0.21
281,Rhode Island ,44,9,0.20
282,UNCW ,46,9,0.20
282,Hartford ,46,9,0.20
284,Jackson St. ,50,9,0.18
285,UMES ,39,7,0.18
286,Grambling ,38,6,0.16
287,Lafayette ,41,5,0.12
288,Alcorn ,33,4,0.12
289,Niagara ,44,5,0.11
