Rank,College,G,SB,CS,PG
1,James Madison ,59,139,40,2.36
2,Marshall ,58,130,33,2.24
3,UMES ,47,104,31,2.21
4,Purdue ,55,120,28,2.18
5,Texas ,61,126,27,2.07
6,Florida A&M ,52,105,19,2.02
7,UCF ,54,109,37,2.02
8,Mississippi St. ,57,114,32,2.00
8,Indiana St. ,50,100,27,2.00
10,Campbell ,60,118,24,1.97
11,Alabama ,60,116,16,1.93
12,Albany ,52,99,25,1.90
13,Lipscomb ,59,112,24,1.90
14,Western Ill. ,37,67,8,1.81
15,Jackson St. ,57,102,35,1.79
16,Tennessee ,64,114,18,1.78
17,Wisconsin ,57,101,24,1.77
18,Baylor ,59,103,17,1.75
19,Binghamton ,47,82,22,1.74
20,Drake ,49,85,18,1.73
21,Minnesota ,55,95,17,1.73
22,Texas Southern ,49,84,10,1.71
23,Louisiana Tech ,53,90,23,1.70
24,Georgia Tech ,55,93,18,1.69
25,Alabama St. ,47,79,14,1.68
26,Evansville ,53,89,20,1.68
27,Florida ,67,112,17,1.67
28,UC Riverside ,55,90,25,1.64
29,Fresno St. ,54,87,6,1.61
29,FGCU ,54,87,15,1.61
31,Eastern Ky. ,56,90,23,1.61
32,Alabama A&M ,38,61,10,1.61
33,Iowa St. ,55,88,12,1.60
34,UT Martin ,57,91,29,1.60
35,Saint Louis ,51,80,17,1.57
36,Purdue Fort Wayne ,50,77,17,1.54
37,BYU ,58,89,9,1.53
38,Georgia ,61,93,18,1.52
39,Harvard ,44,67,12,1.52
40,La.-Monroe ,54,81,25,1.50
40,LSU ,58,87,16,1.50
42,Central Mich. ,53,79,28,1.49
43,Seton Hall ,51,76,18,1.49
44,Fairfield ,50,72,18,1.44
45,Georgia St. ,55,78,17,1.42
46,Ole Miss ,56,79,19,1.41
47,Maryland ,57,80,10,1.40
48,Auburn ,53,74,19,1.40
49,Illinois ,49,68,10,1.39
50,Boston College ,52,72,15,1.38
51,Notre Dame ,58,80,18,1.38
52,Toledo ,53,73,17,1.38
53,Oregon ,61,82,22,1.34
53,Western Ky. ,61,82,13,1.34
55,Longwood ,61,81,21,1.33
55,Army West Point ,61,81,14,1.33
57,Elon ,52,69,5,1.33
57,UC Davis ,52,69,15,1.33
59,Kansas City ,45,59,13,1.31
60,Coastal Carolina ,59,77,10,1.31
61,Holy Cross ,44,57,22,1.30
62,IUPUI ,49,63,13,1.29
63,Boston U. ,48,61,7,1.27
64,North Texas ,53,67,8,1.26
64,Bethune-Cookman ,53,67,11,1.26
66,South Dakota ,48,60,11,1.25
67,Penn ,50,61,10,1.22
68,George Washington ,50,60,22,1.20
69,Oakland ,31,37,11,1.19
70,Saint Joseph's ,48,57,17,1.19
71,Cal St. Fullerton ,56,65,21,1.16
72,Syracuse ,52,60,4,1.15
73,South Carolina ,59,68,10,1.15
74,Sam Houston St. ,61,70,12,1.15
75,Alcorn ,41,47,10,1.15
76,North Dakota St. ,49,56,24,1.14
77,Missouri ,52,59,15,1.13
77,Idaho St. ,52,59,14,1.13
79,Oklahoma ,61,69,17,1.13
80,Saint Francis ,55,62,20,1.13
81,Marist ,56,63,17,1.13
81,Rutgers ,56,63,16,1.13
83,Ohio ,57,64,22,1.12
83,Liberty ,57,64,18,1.12
85,Massachusetts ,43,48,10,1.12
86,Troy ,53,59,13,1.11
87,Akron ,51,56,24,1.10
88,Kentucky ,62,68,11,1.10
89,Missouri St. ,52,57,20,1.10
90,Florida St. ,63,69,13,1.10
90,Prairie View ,42,46,8,1.10
92,Texas St. ,56,60,9,1.07
93,Delaware ,57,61,22,1.07
94,Mercer ,53,56,10,1.06
95,UNC Greensboro ,57,60,13,1.05
96,Buffalo ,48,50,17,1.04
97,Tennessee St. ,49,51,10,1.04
98,Norfolk St. ,53,55,3,1.04
99,San Jose St. ,59,61,14,1.03
100,Hampton ,60,62,14,1.03
100,Stanford ,60,62,13,1.03
100,Texas A&M ,60,62,15,1.03
103,South Fla. ,61,63,19,1.03
104,Rhode Island ,47,48,13,1.02
105,Virginia ,49,50,16,1.02
106,USC Upstate ,54,54,13,1.00
106,Northern Colo. ,47,47,13,1.00
