Rank,College,G,W-L,AB,H,BA
233,Saint Louis ,51,28-23,"1,352",329,0.243
234,Florida A&M ,52,20-32,"1,288",313,0.243
235,Wichita St. ,52,19-33,"1,310",318,0.243
236,Colgate ,48,16-32,"1,297",314,0.242
237,Mount St. Mary's ,46,16-30,"1,133",274,0.242
238,South Carolina St. ,43,16-27,"1,072",259,0.242
239,CSUN ,56,25-31,"1,389",335,0.241
240,IUPUI ,49,18-31,"1,262",304,0.241
241,Evansville ,53,23-30,"1,379",332,0.241
242,Tennessee St. ,49,14-35,"1,207",290,0.240
243,Wagner ,49,12-37,"1,274",306,0.240
244,Oakland ,31,7-23-1,851,204,0.240
245,Towson ,59,30-28-1,"1,494",357,0.239
246,Pittsburgh ,48,19-29,"1,246",296,0.238
247,Rhode Island ,47,10-37,"1,196",284,0.237
248,Western Caro. ,56,20-36,"1,415",336,0.237
249,UC Davis ,52,25-27,"1,331",316,0.237
250,Utah St. ,54,11-43,"1,365",324,0.237
251,Indiana ,54,19-35,"1,377",326,0.237
252,Virginia ,49,21-28,"1,211",286,0.236
253,UNCW ,53,16-37,"1,372",324,0.236
254,Charleston So. ,55,15-40,"1,338",314,0.235
255,Morgan St. ,43,8-35,"1,038",242,0.233
256,Bucknell ,51,21-30,"1,282",298,0.232
257,Memphis ,60,24-36,"1,577",365,0.231
258,A&M-Corpus Christi ,50,11-39,"1,318",305,0.231
259,La Salle ,47,16-31,"1,160",265,0.228
260,Kent St. ,49,27-21-1,"1,312",298,0.227
261,Wright St. ,56,19-37,"1,358",308,0.227
262,Syracuse ,52,23-29,"1,339",303,0.226
263,Buffalo ,48,16-32,"1,242",281,0.226
264,UT Arlington ,53,25-28,"1,392",314,0.226
265,Ark.-Pine Bluff ,42,14-28,"1,002",226,0.226
266,Detroit Mercy ,50,5-45,"1,225",276,0.225
267,SFA ,48,16-32,"1,178",263,0.223
268,UCF ,54,29-25,"1,340",298,0.222
269,Ga. Southern ,63,33-30,"1,681",373,0.222
270,CSU Bakersfield ,49,15-34,"1,181",262,0.222
271,George Mason ,55,18-37,"1,425",316,0.222
272,Hartford ,55,21-34,"1,418",313,0.221
273,Middle Tenn. ,54,7-47,"1,299",285,0.219
274,Weber St. ,48,10-38,"1,219",267,0.219
275,N.C. Central ,49,5-44,"1,112",243,0.219
276,Samford ,52,17-35,"1,321",287,0.217
277,North Dakota ,40,10-30,977,212,0.217
278,La.-Monroe ,54,19-35,"1,278",277,0.217
279,Brown ,38,10-28,947,205,0.216
280,Howard ,36,3-33,809,174,0.215
281,Southern U. ,48,5-43,"1,100",235,0.214
282,Southern Miss. ,55,14-41,"1,384",295,0.213
283,Bowling Green ,51,28-23,"1,268",270,0.213
284,Maine ,47,8-39,"1,272",269,0.211
285,Alcorn ,41,8-33,936,195,0.208
286,Saint Mary's ,51,20-31,"1,301",271,0.208
287,Drexel ,50,14-36,"1,295",267,0.206
288,Lafayette ,53,11-42,"1,287",261,0.203
289,Santa Clara ,54,8-46,"1,261",254,0.201
