Rank,College,W,L,T,PCT
1,Florida ,60,7,0,0.896
2,Michigan ,60,8,0,0.882
3,Oregon ,51,8,0,0.864
4,UCF ,50,9,0,0.847
5,Oklahoma ,49,9,0,0.845
6,Auburn ,56,11,0,0.836
7,James Madison ,48,10,0,0.828
8,Minnesota ,49,11,0,0.817
9,Lehigh ,40,9,0,0.816
10,USC Upstate ,44,10,0,0.815
11,UCLA ,51,12,0,0.810
12,North Dakota St. ,45,11,0,0.804
13,LSU ,52,14,0,0.788
14,Florida St. ,49,14,0,0.778
14,Louisiana ,42,12,0,0.778
16,Alabama ,48,15,0,0.762
17,Kent St. ,41,13,0,0.759
18,South Alabama ,40,13,0,0.755
19,New Mexico St. ,47,16,0,0.746
20,BYU ,40,14,0,0.741
21,Notre Dame ,42,15,0,0.737
22,Dayton ,39,14,0,0.736
23,Tennessee ,47,17,0,0.734
24,SIUE ,43,16,0,0.729
25,Kansas ,40,15,0,0.727
26,Hofstra ,38,14,1,0.726
27,Missouri ,42,16,0,0.724
28,Georgia ,44,17,0,0.721
29,Western Ky. ,36,14,0,0.720
30,Fresno St. ,40,16,0,0.714
31,Washington ,42,17,0,0.712
32,Baylor ,41,17,0,0.707
32,CSUN ,41,17,0,0.707
34,Marshall ,35,15,0,0.700
34,Chattanooga ,35,15,0,0.700
36,North Carolina ,37,16,0,0.698
37,UC Riverside ,39,17,0,0.696
38,Texas ,38,17,0,0.691
38,Jacksonville St. ,38,17,0,0.691
40,Central Conn. St. ,31,14,0,0.689
41,California ,39,18,0,0.684
42,Arizona ,41,20,0,0.672
43,Fla. Atlantic ,39,19,1,0.669
44,Texas A&M ,40,20,0,0.667
44,Murray St. ,38,19,0,0.667
44,Weber St. ,38,19,0,0.667
44,Northwestern St. ,36,18,0,0.667
44,Saint Louis ,36,18,0,0.667
44,UTSA ,36,18,0,0.667
44,Tulsa ,36,18,0,0.667
51,San Jose St. ,37,19,0,0.661
52,Fordham ,38,20,0,0.655
52,San Diego St. ,38,20,0,0.655
54,Utah ,36,19,0,0.655
55,Idaho St. ,34,18,0,0.654
56,IUPUI ,33,18,0,0.647
