Rank,College,G,2B,PG
1,LMU ,53,106,2.00
2,Washington ,54,98,1.81
3,San Jose St. ,52,94,1.81
4,Oregon ,58,102,1.76
5,Harvard ,46,80,1.74
6,Omaha ,59,102,1.73
7,Colorado St. ,46,79,1.72
8,Norfolk St. ,43,73,1.70
9,Utah St. ,51,86,1.69
10,Alabama St. ,55,92,1.67
11,Cornell ,41,68,1.66
12,Brown ,41,67,1.63
13,Delaware St. ,48,78,1.63
14,Marist ,58,94,1.62
15,Stony Brook ,52,84,1.62
16,Furman ,61,98,1.61
17,Samford ,60,96,1.60
18,Minnesota ,57,91,1.60
19,Pittsburgh ,52,83,1.60
20,North Dakota St. ,54,86,1.59
21,Hofstra ,46,73,1.59
22,Michigan ,59,92,1.56
23,George Washington ,52,81,1.56
24,Notre Dame ,56,87,1.55
25,Maine ,49,76,1.55
26,Jacksonville St. ,60,93,1.55
27,Youngstown St. ,51,79,1.55
28,Dartmouth ,42,65,1.55
29,UTEP ,55,85,1.55
30,McNeese ,57,88,1.54
30,Lamar University ,57,88,1.54
32,Fairfield ,50,77,1.54
33,Oklahoma ,65,100,1.54
34,Towson ,54,83,1.54
34,Eastern Ky. ,54,83,1.54
36,Tennessee ,59,90,1.53
37,Cal St. Fullerton ,61,93,1.52
37,South Fla. ,61,93,1.52
39,Hampton ,48,73,1.52
40,Albany ,52,78,1.50
40,Lehigh ,52,78,1.50
40,Drake ,54,81,1.50
43,Baylor ,59,88,1.49
44,Nevada ,47,70,1.49
45,Bradley ,48,71,1.48
46,Oregon St. ,51,75,1.47
46,San Diego ,51,75,1.47
48,Central Conn. St. ,45,66,1.47
49,Saint Francis ,58,85,1.47
50,Howard ,41,60,1.46
51,Villanova ,50,73,1.46
51,Monmouth ,50,73,1.46
53,South Dakota ,53,77,1.45
54,Siena ,47,68,1.45
55,Ohio St. ,55,79,1.44
56,Miami ,58,83,1.43
57,Alabama ,65,93,1.43
58,Savannah St. ,49,70,1.43
58,Binghamton ,49,70,1.43
60,UNI ,57,81,1.42
61,Sacramento St. ,50,71,1.42
62,Auburn ,70,99,1.41
63,Iona ,46,65,1.41
64,Southeast Mo. St. ,49,69,1.41
65,Illinois ,59,83,1.41
65,UNC Greensboro ,59,83,1.41
67,Seattle U ,52,73,1.40
68,Central Ark. ,57,80,1.40
69,Evansville ,50,70,1.40
70,Elon ,51,71,1.39
71,Penn St. ,54,75,1.39
72,Southern Ill. ,52,72,1.38
72,Saint Joseph's ,52,72,1.38
74,Col. of Charleston ,58,80,1.38
75,Montana ,56,77,1.38
75,Weber St. ,56,77,1.38
77,Fresno St. ,55,75,1.36
78,Bucknell ,50,68,1.36
79,Eastern Mich. ,51,69,1.35
79,Virginia ,51,69,1.35
81,UT Arlington ,49,66,1.35
82,Saint Louis ,52,70,1.35
83,South Carolina ,61,82,1.34
84,LSU ,70,94,1.34
85,Texas Southern ,44,59,1.34
86,New Mexico ,50,67,1.34
87,Nebraska ,56,75,1.34
87,James Madison ,56,75,1.34
89,Florida St. ,65,87,1.34
90,Georgia ,66,88,1.33
91,North Florida ,49,65,1.33
92,Wichita St. ,57,75,1.32
93,Oklahoma St. ,58,76,1.31
94,Northwestern St. ,52,68,1.31
95,Sacred Heart ,49,64,1.31
96,Jackson St. ,36,47,1.31
97,Texas A&M ,59,77,1.31
97,New Mexico St. ,59,77,1.31
99,Tulsa ,56,73,1.30
99,Utah ,56,73,1.30
99,UMBC ,56,73,1.30
102,Fordham ,60,78,1.30
103,Texas ,54,70,1.30
104,Murray St. ,55,71,1.29
105,Lafayette ,45,58,1.29
106,Providence ,49,63,1.29
106,Akron ,56,72,1.29
108,Indiana ,54,69,1.28
109,Kansas ,51,65,1.27
110,Canisius ,55,70,1.27
111,Chattanooga ,59,75,1.27
112,Troy ,56,71,1.27
113,St. John's ,49,62,1.27
114,Cleveland St. ,53,67,1.26
114,Boston College ,53,67,1.26
116,Radford ,61,77,1.26
117,Mount St. Mary's ,50,63,1.26
118,Southern Miss. ,58,73,1.26
119,George Mason ,47,59,1.26
120,South Alabama ,51,64,1.25
121,Louisiana ,55,69,1.25
122,Campbell ,59,74,1.25
123,Virginia Tech ,57,71,1.25
124,Wagner ,49,61,1.24
125,USC Upstate ,58,72,1.24
126,Seton Hall ,54,67,1.24
127,UAB ,59,73,1.24
128,Michigan St. ,55,68,1.24
128,IUPUI ,55,68,1.24
128,Texas Tech ,55,68,1.24
128,Northern Ill. ,55,68,1.24
132,Longwood ,60,74,1.23
133,FIU ,56,69,1.23
134,Central Mich. ,52,64,1.23
135,UCLA ,57,70,1.23
136,Sam Houston St. ,54,66,1.22
136,Coppin St. ,36,44,1.22
138,CSUN ,56,68,1.21
139,Alabama A&M ,47,57,1.21
140,South Dakota St. ,57,69,1.21
141,Loyola Chicago ,49,59,1.20
142,Ball St. ,54,65,1.20
143,Massachusetts ,50,60,1.20
143,Rider ,50,60,1.20
143,UC Riverside ,55,66,1.20
146,LIU ,56,67,1.20
147,Maryland ,52,62,1.19
147,Southern Utah ,52,62,1.19
147,DePaul ,52,62,1.19
150,Western Ill. ,48,57,1.19
150,Columbia ,48,57,1.19
152,East Carolina ,54,64,1.19
153,Houston Baptist ,44,52,1.18
154,Cal Poly ,50,59,1.18
155,BYU ,57,67,1.18
156,San Diego St. ,52,61,1.17
156,Louisville ,52,61,1.17
158,Austin Peay ,47,55,1.17
159,Louisiana Tech ,54,63,1.17
160,UNLV ,55,64,1.16
160,North Texas ,55,64,1.16
162,UT Martin ,56,65,1.16
163,Oakland ,44,51,1.16
163,Georgetown ,44,51,1.16
165,North Carolina ,57,66,1.16
166,Liberty ,59,68,1.15
167,Wright St. ,60,69,1.15
168,North Dakota ,54,62,1.15
169,Arizona St. ,57,65,1.14
170,Western Mich. ,50,57,1.14
170,UNCW ,50,57,1.14
172,Butler ,52,59,1.13
173,Wisconsin ,53,60,1.13
174,Northwestern ,55,62,1.13
175,Saint Mary's ,48,54,1.13
176,Florida A&M ,57,64,1.12
177,Missouri ,58,65,1.12
178,Kansas City ,50,56,1.12
179,ETSU ,42,47,1.12
180,Delaware ,51,57,1.12
181,Utah Valley ,52,58,1.12
182,Mississippi Val. ,44,49,1.11
183,Belmont ,54,60,1.11
183,Gardner-Webb ,54,60,1.11
185,Charlotte ,55,61,1.11
186,Portland St. ,49,54,1.10
187,Princeton ,51,56,1.10
187,UIC ,51,56,1.10
189,Texas St. ,62,68,1.10
190,Iowa ,52,57,1.10
191,Presbyterian ,53,58,1.09
192,Long Beach St. ,55,60,1.09
193,Robert Morris ,56,61,1.09
193,Charleston So. ,56,61,1.09
195,FGCU ,59,64,1.08
195,Kent St. ,59,64,1.08
197,Georgia St. ,61,66,1.08
198,N.C. A&T ,49,53,1.08
199,Yale ,50,54,1.08
200,Bowling Green ,54,58,1.07
200,Buffalo ,54,58,1.07
202,Nicholls St. ,56,60,1.07
203,Army West Point ,59,63,1.07
203,Kentucky ,59,63,1.07
205,Western Ky. ,47,50,1.06
206,Santa Clara ,51,54,1.06
206,Manhattan ,51,54,1.06
206,Idaho St. ,51,54,1.06
209,Illinois St. ,53,56,1.06
209,Morehead St. ,53,56,1.06
211,Appalachian St. ,56,59,1.05
211,UC Santa Barbara ,56,59,1.05
213,Colgate ,41,43,1.05
214,Rhode Island ,44,46,1.05
215,Pacific ,48,50,1.04
215,Stanford ,48,50,1.04
217,Dayton ,49,51,1.04
218,Toledo ,54,56,1.04
219,Houston ,56,58,1.04
220,Western Caro. ,57,59,1.04
221,Coastal Carolina ,59,61,1.03
222,Niagara ,48,49,1.02
223,Ark.-Pine Bluff ,51,52,1.02
224,Purdue ,55,56,1.02
225,Quinnipiac ,57,58,1.02
