Rank,College,G,HR,PG
185,UAB ,50,25,0.50
185,Texas St. ,54,27,0.50
185,Texas Southern ,52,26,0.50
189,Tulsa ,57,28,0.49
190,Portland St. ,51,25,0.49
190,Maryland ,51,25,0.49
192,SIUE ,44,21,0.48
193,Middle Tenn. ,59,28,0.47
193,Detroit Mercy ,59,28,0.47
195,UC Riverside ,53,25,0.47
196,Central Mich. ,51,24,0.47
197,Cleveland St. ,49,23,0.47
198,Valparaiso ,47,22,0.47
198,Idaho St. ,47,22,0.47
200,Mercer ,56,26,0.46
201,LIU Brooklyn ,54,25,0.46
202,Manhattan ,50,23,0.46
203,Butler ,48,22,0.46
204,North Florida ,54,24,0.44
205,Niagara ,50,22,0.44
206,Troy ,57,25,0.44
207,Liberty ,62,27,0.44
208,Oakland ,51,22,0.43
209,Alabama St. ,49,21,0.43
209,Baylor ,49,21,0.43
209,UT Martin ,56,24,0.43
209,N.C. Central ,49,21,0.43
209,Duke ,56,24,0.43
214,UIW ,48,20,0.42
214,Savannah St. ,36,15,0.42
216,Saint Joseph's ,53,22,0.42
217,Brown ,39,16,0.41
218,Siena ,47,19,0.40
218,Omaha ,47,19,0.40
218,Hofstra ,47,19,0.40
221,South Fla. ,60,24,0.40
221,Western Ill. ,40,16,0.40
221,Canisius ,45,18,0.40
221,Morehead St. ,45,18,0.40
225,Hartford ,51,20,0.39
226,Drake ,59,23,0.39
227,UMBC ,54,21,0.39
228,Pacific ,49,19,0.39
229,UT Arlington ,63,24,0.38
230,San Jose St. ,53,20,0.38
231,Weber St. ,48,18,0.38
232,Indiana St. ,54,20,0.37
233,Morgan St. ,46,17,0.37
234,Wagner ,44,16,0.36
235,Boston College ,53,19,0.36
236,North Dakota ,56,20,0.36
236,Saint Peter's ,56,20,0.36
236,La.-Monroe ,56,20,0.36
239,FGCU ,51,18,0.35
239,FIU ,51,18,0.35
241,Albany ,43,15,0.35
242,Iona ,46,16,0.35
243,Charleston So. ,55,19,0.35
244,Fairfield ,50,17,0.34
245,Georgia St. ,54,18,0.33
245,Southeastern La. ,57,19,0.33
245,Howard ,48,16,0.33
248,Yale ,43,14,0.33
249,Army West Point ,56,18,0.32
249,Col. of Charleston ,56,18,0.32
251,Northern Colo. ,53,17,0.32
252,Cal Poly ,51,16,0.31
252,Missouri St. ,51,16,0.31
252,San Diego St. ,51,16,0.31
255,St. Bonaventure ,45,14,0.31
256,Tennessee St. ,42,13,0.31
257,Mississippi Val. ,39,12,0.31
258,San Diego ,49,15,0.31
259,CSU Bakersfield ,47,14,0.30
260,Rider ,54,16,0.30
261,Iowa ,51,15,0.29
262,UCF ,55,16,0.29
263,Presbyterian ,53,15,0.28
264,Fla. Atlantic ,50,14,0.28
265,Lehigh ,55,15,0.27
265,Wright St. ,55,15,0.27
267,Massachusetts ,48,13,0.27
268,Bryant ,45,12,0.27
269,Purdue Fort Wayne ,49,13,0.27
270,Northern Ky. ,55,14,0.25
271,McNeese ,65,16,0.25
272,George Mason ,48,11,0.23
272,Hampton ,48,11,0.23
274,Quinnipiac ,50,11,0.22
275,Princeton ,41,9,0.22
276,A&M-Corpus Christi ,51,11,0.22
277,Florida A&M ,53,11,0.21
278,Alcorn ,38,7,0.18
279,N.C. A&T ,40,7,0.18
280,Coppin St. ,41,7,0.17
281,Stetson ,47,8,0.17
282,UMES ,39,6,0.15
283,Jackson St. ,47,7,0.15
284,Fairleigh Dickinson ,49,7,0.14
284,Holy Cross ,49,7,0.14
284,Lafayette ,49,7,0.14
284,Delaware St. ,42,6,0.14
288,Bethune-Cookman ,57,8,0.14
289,Santa Clara ,50,7,0.14
290,Saint Mary's ,51,7,0.14
291,Ark.-Pine Bluff ,38,5,0.13
292,Lamar University ,57,5,0.09
293,Southern U. ,35,3,0.09
294,UC Santa Barbara ,52,3,0.06
295,South Carolina St. ,36,2,0.06
