Rank,College,W,L,T,PCT
166,Kennesaw St. ,26,29,0,0.473
167,Dayton ,24,27,0,0.471
168,N.C. Central ,23,26,0,0.469
169,Siena ,22,25,0,0.468
170,Col. of Charleston ,26,30,0,0.464
170,Army West Point ,26,30,0,0.464
172,Youngstown St. ,25,29,0,0.463
173,George Mason ,22,26,0,0.458
174,Bethune-Cookman ,26,31,0,0.456
175,Creighton ,20,24,0,0.455
176,Ga. Southern ,23,28,0,0.451
176,ETSU ,22,27,2,0.451
178,Duke ,25,31,0,0.446
178,Montana ,25,31,0,0.446
180,Central Mich. ,22,28,1,0.441
181,Delaware ,22,29,0,0.431
181,Bowling Green ,22,29,0,0.431
183,Penn St. ,24,32,0,0.429
184,East Carolina ,23,31,0,0.426
184,Samford ,23,31,0,0.426
186,Hofstra ,20,27,0,0.426
186,Idaho St. ,20,27,0,0.426
188,Radford ,25,34,0,0.424
189,Oregon ,22,30,0,0.423
190,Manhattan ,21,29,0,0.420
190,UConn ,21,29,0,0.420
192,Virginia ,22,31,0,0.415
193,Central Conn. St. ,17,24,0,0.415
194,Iona ,19,27,0,0.413
195,Grambling ,16,23,0,0.410
196,San Diego ,20,29,0,0.408
197,Nebraska ,21,31,0,0.404
197,UTSA ,21,31,0,0.404
199,Lamar University ,23,34,0,0.404
200,Wright St. ,22,33,0,0.400
200,Memphis ,22,33,0,0.400
200,Northern Ky. ,22,33,0,0.400
200,Fla. Atlantic ,20,30,0,0.400
200,Tennessee Tech ,18,27,0,0.400
205,Syracuse ,21,32,0,0.396
205,Western Caro. ,21,32,0,0.396
207,Binghamton ,19,29,0,0.396
207,Howard ,19,29,0,0.396
209,North Dakota ,22,34,0,0.393
210,Portland St. ,20,31,0,0.392
210,Hartford ,20,31,0,0.392
210,Maryland ,20,31,0,0.392
213,Western Mich. ,18,28,0,0.391
214,Evansville ,19,30,0,0.388
215,UAB ,19,31,0,0.380
216,Iowa ,19,32,0,0.373
217,Yale ,16,27,0,0.372
218,Rhode Island ,17,29,0,0.370
219,Alcorn ,14,24,0,0.368
220,South Alabama ,18,31,0,0.367
220,Baylor ,18,31,0,0.367
222,Saint Louis ,19,33,0,0.365
223,SIUE ,16,28,0,0.364
224,Utah St. ,17,30,0,0.362
225,Niagara ,18,32,0,0.360
226,Oakland ,18,33,0,0.353
226,Illinois St. ,18,33,0,0.353
228,Indiana St. ,19,35,0,0.352
228,Utah ,19,35,0,0.352
230,Pacific ,17,32,0,0.347
231,Princeton ,14,27,0,0.341
232,Wagner ,15,29,0,0.341
233,Stetson ,16,31,0,0.340
233,Valparaiso ,16,31,0,0.340
235,Quinnipiac ,17,33,0,0.340
235,UTEP ,17,33,0,0.340
237,Boston College ,18,35,0,0.340
238,Butler ,16,32,0,0.333
239,Charleston So. ,18,37,0,0.327
240,Utah Valley ,15,31,0,0.326
241,Dartmouth ,13,27,0,0.325
242,IUPUI ,18,38,0,0.321
243,Michigan St. ,16,34,0,0.320
243,Santa Clara ,16,34,0,0.320
245,CSU Bakersfield ,15,32,0,0.319
246,Canisius ,14,31,0,0.311
247,Tennessee St. ,13,29,0,0.310
248,Brown ,12,27,0,0.308
249,Cleveland St. ,15,34,0,0.306
250,Akron ,13,31,2,0.304
251,Jacksonville ,15,35,0,0.300
251,Charlotte ,15,35,0,0.300
253,Abilene Christian ,13,31,0,0.295
254,Kansas ,15,36,0,0.294
255,Green Bay ,12,29,0,0.293
255,Maine ,12,29,0,0.293
257,Eastern Ill. ,16,39,0,0.291
258,Bryant ,13,32,0,0.289
259,Georgetown ,14,35,0,0.286
259,Holy Cross ,14,35,0,0.286
259,Fairleigh Dickinson ,14,35,0,0.286
262,Saint Mary's ,14,37,0,0.275
262,Robert Morris ,14,37,0,0.275
264,La Salle ,12,33,0,0.267
265,Northern Colo. ,14,39,0,0.264
266,Jackson St. ,12,35,0,0.255
267,Furman ,13,38,0,0.255
268,La.-Monroe ,14,42,0,0.250
268,Savannah St. ,9,27,0,0.250
270,Buffalo ,10,32,1,0.244
271,Pittsburgh ,13,41,0,0.241
272,Delaware St. ,10,32,0,0.238
273,Mississippi Val. ,9,30,0,0.231
274,Southern U. ,8,27,0,0.229
275,New Mexico ,12,41,0,0.226
275,Presbyterian ,11,40,2,0.226
277,N.C. A&T ,9,31,0,0.225
278,Coppin St. ,9,32,0,0.220
279,Cornell ,10,36,0,0.217
280,Cal Poly ,11,40,0,0.216
281,UMES ,8,31,0,0.205
282,Purdue Fort Wayne ,10,39,0,0.204
283,St. Bonaventure ,9,36,0,0.200
284,UC Santa Barbara ,10,42,0,0.192
285,Rider ,10,44,0,0.185
286,Lafayette ,8,40,1,0.173
287,UIW ,8,40,0,0.167
288,Saint Peter's ,9,47,0,0.161
289,A&M-Corpus Christi ,8,43,0,0.157
290,Southern Utah ,6,34,0,0.150
291,Georgia St. ,8,46,0,0.148
292,Ark.-Pine Bluff ,4,34,0,0.105
293,Omaha ,4,43,0,0.085
294,Morehead St. ,3,42,0,0.067
295,South Carolina St. ,0,36,0,0.000
