Rank,College,G,W-L,3B,PG
246,Savannah St. ,46,25-21,3,0.07
246,Norfolk St. ,46,20-26,3,0.07
248,Alcorn ,47,8-39,3,0.06
248,Quinnipiac ,47,11-36,3,0.06
248,Rutgers ,47,28-19,3,0.06
248,Albany ,47,34-13,3,0.06
252,Niagara ,48,18-30,3,0.06
253,Michigan St. ,49,12-37,3,0.06
254,Dartmouth ,50,31-19,3,0.06
254,Saint Mary's ,50,23-27,3,0.06
256,St. John's ,51,28-23,3,0.06
257,Butler ,52,24-28,3,0.06
257,Drake ,52,19-33,3,0.06
257,Stony Brook ,52,34-18,3,0.06
257,Villanova ,52,18-34,3,0.06
257,Washington ,52,37-15,3,0.06
257,La.-Monroe ,52,25-27,3,0.06
263,Creighton ,53,29-24,3,0.06
264,Manhattan ,55,26-29,3,0.05
264,Middle Tenn. ,55,10-45,3,0.05
264,Chattanooga ,55,34-21,3,0.05
267,Brown ,38,4-34,2,0.05
267,Liberty ,57,11-46,3,0.05
269,Valparaiso ,58,24-34,3,0.05
270,Penn ,42,19-22-1,2,0.05
271,Princeton ,43,17-26,2,0.05
272,LMU ,47,20-27,2,0.04
273,Miami ,50,22-28,2,0.04
274,Eastern Ky. ,51,29-22,2,0.04
275,SIUE ,53,30-23,2,0.04
276,NC State ,54,36-18,2,0.04
277,Arizona St. ,59,46-12-1,2,0.03
278,South Carolina St. ,38,10-28,1,0.03
279,Cornell ,44,18-26,1,0.02
280,Southeast Mo. St. ,45,11-34,1,0.02
281,Rhode Island ,46,13-32-1,1,0.02
282,Southeastern La. ,48,19-29,1,0.02
283,Oklahoma St. ,54,26-28,1,0.02
284,Purdue Fort Wayne ,55,40-15,1,0.02
285,Auburn ,62,42-19-1,1,0.02
