Rank,College,G,2B,PG
1,Nevada ,53,102,1.92
2,Cornell ,50,91,1.82
3,Louisville ,60,107,1.78
4,Ball St. ,54,96,1.78
5,Central Ark. ,58,101,1.74
6,Siena ,47,80,1.70
7,Jackson St. ,57,92,1.61
8,Texas Tech ,56,89,1.59
9,Bryant ,43,68,1.58
10,Oklahoma ,61,96,1.57
11,Norfolk St. ,53,83,1.57
12,Arizona St. ,62,97,1.56
13,Jacksonville St. ,57,89,1.56
14,Hofstra ,59,89,1.51
15,Longwood ,61,92,1.51
16,Missouri ,52,78,1.50
16,USC Upstate ,54,81,1.50
18,Utah ,55,82,1.49
19,Ohio St. ,56,83,1.48
20,Charlotte ,50,74,1.48
21,Austin Peay ,44,65,1.48
22,Houston ,61,90,1.48
23,Prairie View ,42,61,1.45
24,Notre Dame ,58,84,1.45
25,Binghamton ,47,68,1.45
26,Southern Ill. ,52,75,1.44
27,Kansas ,50,72,1.44
28,Canisius ,47,67,1.43
29,Eastern Ill. ,50,71,1.42
30,Valparaiso ,62,88,1.42
31,South Dakota ,48,68,1.42
32,Northwestern ,53,75,1.42
33,Central Conn. St. ,51,72,1.41
34,Portland St. ,56,79,1.41
35,Savannah St. ,50,70,1.40
35,Hampton ,60,84,1.40
35,Purdue Fort Wayne ,50,70,1.40
38,Seattle U ,53,74,1.40
39,Rutgers ,56,78,1.39
40,South Carolina ,59,82,1.39
41,SIUE ,48,66,1.38
42,Wichita St. ,52,71,1.37
43,Troy ,53,72,1.36
44,Tulsa ,59,80,1.36
45,Boise St. ,52,70,1.35
45,Idaho St. ,52,70,1.35
47,UConn ,53,71,1.34
48,Princeton ,45,60,1.33
48,Southeast Mo. St. ,48,64,1.33
50,Georgia ,61,81,1.33
51,Texas Southern ,49,65,1.33
51,Morehead St. ,49,65,1.33
53,Youngstown St. ,46,61,1.33
54,Fordham ,59,78,1.32
54,Virginia Tech ,59,78,1.32
56,Eastern Ky. ,56,74,1.32
56,LMU ,56,74,1.32
58,Presbyterian ,53,70,1.32
59,Saint Peter's ,54,71,1.31
60,Florida ,67,87,1.30
61,Furman ,54,70,1.30
62,Temple ,58,75,1.29
62,Northern Ill. ,58,75,1.29
64,Toledo ,53,68,1.28
65,Dartmouth ,46,59,1.28
66,Tennessee ,64,82,1.28
67,Iona ,50,64,1.28
68,Massachusetts ,43,55,1.28
69,FGCU ,54,69,1.28
69,Lehigh ,54,69,1.28
71,Hawaii ,58,74,1.28
72,Iowa St. ,55,70,1.27
73,Lipscomb ,59,75,1.27
74,Columbia ,48,61,1.27
75,UNI ,53,67,1.26
76,Maryland ,57,72,1.26
76,Delaware ,57,72,1.26
76,South Alabama ,57,72,1.26
76,UNC Greensboro ,57,72,1.26
80,Oregon ,61,77,1.26
80,Nebraska ,61,77,1.26
82,Niagara ,46,58,1.26
83,NC State ,56,70,1.25
84,North Florida ,57,71,1.25
85,Minnesota ,55,68,1.24
85,Mississippi Val. ,55,68,1.24
85,Northwestern St. ,55,68,1.24
88,Northern Colo. ,47,58,1.23
89,UCLA ,60,74,1.23
90,Fairleigh Dickinson ,44,54,1.23
90,Harvard ,44,54,1.23
92,Chattanooga ,53,65,1.23
93,Kansas City ,45,55,1.22
94,Georgia Tech ,55,67,1.22
95,Eastern Mich. ,51,62,1.22
96,Marist ,56,68,1.21
97,New Mexico St. ,57,69,1.21
98,Appalachian St. ,53,64,1.21
98,Stetson ,53,64,1.21
100,Holy Cross ,44,53,1.20
101,Drake ,49,59,1.20
101,Colorado St. ,49,59,1.20
103,Delaware St. ,54,65,1.20
104,San Jose St. ,59,71,1.20
105,Texas A&M ,60,72,1.20
105,UIC ,45,54,1.20
107,San Diego St. ,56,67,1.20
108,Manhattan ,46,55,1.20
109,LIU ,57,68,1.19
110,Providence ,52,62,1.19
111,Creighton ,47,56,1.19
