Rank,College,G,IP,SO,BB,K/BB
138,Bethune-Cookman ,57,367.0,235,151,1.56
139,Louisville ,58,380.2,325,212,1.53
140,Bryant ,45,295.0,173,114,1.52
141,Colorado St. ,51,332.1,201,133,1.51
142,Maine ,41,268.2,158,105,1.50
143,UTSA ,52,332.0,135,90,1.50
144,Hampton ,48,300.1,149,100,1.49
145,La Salle ,45,294.1,150,101,1.49
146,Western Mich. ,46,311.0,190,128,1.48
147,Oakland ,51,338.0,212,143,1.48
148,Northern Ky. ,55,381.0,163,110,1.48
149,Manhattan ,50,323.1,206,140,1.47
150,Sacramento St. ,56,386.0,253,172,1.47
151,Bradley ,50,318.1,216,147,1.47
152,Oregon ,52,332.1,289,197,1.47
153,Buffalo ,43,270.1,129,88,1.47
154,Fairfield ,50,333.1,222,153,1.45
155,Portland St. ,51,343.2,172,119,1.45
156,Middle Tenn. ,59,399.2,221,153,1.44
157,McNeese ,65,459.2,218,151,1.44
158,Syracuse ,53,322.2,301,209,1.44
159,UNCW ,54,351.0,194,135,1.44
160,Mount St. Mary's ,54,341.1,168,117,1.44
161,Boise St. ,52,337.0,215,150,1.43
162,Oklahoma St. ,62,404.0,232,163,1.42
163,Toledo ,57,377.2,307,216,1.42
164,Appalachian St. ,56,380.1,206,145,1.42
165,Prairie View ,47,307.1,180,127,1.42
166,Penn ,39,257.2,163,116,1.41
167,Delaware ,51,334.1,176,126,1.40
168,Iowa St. ,62,424.0,224,161,1.39
169,Loyola Chicago ,50,323.0,177,129,1.37
170,Ohio St. ,53,351.1,285,208,1.37
171,Creighton ,44,284.2,235,172,1.37
172,Georgia Tech ,58,371.1,230,169,1.36
173,N.C. A&T ,40,242.0,141,104,1.36
174,Long Beach St. ,50,335.0,206,152,1.36
175,South Dakota St. ,56,371.1,187,138,1.36
176,Nebraska ,52,328.2,250,185,1.35
177,Siena ,47,310.2,213,158,1.35
178,St. John's ,48,317.0,245,182,1.35
179,Baylor ,49,326.2,221,165,1.34
180,Central Ark. ,54,347.2,187,141,1.33
181,UAB ,50,324.2,216,164,1.32
182,Mercer ,56,368.1,188,143,1.31
183,UT Arlington ,63,432.1,165,127,1.30
184,Evansville ,49,313.0,241,186,1.30
185,Binghamton ,48,302.1,248,192,1.29
186,Tennessee Tech ,45,296.2,193,150,1.29
187,South Dakota ,61,401.0,193,151,1.28
188,Mississippi St. ,58,381.2,308,242,1.27
189,Cleveland St. ,49,323.2,160,126,1.27
190,LSU ,62,401.0,241,190,1.27
191,Harvard ,44,285.2,175,138,1.27
192,Akron ,46,289.2,205,162,1.27
193,Purdue ,63,412.1,292,232,1.26
194,Alabama A&M ,42,279.2,143,114,1.25
195,Houston Baptist ,46,302.2,163,130,1.25
196,Longwood ,59,391.0,252,201,1.25
197,Howard ,48,306.1,179,143,1.25
198,Pacific ,49,314.0,235,188,1.25
199,LIU Brooklyn ,54,358.1,188,151,1.25
200,North Dakota ,56,368.1,222,180,1.23
201,Northern Ill. ,52,341.1,192,156,1.23
202,Wichita St. ,56,371.2,225,183,1.23
203,Ark.-Pine Bluff ,38,217.0,86,70,1.23
204,Jackson St. ,47,284.0,140,114,1.23
205,UC Santa Barbara ,52,336.2,178,145,1.23
205,Central Mich. ,51,330.2,178,145,1.23
207,Southeastern La. ,57,392.1,151,124,1.22
208,Wagner ,44,271.1,104,86,1.21
209,Virginia ,53,325.0,265,221,1.20
210,Charleston So. ,55,361.0,224,187,1.20
211,Princeton ,41,248.2,155,130,1.19
212,Texas A&M ,55,361.2,211,177,1.19
213,Dayton ,51,325.0,194,163,1.19
214,Albany ,43,304.0,147,124,1.19
215,Saint Joseph's ,53,344.1,131,111,1.18
216,Brown ,39,258.2,125,106,1.18
217,Florida A&M ,53,336.0,161,137,1.18
218,East Carolina ,54,357.1,223,191,1.17
219,Lamar University ,57,381.1,179,154,1.16
220,Arizona St. ,55,336.1,211,182,1.16
221,Green Bay ,41,266.1,140,121,1.16
222,Columbia ,45,285.1,125,109,1.15
223,SIUE ,44,285.1,182,162,1.12
