Rank,College,G,PO,A,E,PCT
1,Florida ,63,"1,237",399,27,0.984
2,Oklahoma ,65,"1,282",382,28,0.983
3,Kansas ,51,984,354,27,0.980
4,Michigan ,59,"1,099",388,34,0.978
5,Ole Miss ,63,"1,243",496,40,0.978
6,Fla. Atlantic ,60,"1,235",399,38,0.977
7,Miami ,58,"1,188",475,40,0.977
8,Syracuse ,53,"1,086",442,38,0.976
9,UCF ,60,"1,213",378,40,0.975
10,Notre Dame ,56,"1,108",368,40,0.974
11,North Texas ,55,"1,082",384,40,0.973
12,Col. of Charleston ,58,"1,169",429,44,0.973
13,Missouri St. ,52,"1,032",371,39,0.973
14,Ohio St. ,55,"1,093",363,41,0.973
15,Texas St. ,62,"1,203",386,45,0.972
16,Murray St. ,55,"1,099",636,50,0.972
17,Arizona St. ,57,"1,148",376,44,0.972
18,Samford ,60,"1,182",441,47,0.972
19,Villanova ,50,"1,002",342,39,0.972
20,South Carolina ,61,"1,190",482,49,0.972
21,Marist ,58,"1,152",479,48,0.971
22,Fairfield ,50,986,302,38,0.971
23,UAB ,59,"1,134",423,46,0.971
24,USC Upstate ,58,"1,154",327,44,0.971
25,Alabama ,65,"1,247",323,47,0.971
26,UC Riverside ,55,"1,098",433,46,0.971
27,Baylor ,59,"1,181",399,48,0.971
28,Harvard ,46,927,356,39,0.970
29,Western Caro. ,57,"1,124",487,49,0.970
30,Oregon ,58,"1,119",393,46,0.970
31,Boston U. ,52,"1,027",353,42,0.970
32,Central Conn. St. ,45,888,375,39,0.970
33,Wichita St. ,57,"1,103",502,50,0.970
34,James Madison ,56,"1,133",375,47,0.970
35,Cal St. Fullerton ,61,"1,230",502,54,0.970
36,Stetson ,54,"1,097",537,51,0.970
37,Lehigh ,52,"1,048",477,48,0.969
38,North Dakota St. ,54,"1,042",322,43,0.969
39,Penn St. ,54,"1,065",484,49,0.969
40,Utah ,56,"1,067",513,50,0.969
41,Bucknell ,50,987,390,44,0.969
42,Auburn ,70,"1,362",609,63,0.969
43,Weber St. ,56,"1,107",447,50,0.969
44,San Diego St. ,52,"1,042",478,49,0.969
45,St. John's ,49,941,298,40,0.969
46,Sacramento St. ,50,976,412,45,0.969
47,Louisiana ,55,"1,020",336,44,0.969
48,Pacific ,48,917,523,47,0.968
49,Washington ,54,"1,064",402,48,0.968
50,UT Martin ,56,"1,132",455,52,0.968
51,UNCW ,50,"1,110",515,54,0.968
52,Kentucky ,59,"1,186",492,56,0.968
53,UConn ,52,"1,036",488,51,0.968
54,Lafayette ,45,873,374,42,0.967
