Rank,College,GS,IP,HB
1,California ,0,366,3
2,Indiana ,0,330,8
3,Yale ,0,291,11
3,Saint Mary's ,0,307,11
5,Boston U. ,0,347,12
5,Houston ,0,367,12
7,James Madison ,0,384,13
8,DePaul ,0,345,14
8,Alabama A&M ,0,303,14
8,Albany ,0,285,14
8,Illinois St. ,0,373,14
12,Houston Baptist ,0,289,15
12,Utah Valley ,0,253,15
12,Central Mich. ,0,355,15
12,Iona ,0,336,15
12,La Salle ,0,301,15
17,Texas Southern ,0,285,16
17,Notre Dame ,0,384,16
17,App State ,0,309,16
17,UMBC ,0,347,16
17,Morgan St. ,0,298,16
22,FGCU ,0,400,17
22,Missouri St. ,0,310,17
22,Southern U. ,0,232,17
22,Maine ,0,269,17
22,Central Conn. St. ,0,247,17
22,Western Mich. ,0,359,17
22,Cleveland St. ,0,321,17
22,Florida St. ,0,418,17
22,Green Bay ,0,211,17
