Rank,College,G,3B,PG
1,Boston U. ,59,32,0.54
2,Oakland ,50,24,0.48
3,Syracuse ,50,21,0.42
4,Memphis ,58,21,0.36
5,Northern Ill. ,56,20,0.36
6,Southeast Mo. St. ,53,18,0.34
7,Southeastern La. ,59,20,0.34
8,Central Mich. ,48,16,0.33
8,Monmouth ,48,16,0.33
10,Texas Tech ,59,19,0.32
11,California ,56,18,0.32
11,Lamar University ,56,18,0.32
13,Liberty ,63,20,0.32
14,Fresno St. ,54,17,0.31
15,Mississippi St. ,61,19,0.31
16,Stanford ,55,17,0.31
17,Missouri St. ,52,16,0.31
18,Florida St. ,70,21,0.30
18,Colorado St. ,50,15,0.30
18,Columbia ,40,12,0.30
21,Ohio ,57,17,0.30
22,George Washington ,54,16,0.30
23,Gardner-Webb ,58,17,0.29
24,Illinois ,55,16,0.29
25,Hampton ,52,15,0.29
26,North Dakota ,53,15,0.28
27,Ark.-Pine Bluff ,46,13,0.28
28,Buffalo ,47,13,0.28
29,Bucknell ,51,14,0.27
30,UC Riverside ,62,17,0.27
31,Butler ,48,13,0.27
32,Georgia ,61,16,0.26
33,St. Bonaventure ,42,11,0.26
34,Rider ,50,13,0.26
35,Western Ky. ,54,14,0.26
36,SFA ,55,14,0.25
37,Texas St. ,59,15,0.25
37,Tulsa ,59,15,0.25
39,UMKC ,56,14,0.25
39,Utah St. ,52,13,0.25
39,Kent St. ,52,13,0.25
42,Boston College ,53,13,0.25
42,New Mexico St. ,53,13,0.25
44,Morgan St. ,45,11,0.24
45,Alabama St. ,54,13,0.24
46,Grand Canyon ,59,14,0.24
47,Quinnipiac ,51,12,0.24
48,Baylor ,56,13,0.23
48,FGCU ,56,13,0.23
50,UCLA ,65,15,0.23
50,Murray St. ,52,12,0.23
50,Brown ,39,9,0.23
50,Elon ,52,12,0.23
54,Western Ill. ,48,11,0.23
55,Jackson St. ,40,9,0.23
56,IUPUI ,49,11,0.22
57,Savannah St. ,36,8,0.22
57,UTEP ,54,12,0.22
57,Army West Point ,54,12,0.22
57,Longwood ,54,12,0.22
61,Harvard ,41,9,0.22
62,Nicholls St. ,55,12,0.22
63,Green Bay ,46,10,0.22
64,Northern Colo. ,56,12,0.21
65,Arizona St. ,61,13,0.21
66,Ohio St. ,52,11,0.21
67,Northwestern ,57,12,0.21
68,Iowa ,53,11,0.21
69,Auburn ,58,12,0.21
70,CSU Bakersfield ,44,9,0.20
71,Saint Mary's ,49,10,0.20
72,Cal Poly ,50,10,0.20
