Rank,College,G,HR,PG
1,Louisiana ,55,108,1.96
2,Oregon ,58,95,1.64
3,Texas A&M ,59,86,1.46
3,Michigan ,59,86,1.46
5,Pittsburgh ,52,75,1.44
6,Omaha ,59,83,1.41
6,Coastal Carolina ,59,83,1.41
8,Saint Francis ,58,81,1.40
9,Washington ,54,73,1.35
10,Towson ,54,70,1.30
11,NC State ,56,72,1.29
12,Auburn ,70,89,1.27
13,Missouri ,58,73,1.26
14,Hofstra ,46,57,1.24
15,Louisiana Tech ,54,64,1.19
16,Minnesota ,57,67,1.18
16,UCLA ,57,67,1.18
18,Nevada ,47,55,1.17
19,Nebraska ,56,65,1.16
20,Ohio St. ,55,63,1.15
21,ETSU ,42,48,1.14
22,LMU ,53,60,1.13
23,San Jose St. ,52,58,1.12
24,Fresno St. ,55,61,1.11
25,Troy ,56,62,1.11
26,Arizona St. ,57,63,1.11
27,Arizona ,61,67,1.10
28,Texas Tech ,55,60,1.09
29,Northwestern St. ,52,56,1.08
29,Oklahoma ,65,70,1.08
31,Northern Ill. ,55,59,1.07
32,USC Upstate ,58,62,1.07
33,UNC Greensboro ,59,61,1.03
34,UNI ,57,58,1.02
34,North Carolina ,57,58,1.02
34,Wichita St. ,57,58,1.02
37,Youngstown St. ,51,51,1.00
37,BYU ,57,57,1.00
39,Samford ,60,59,0.98
40,Baylor ,59,58,0.98
41,James Madison ,56,55,0.98
42,Utah St. ,51,50,0.98
43,Georgia ,66,64,0.97
44,Florida St. ,65,63,0.97
45,Furman ,61,59,0.97
46,Tennessee ,59,57,0.97
47,Miami ,58,56,0.97
48,Western Caro. ,57,55,0.96
49,Boise St. ,52,50,0.96
50,Kansas ,51,49,0.96
51,Campbell ,59,56,0.95
52,South Dakota ,53,50,0.94
53,Virginia ,51,48,0.94
54,Jacksonville St. ,60,56,0.93
55,Kent St. ,59,55,0.93
56,Marist ,58,54,0.93
57,South Dakota St. ,57,53,0.93
58,UTEP ,55,51,0.93
59,Florida ,63,58,0.92
60,Binghamton ,49,45,0.92
61,Oklahoma St. ,58,53,0.91
62,Northwestern ,55,50,0.91
63,Alabama ,65,58,0.89
64,Syracuse ,53,47,0.89
65,Arkansas ,56,49,0.88
66,Texas ,54,47,0.87
67,Colorado St. ,46,40,0.87
68,Saint Joseph's ,52,45,0.87
69,Appalachian St. ,56,47,0.84
70,Albany ,52,43,0.83
71,Monmouth ,50,41,0.82
72,New Mexico St. ,59,48,0.81
73,Stanford ,48,39,0.81
73,Delaware St. ,48,39,0.81
75,Jacksonville ,58,47,0.81
76,Saint Louis ,52,42,0.81
77,Charleston So. ,56,45,0.80
78,South Fla. ,61,49,0.80
79,North Dakota St. ,54,43,0.80
80,DePaul ,52,41,0.79
81,La Salle ,45,35,0.78
82,Presbyterian ,53,41,0.77
83,Virginia Tech ,57,44,0.77
83,Ga. Southern ,57,44,0.77
85,Mount St. Mary's ,50,38,0.76
85,New Mexico ,50,38,0.76
87,LSU ,70,53,0.76
88,UTSA ,53,40,0.75
88,Cleveland St. ,53,40,0.75
90,CSUN ,56,42,0.75
90,Bradley ,48,36,0.75
90,Longwood ,60,45,0.75
93,IUPUI ,55,41,0.75
93,Long Beach St. ,55,41,0.75
93,Michigan St. ,55,41,0.75
93,North Texas ,55,41,0.75
97,McNeese ,57,42,0.74
98,Tennessee Tech ,56,41,0.73
99,Southern Ill. ,52,38,0.73
100,Notre Dame ,56,40,0.71
100,Weber St. ,56,40,0.71
100,Southeast Mo. St. ,49,35,0.71
103,Chattanooga ,59,42,0.71
103,Kentucky ,59,42,0.71
105,Louisville ,52,37,0.71
106,Cornell ,41,29,0.71
107,Drake ,54,38,0.70
108,St. John's ,49,34,0.69
109,Alabama St. ,55,38,0.69
110,Radford ,61,42,0.69
111,Columbia ,48,33,0.69
112,Oregon St. ,51,35,0.69
113,Ball St. ,54,37,0.69
114,Massachusetts ,50,34,0.68
115,Utah ,56,38,0.68
116,Stony Brook ,52,35,0.67
117,Buffalo ,54,36,0.67
117,Penn St. ,54,36,0.67
119,Morehead St. ,53,35,0.66
120,Western Mich. ,50,33,0.66
120,Evansville ,50,33,0.66
122,Fordham ,60,39,0.65
123,Delaware ,51,33,0.65
124,Illinois ,59,38,0.64
125,Houston ,56,36,0.64
126,Illinois St. ,53,34,0.64
127,Valparaiso ,52,33,0.63
128,Maine ,49,31,0.63
129,Seton Hall ,54,34,0.63
130,FIU ,56,35,0.63
131,Wisconsin ,53,33,0.62
131,Boston College ,53,33,0.62
133,La.-Monroe ,58,36,0.62
134,Dartmouth ,42,26,0.62
135,Austin Peay ,47,29,0.62
136,Central Mich. ,52,32,0.62
137,Houston Baptist ,44,27,0.61
138,East Carolina ,54,33,0.61
139,Prairie View ,38,23,0.61
140,Pacific ,48,29,0.60
141,Villanova ,50,30,0.60
142,Southern Utah ,52,31,0.60
142,Utah Valley ,52,31,0.60
144,Alabama A&M ,47,28,0.60
145,UT Martin ,56,33,0.59
146,Manhattan ,51,30,0.59
146,Princeton ,51,30,0.59
148,Iona ,46,27,0.59
149,Mercer ,58,34,0.59
150,Georgia Tech ,55,32,0.58
150,Iowa St. ,55,32,0.58
152,SFA ,57,33,0.58
152,Central Ark. ,57,33,0.58
154,Western Ky. ,47,27,0.57
154,St. Bonaventure ,47,27,0.57
156,Green Bay ,54,31,0.57
157,Montana ,56,32,0.57
158,Lipscomb ,55,31,0.56
159,Kansas City ,50,28,0.56
160,Missouri St. ,52,29,0.56
161,UMBC ,56,31,0.55
162,Siena ,47,26,0.55
163,Mississippi Val. ,44,24,0.55
163,Rhode Island ,44,24,0.55
165,Florida A&M ,57,31,0.54
166,Iowa ,52,28,0.54
167,Gardner-Webb ,54,29,0.54
168,Robert Morris ,56,30,0.54
169,Southern U. ,32,17,0.53
170,Eastern Ill. ,53,28,0.53
171,UNLV ,55,29,0.53
172,Cal St. Fullerton ,61,32,0.52
172,Georgia St. ,61,32,0.52
174,Fairleigh Dickinson ,46,24,0.52
174,Harvard ,46,24,0.52
176,Fairfield ,50,26,0.52
177,Eastern Ky. ,54,28,0.52
177,Belmont ,54,28,0.52
179,Tulsa ,56,29,0.52
180,Texas St. ,62,32,0.52
181,Norfolk St. ,43,22,0.51
182,Wagner ,49,25,0.51
183,South Carolina ,61,31,0.51
184,Sam Houston St. ,54,27,0.50
184,California ,58,29,0.50
184,Marshall ,56,28,0.50
187,UAB ,59,29,0.49
187,Liberty ,59,29,0.49
189,Loyola Chicago ,49,24,0.49
189,Savannah St. ,49,24,0.49
191,Howard ,41,20,0.49
192,LIU ,56,27,0.48
193,Toledo ,54,26,0.48
193,North Dakota ,54,26,0.48
193,Indiana ,54,26,0.48
196,San Diego St. ,52,25,0.48
197,Northern Colo. ,42,20,0.48
198,Elon ,51,24,0.47
198,San Diego ,51,24,0.47
200,Creighton ,47,22,0.47
201,Southern Miss. ,58,27,0.47
202,Hawaii ,54,25,0.46
203,Rider ,50,23,0.46
204,Rutgers ,57,26,0.46
205,Canisius ,55,25,0.45
205,Penn ,44,20,0.45
205,Purdue ,55,25,0.45
208,Eastern Mich. ,51,23,0.45
209,Fla. Atlantic ,60,27,0.45
210,Col. of Charleston ,58,26,0.45
211,UC Santa Barbara ,56,25,0.45
212,Bowling Green ,54,24,0.44
212,Central Conn. St. ,45,20,0.44
214,UConn ,52,23,0.44
215,Ohio ,60,26,0.43
216,Providence ,49,21,0.43
217,Ole Miss ,63,26,0.41
