Rank,College,G,IP,R,ER,ERA
1,Florida ,68,458.1,72,53,0.81
2,Minnesota ,61,381.0,92,65,1.19
3,James Madison ,60,384.0,92,71,1.29
4,Cal Poly ,59,421.0,115,78,1.30
5,Arizona ,61,375.1,94,75,1.40
6,USC Upstate ,58,389.2,97,79,1.42
7,Oregon ,62,394.1,103,80,1.42
8,Florida St. ,64,418.1,118,88,1.47
9,Alabama ,64,433.2,113,92,1.49
10,Oklahoma ,70,482.2,129,107,1.55
11,Texas St. ,59,403.1,143,99,1.72
12,Tulsa ,58,402.0,124,99,1.72
13,Auburn ,61,405.2,127,101,1.74
14,FIU ,61,407.2,123,103,1.77
15,LSU ,70,459.2,152,117,1.78
16,Michigan ,57,366.2,111,94,1.79
17,Jacksonville St. ,53,363.0,121,94,1.81
18,Baylor ,63,434.2,146,117,1.88
19,Central Mich. ,52,355.0,122,97,1.91
20,SIUE ,54,370.0,124,103,1.95
21,Ohio ,62,397.0,138,111,1.96
22,Tennessee ,60,382.2,134,108,1.98
23,Texas A&M ,60,393.2,140,116,2.06
24,Louisiana ,55,342.1,125,101,2.07
25,Texas ,59,408.2,164,122,2.09
26,Ole Miss ,63,424.1,150,127,2.10
27,Lipscomb ,56,381.0,148,116,2.13
28,Mississippi St. ,58,393.2,169,121,2.15
29,UIC ,61,406.1,176,125,2.15
30,Fla. Atlantic ,56,387.1,168,120,2.17
31,Saint Francis ,61,399.1,153,124,2.17
32,Fordham ,63,403.0,175,131,2.28
33,South Alabama ,55,367.0,140,120,2.29
34,Kentucky ,58,397.0,157,130,2.29
35,Arizona St. ,53,343.1,160,114,2.32
36,Marshall ,54,364.1,154,121,2.32
37,Bucknell ,43,291.1,138,97,2.33
38,BYU ,60,373.0,143,125,2.35
39,Hawaii ,52,351.0,141,119,2.37
40,Washington ,64,417.2,177,142,2.38
41,Kennesaw St. ,60,417.2,219,143,2.40
42,Loyola Chicago ,53,364.2,163,125,2.40
43,Utah ,53,339.2,159,118,2.43
44,Ohio St. ,53,349.0,183,123,2.47
45,Marist ,59,394.1,184,139,2.47
46,Louisiana Tech ,62,415.2,177,147,2.48
47,UCLA ,63,427.1,182,152,2.49
48,UNCW ,56,376.1,153,134,2.49
49,Wichita St. ,52,348.2,185,125,2.51
50,Manhattan ,55,372.2,164,134,2.52
51,UNI ,52,352.1,169,127,2.52
52,Nicholls St. ,57,375.2,164,136,2.53
53,Kent St. ,63,392.1,201,143,2.55
54,McNeese ,61,399.0,196,147,2.58
55,Eastern Ill. ,49,325.2,160,120,2.58
56,Middle Tenn. ,49,332.2,162,123,2.59
57,Furman ,54,356.0,169,132,2.60
58,Sacred Heart ,51,336.1,151,125,2.60
59,Boston College ,53,348.1,167,131,2.63
60,Saint Joseph's ,53,361.1,178,136,2.63
61,Longwood ,61,390.1,189,147,2.64
62,South Fla. ,56,387.0,210,146,2.64
63,Liberty ,72,450.1,212,170,2.64
64,Houston ,55,367.2,185,139,2.65
65,Southern Miss. ,53,361.1,179,137,2.65
66,Wisconsin ,52,349.0,171,133,2.67
67,Cal St. Fullerton ,58,409.0,191,156,2.67
68,Saint Mary's ,48,307.2,172,118,2.68
69,North Florida ,58,393.1,203,152,2.71
70,Georgia ,58,368.2,192,144,2.73
71,Louisville ,50,335.0,196,131,2.74
72,Southern Ill. ,57,388.2,182,156,2.81
73,Coastal Carolina ,55,356.0,192,143,2.81
74,Arkansas ,55,345.1,181,139,2.82
75,FGCU ,60,400.2,213,162,2.83
76,Army West Point ,57,378.0,200,153,2.83
77,Oakland ,46,307.2,167,125,2.84
78,Elon ,53,360.0,192,147,2.86
79,Memphis ,56,378.1,214,155,2.87
80,Iowa ,51,338.1,197,140,2.90
81,Texas Southern ,46,285.0,159,118,2.90
82,CSUN ,53,352.0,195,147,2.92
83,Hampton ,45,296.0,172,124,2.93
84,George Mason ,56,374.2,229,157,2.93
85,Morehead St. ,48,313.2,172,132,2.95
86,La.-Monroe ,63,425.0,221,179,2.95
87,Missouri St. ,49,310.2,159,131,2.95
88,Fresno St. ,58,393.1,218,166,2.95
89,Illinois ,59,397.2,235,169,2.97
90,Ball St. ,58,372.1,185,159,2.99
91,San Jose St. ,56,371.1,192,159,3.00
92,South Carolina ,59,375.0,209,161,3.01
93,Western Ky. ,62,418.0,248,181,3.03
94,UT Martin ,59,394.0,208,171,3.04
95,Lamar University ,65,429.2,245,187,3.05
96,Lehigh ,56,374.1,202,163,3.05
97,Central Ark. ,60,400.0,223,175,3.06
98,Massachusetts ,53,359.2,194,158,3.08
99,Utah St. ,51,333.0,185,147,3.09
100,Murray St. ,56,369.0,209,164,3.11
101,SFA ,50,321.2,191,143,3.11
102,Saint Louis ,50,330.1,187,147,3.12
103,Akron ,57,379.2,225,169,3.12
104,Syracuse ,50,330.0,181,147,3.12
105,Youngstown St. ,59,391.2,217,176,3.15
106,Boston U. ,52,347.2,204,158,3.18
107,North Dakota St. ,62,408.2,230,186,3.19
108,St. John's ,48,313.2,170,143,3.19
109,Northern Ill. ,54,363.1,221,166,3.20
110,Montana ,59,399.0,223,183,3.21
111,Monmouth ,56,381.0,239,175,3.22
112,Mercer ,57,386.2,227,178,3.22
113,Sacramento St. ,50,340.1,193,157,3.23
114,Dayton ,56,364.0,219,168,3.23
115,Oregon St. ,55,346.2,236,161,3.25
116,Col. of Charleston ,56,380.0,214,177,3.26
117,Iona ,51,336.1,184,157,3.27
118,UC Riverside ,52,346.0,207,163,3.30
119,Niagara ,45,303.2,185,144,3.32
120,Western Mich. ,54,359.2,228,171,3.33
121,Missouri ,57,374.1,237,178,3.33
122,Canisius ,53,358.1,231,171,3.34
123,Northwestern ,54,351.0,218,168,3.35
124,Stetson ,47,323.0,206,155,3.36
125,California ,56,366.0,205,176,3.37
126,Weber St. ,60,401.1,254,193,3.37
127,Illinois St. ,57,373.1,229,180,3.38
128,Jacksonville ,55,367.0,218,177,3.38
129,Eastern Ky. ,58,377.2,245,183,3.39
130,Pacific ,54,351.2,235,171,3.40
131,UT Arlington ,60,394.2,253,192,3.41
132,UNLV ,52,343.0,229,167,3.41
133,Southeast Mo. St. ,50,326.0,205,160,3.44
134,Penn ,40,274.2,162,135,3.44
135,Bowling Green ,56,358.0,220,176,3.44
136,Belmont ,57,392.1,224,194,3.46
137,Colorado St. ,50,337.0,206,168,3.49
138,UAB ,54,373.0,249,186,3.49
139,North Carolina ,61,412.2,249,207,3.51
140,Oklahoma St. ,63,404.1,248,203,3.51
141,ETSU ,55,365.0,231,184,3.53
142,Kansas ,52,344.1,200,174,3.54
143,Sam Houston St. ,51,323.0,204,164,3.55
144,Radford ,55,360.1,211,184,3.57
145,Valparaiso ,51,345.0,224,177,3.59
146,Florida A&M ,56,377.0,246,194,3.60
147,UC Davis ,54,367.0,240,189,3.60
148,Towson ,50,328.0,226,169,3.61
149,North Dakota ,55,352.0,244,182,3.62
150,UCF ,52,346.0,214,179,3.62
151,Villanova ,55,369.0,219,192,3.64
152,DePaul ,52,345.1,218,180,3.65
153,Long Beach St. ,52,359.2,225,188,3.66
154,UConn ,48,308.1,195,162,3.68
155,Georgia St. ,61,412.0,263,217,3.69
156,Fairfield ,54,354.2,228,189,3.73
157,Morgan St. ,46,298.0,207,159,3.73
158,San Diego St. ,49,321.2,210,172,3.74
159,Harvard ,41,272.1,174,146,3.75
160,Drake ,55,354.1,252,190,3.75
161,Winthrop ,58,382.2,251,206,3.77
162,Central Conn. St. ,39,247.0,157,134,3.80
163,Boise St. ,53,344.2,225,187,3.80
164,George Washington ,52,341.1,236,186,3.81
165,Albany ,47,285.2,206,156,3.82
166,Northwestern St. ,57,381.1,267,209,3.84
167,Charleston So. ,62,406.0,292,223,3.84
168,Indiana ,54,330.2,216,182,3.85
169,A&M-Corpus Christi ,48,310.0,236,171,3.86
170,UC Santa Barbara ,59,391.0,278,217,3.88
171,Southern U. ,39,232.1,210,129,3.89
172,UMBC ,52,347.1,237,193,3.89
173,Notre Dame ,57,384.2,268,214,3.89
174,Hofstra ,50,313.1,202,175,3.91
175,Charlotte ,53,339.2,224,190,3.92
176,N.C. A&T ,50,334.2,245,188,3.93
177,Indiana St. ,53,356.0,249,201,3.95
178,Iowa St. ,58,368.0,289,208,3.96
179,Western Ill. ,54,369.2,245,209,3.96
180,Appalachian St. ,48,309.1,242,175,3.96
181,Troy ,54,357.2,242,204,3.99
182,Quinnipiac ,50,325.2,247,186,4.00
183,Seton Hall ,48,316.2,233,181,4.00
184,Southeastern La. ,55,351.1,272,201,4.00
185,South Dakota St. ,54,357.1,252,206,4.04
186,Michigan St. ,58,375.2,257,217,4.04
187,UNC Greensboro ,55,335.1,240,195,4.07
188,Presbyterian ,50,319.0,242,186,4.08
