Rank,College,G,IP,R,ER,ERA
189,Houston Baptist ,43,289.0,211,169,4.09
190,Pittsburgh ,47,313.1,210,184,4.11
191,LMU ,51,341.2,231,201,4.12
192,Santa Clara ,49,319.0,240,188,4.13
193,Detroit Mercy ,52,341.0,266,201,4.13
194,Samford ,61,405.0,310,239,4.13
195,Campbell ,58,396.1,275,234,4.13
196,Tennessee Tech ,46,304.2,223,180,4.14
197,Gardner-Webb ,50,328.1,260,195,4.16
198,Brown ,45,279.0,234,167,4.19
199,Evansville ,53,339.1,290,204,4.21
200,Miami ,53,336.0,233,202,4.21
201,Princeton ,45,294.1,202,177,4.21
202,UMES ,38,237.0,197,143,4.22
203,Penn St. ,56,362.2,284,220,4.25
204,UTSA ,53,352.1,251,215,4.27
205,Western Caro. ,48,308.0,218,188,4.27
206,North Texas ,56,362.2,272,223,4.30
207,Mount St. Mary's ,51,323.0,265,199,4.31
208,East Carolina ,56,359.2,262,222,4.32
209,Columbia ,48,306.1,248,190,4.34
210,Idaho St. ,46,292.1,241,182,4.36
211,Buffalo ,55,352.1,313,220,4.37
212,Northern Colo. ,55,346.1,280,218,4.41
213,Nebraska ,53,338.1,281,213,4.41
214,Delaware St. ,48,308.1,257,195,4.43
215,Binghamton ,47,303.0,238,192,4.44
216,Virginia Tech ,53,340.2,277,217,4.46
217,Lafayette ,41,265.0,193,169,4.46
218,Maine ,46,269.2,227,172,4.46
219,New Mexico St. ,54,345.2,287,221,4.48
220,Bradley ,53,339.0,277,217,4.48
221,Ga. Southern ,53,343.2,296,221,4.50
222,Norfolk St. ,36,229.2,183,149,4.54
223,Nevada ,55,364.1,291,237,4.55
224,San Diego ,46,307.1,232,200,4.56
225,Yale ,45,291.2,236,190,4.56
226,Delaware ,53,337.1,315,220,4.57
227,Austin Peay ,48,304.1,245,199,4.58
228,Butler ,52,333.1,291,218,4.58
229,Eastern Mich. ,51,324.0,265,212,4.58
230,Wright St. ,52,331.1,244,218,4.61
231,Stony Brook ,47,301.2,227,199,4.62
232,Seattle U ,52,346.2,274,229,4.62
233,New Mexico ,50,319.1,266,211,4.63
234,Purdue ,56,350.2,301,232,4.63
235,La Salle ,47,301.1,241,200,4.65
236,Maryland ,51,340.0,305,228,4.69
237,Alabama A&M ,48,303.1,276,204,4.71
238,Texas Tech ,55,367.2,300,248,4.72
239,Wagner ,47,296.2,239,202,4.77
240,Bryant ,48,303.2,261,207,4.77
241,Georgia Tech ,53,374.2,296,258,4.82
242,Bethune-Cookman ,57,361.1,311,249,4.82
243,Providence ,48,306.2,260,214,4.88
244,Siena ,51,314.2,266,220,4.89
245,N.C. Central ,43,258.2,242,181,4.90
246,Creighton ,50,316.0,290,222,4.92
247,Omaha ,45,283.1,255,201,4.97
248,Toledo ,58,376.0,297,267,4.97
249,IUPUI ,54,343.2,318,245,4.99
250,Drexel ,49,309.2,270,223,5.04
251,LIU ,52,331.2,281,240,5.07
252,Northern Ky. ,52,338.0,303,245,5.07
253,Alcorn ,47,283.2,264,206,5.08
254,Utah Valley ,40,253.1,229,184,5.08
255,Robert Morris ,52,326.0,294,237,5.09
256,Chattanooga ,55,330.2,311,241,5.10
257,South Dakota ,54,333.2,317,244,5.12
258,Holy Cross ,43,272.2,254,204,5.24
259,Virginia ,54,341.0,312,257,5.28
260,Colgate ,44,276.0,275,211,5.35
261,St. Bonaventure ,49,308.2,320,237,5.37
262,Cornell ,42,273.2,254,211,5.40
263,Alabama St. ,57,349.2,360,270,5.41
264,Tennessee St. ,49,310.1,320,243,5.48
265,Ark.-Pine Bluff ,44,257.2,263,202,5.49
266,Prairie View ,48,295.2,286,232,5.49
267,Cleveland St. ,52,321.2,334,262,5.70
268,Mississippi Val. ,46,275.1,317,225,5.72
269,Stanford ,51,327.1,306,268,5.73
270,Purdue Fort Wayne ,48,300.2,329,249,5.80
271,Georgetown ,48,300.2,308,252,5.87
272,NC State ,56,357.2,359,303,5.93
273,UTEP ,48,294.2,303,250,5.94
274,Dartmouth ,40,250.2,261,215,6.00
275,CSU Bakersfield ,45,288.1,310,248,6.02
276,Rider ,50,301.0,341,263,6.12
277,Southern Utah ,46,283.2,294,253,6.24
278,Grambling ,45,258.1,340,232,6.29
279,Fairleigh Dickinson ,42,261.2,326,238,6.37
280,Hartford ,49,289.0,363,263,6.37
281,Portland St. ,45,261.0,298,244,6.54
282,Rhode Island ,44,265.1,301,256,6.75
283,Rutgers ,51,309.0,381,300,6.80
284,Kansas City ,55,322.1,382,313,6.80
285,Coppin St. ,52,321.0,386,321,7.00
286,Green Bay ,35,211.2,256,221,7.31
287,Howard ,38,227.0,300,239,7.37
288,Jackson St. ,48,283.1,420,304,7.51
289,Saint Peter's ,40,228.0,301,249,7.64
290,Savannah St. ,40,229.0,377,301,9.20
291,South Carolina St. ,41,225.1,432,317,9.85
