Rank,College,W,L,T,PCT
1,Oklahoma ,57,5,0,0.919
2,UCLA ,58,7,0,0.892
3,Oregon ,53,10,0,0.841
4,Washington ,52,10,0,0.839
5,Florida ,56,11,0,0.836
6,Florida St. ,58,12,0,0.829
7,Drake ,45,12,0,0.789
8,Arizona St. ,48,13,0,0.787
8,Georgia ,48,13,0,0.787
10,UNC Greensboro ,46,13,0,0.780
11,Liberty ,49,14,0,0.778
12,Tennessee ,48,14,0,0.774
13,Michigan ,44,13,0,0.772
14,Long Beach St. ,43,14,0,0.754
14,James Madison ,43,14,0,0.754
16,Hofstra ,41,14,0,0.745
17,South Carolina ,49,17,0,0.742
18,Furman ,41,15,0,0.732
19,Arizona ,43,16,0,0.729
19,Texas St. ,43,16,0,0.729
21,Nicholls St. ,40,15,0,0.727
22,LSU ,45,17,0,0.726
23,Louisiana ,41,16,0,0.719
24,Boise St. ,40,16,0,0.714
24,Massachusetts ,35,14,0,0.714
26,Arkansas ,42,17,0,0.712
27,Texas A&M ,44,18,0,0.710
28,Auburn ,41,17,0,0.707
28,Minnesota ,41,17,0,0.707
30,Longwood ,38,16,0,0.704
31,Ohio ,40,17,0,0.702
32,Kennesaw St. ,39,17,0,0.696
32,FGCU ,39,17,0,0.696
34,Ohio St. ,36,16,0,0.692
35,Towson ,42,19,0,0.689
36,Eastern Ky. ,45,21,0,0.682
37,Baylor ,38,18,0,0.679
38,DePaul ,35,17,0,0.673
39,South Dakota St. ,37,18,0,0.673
39,Illinois ,37,18,0,0.673
41,Saint Francis ,39,19,0,0.672
41,Austin Peay ,39,19,0,0.672
43,Northwestern ,38,19,0,0.667
43,Albany ,32,16,0,0.667
43,Monmouth ,32,16,0,0.667
46,McNeese ,41,21,0,0.661
47,Boston U. ,39,20,0,0.661
48,Ball St. ,37,19,0,0.661
49,Lipscomb ,33,17,0,0.660
50,Radford ,36,19,0,0.655
51,San Jose St. ,32,17,0,0.653
52,Creighton ,28,15,0,0.651
53,USC Upstate ,35,19,0,0.648
54,Pittsburgh ,33,18,1,0.644
55,Southeastern La. ,38,21,0,0.644
56,Alabama ,36,20,0,0.643
56,Eastern Ill. ,36,20,0,0.643
58,North Dakota St. ,34,19,0,0.642
59,Oklahoma St. ,39,22,0,0.639
59,Middle Tenn. ,39,22,0,0.639
61,Memphis ,37,21,0,0.638
62,Mercer ,33,19,0,0.635
63,South Fla. ,39,23,0,0.629
64,Houston ,37,22,0,0.627
65,California ,35,21,0,0.625
65,Kentucky ,35,21,0,0.625
67,Mississippi St. ,38,23,0,0.623
68,Southeast Mo. St. ,33,20,0,0.623
68,Louisville ,33,20,0,0.623
68,UNLV ,33,20,0,0.623
71,Morgan St. ,28,17,0,0.622
72,BYU ,36,22,0,0.621
73,Missouri St. ,32,20,0,0.615
74,UC Riverside ,38,24,0,0.613
75,UIC ,33,21,0,0.611
75,George Washington ,33,21,0,0.611
77,Sacramento St. ,31,20,0,0.608
78,UCF ,34,22,0,0.607
79,Toledo ,35,23,0,0.603
80,Syracuse ,30,20,0,0.600
81,Notre Dame ,34,23,0,0.596
81,Louisiana Tech ,34,23,0,0.596
83,Fordham ,33,23,0,0.589
83,Seattle U ,33,23,0,0.589
85,Southern Ill. ,31,22,0,0.585
86,Loyola Marymount ,34,24,1,0.585
87,Cal St. Fullerton ,35,25,0,0.583
87,Jacksonville St. ,35,25,0,0.583
89,Wichita St. ,32,23,0,0.582
90,Tulsa ,34,25,0,0.576
91,Fresno St. ,31,23,0,0.574
91,Nebraska ,31,23,0,0.574
93,Texas Southern ,24,18,1,0.570
94,Troy ,34,26,0,0.567
95,Boston College ,30,23,0,0.566
96,Georgia St. ,31,24,0,0.564
96,SFA ,31,24,0,0.564
98,Ole Miss ,32,25,0,0.561
99,Harvard ,23,18,0,0.561
100,Texas ,33,26,0,0.559
101,Kent St. ,29,23,0,0.558
101,Wisconsin ,29,23,0,0.558
103,Dayton ,31,25,0,0.554
103,Sacred Heart ,31,25,0,0.554
105,Dartmouth ,22,18,0,0.550
106,Morehead St. ,28,23,0,0.549
107,New Mexico St. ,29,24,0,0.547
