Rank,College,G,2B,PG
1,Cornell ,41,82,2.00
2,South Dakota ,54,107,1.98
3,Minnesota ,60,110,1.83
4,Maryland ,54,98,1.81
5,Illinois ,53,93,1.75
6,North Dakota St. ,56,97,1.73
7,Jacksonville St. ,55,94,1.71
8,UCLA ,63,107,1.70
9,Washington ,59,100,1.69
10,San Jose St. ,56,94,1.68
11,Chattanooga ,50,83,1.66
12,Northwestern St. ,54,89,1.65
12,Boise St. ,54,89,1.65
14,Oregon ,59,97,1.64
15,Siena ,49,80,1.63
15,Louisville ,49,80,1.63
17,Howard ,43,70,1.63
18,James Madison ,58,94,1.62
19,Fairleigh Dickinson ,36,58,1.61
20,Central Ark. ,56,90,1.61
21,USC Upstate ,54,86,1.59
21,Saint Louis ,54,86,1.59
23,New Mexico St. ,63,100,1.59
24,Valparaiso ,51,80,1.57
25,Notre Dame ,57,89,1.56
26,Brown ,34,53,1.56
27,Rutgers ,49,76,1.55
28,Delaware ,53,82,1.55
29,Kansas City ,55,85,1.55
30,Manhattan ,46,71,1.54
31,South Dakota St. ,52,80,1.54
32,Oklahoma ,58,89,1.53
32,Arizona St. ,58,89,1.53
34,Georgia St. ,60,92,1.53
35,UAB ,51,78,1.53
36,Murray St. ,57,87,1.53
37,Idaho St. ,52,79,1.52
38,Saint Joseph's ,41,62,1.51
39,Utah ,55,83,1.51
40,Albany ,48,72,1.50
40,Ohio St. ,52,78,1.50
40,Saint Francis ,50,75,1.50
43,Wichita St. ,57,85,1.49
44,IUPUI ,51,76,1.49
45,LMU ,54,80,1.48
46,Mississippi St. ,57,84,1.47
47,UT Arlington ,55,81,1.47
47,Utah St. ,55,81,1.47
49,Dayton ,53,78,1.47
50,Alabama St. ,54,79,1.46
51,Pittsburgh ,59,86,1.46
52,Monmouth ,44,64,1.45
52,Delaware St. ,44,64,1.45
54,Penn ,42,61,1.45
55,Baylor ,58,84,1.45
56,Auburn ,67,97,1.45
57,Lamar University ,54,78,1.44
57,FIU ,54,78,1.44
59,Texas Southern ,43,62,1.44
60,Weber St. ,57,82,1.44
61,Kansas ,55,79,1.44
62,Nebraska ,58,83,1.43
63,Alabama ,63,90,1.43
63,McNeese ,56,80,1.43
65,Sacramento St. ,54,77,1.43
66,Seattle U ,52,74,1.42
66,Oregon St. ,52,74,1.42
68,Bucknell ,55,78,1.42
68,UNLV ,55,78,1.42
70,George Washington ,48,68,1.42
71,South Alabama ,53,75,1.42
72,DePaul ,46,65,1.41
73,Wright St. ,56,79,1.41
74,Ball St. ,59,83,1.41
75,UT Martin ,50,70,1.40
75,Samford ,55,77,1.40
77,Michigan ,68,95,1.40
78,Northern Colo. ,43,60,1.40
79,Kennesaw St. ,51,71,1.39
80,Tennessee ,64,89,1.39
81,Iowa ,59,82,1.39
82,Tulsa ,54,75,1.39
82,Prairie View ,36,50,1.39
84,Nevada ,53,73,1.38
84,Saint Mary's ,53,73,1.38
86,Georgia ,61,84,1.38
87,Southern Ill. ,48,66,1.38
88,Montana ,50,68,1.36
89,Drake ,53,72,1.36
90,Eastern Ill. ,48,65,1.35
91,LSU ,66,89,1.35
92,Mississippi Val. ,49,66,1.35
93,Buffalo ,50,67,1.34
94,Butler ,51,68,1.33
94,Binghamton ,45,60,1.33
96,Fordham ,58,77,1.33
97,North Dakota ,55,73,1.33
98,La.-Monroe ,52,69,1.33
99,Green Bay ,46,61,1.33
100,Marshall ,50,66,1.32
101,New Mexico ,54,71,1.31
101,Bradley ,54,71,1.31
103,Charlotte ,51,67,1.31
104,Troy ,55,72,1.31
105,Long Beach St. ,52,68,1.31
105,Savannah St. ,39,51,1.31
107,St. John's ,47,61,1.30
108,Marist ,54,70,1.30
109,Tennessee Tech ,61,79,1.30
110,Western Mich. ,51,66,1.29
110,Middle Tenn. ,51,66,1.29
110,Army West Point ,51,66,1.29
113,San Diego St. ,58,75,1.29
114,SIUE ,59,76,1.29
115,UMBC ,49,63,1.29
115,Drexel ,42,54,1.29
117,Elon ,53,68,1.28
118,Southeast Mo. St. ,46,59,1.28
119,Penn St. ,57,73,1.28
120,UTSA ,54,69,1.28
121,Stony Brook ,47,60,1.28
122,CSUN ,58,74,1.28
123,Toledo ,56,71,1.27
123,Cal St. Fullerton ,56,71,1.27
123,Furman ,56,71,1.27
126,North Carolina ,53,67,1.26
127,Towson ,57,72,1.26
128,Louisiana ,54,68,1.26
128,Villanova ,54,68,1.26
130,Dartmouth ,43,54,1.26
131,UNC Greensboro ,47,59,1.26
132,Northwestern ,51,64,1.25
133,Michigan St. ,55,69,1.25
134,Robert Morris ,48,60,1.25
135,Texas St. ,53,66,1.25
136,UIC ,46,57,1.24
137,South Carolina ,60,74,1.23
138,Providence ,39,48,1.23
139,LIU ,53,65,1.23
140,BYU ,54,66,1.22
140,Stanford ,54,66,1.22
142,Loyola Chicago ,50,61,1.22
142,UNI ,50,61,1.22
144,Campbell ,55,67,1.22
145,CSU Bakersfield ,46,56,1.22
146,Akron ,51,62,1.22
147,Virginia ,56,68,1.21
147,Miami ,56,68,1.21
147,Indiana ,56,68,1.21
150,Arizona ,61,74,1.21
151,Eastern Ky. ,52,63,1.21
152,Alabama A&M ,43,52,1.21
153,Florida ,67,81,1.21
154,UMES ,39,47,1.21
155,Liberty ,59,71,1.20
156,Jacksonville ,56,67,1.20
156,Fresno St. ,56,67,1.20
158,Texas Tech ,51,61,1.20
159,Rider ,47,56,1.19
160,UTEP ,53,63,1.19
160,Seton Hall ,53,63,1.19
162,Lehigh ,49,58,1.18
163,Sacred Heart ,44,52,1.18
163,Cal Poly ,55,65,1.18
165,Stetson ,50,59,1.18
165,Presbyterian ,50,59,1.18
165,Louisiana Tech ,50,59,1.18
168,Canisius ,45,53,1.18
