Rank,College,G,2B,PG
169,Virginia Tech ,57,67,1.18
170,Indiana St. ,58,68,1.17
171,Saint Peter's ,42,49,1.17
172,Lipscomb ,56,65,1.16
172,Purdue ,56,65,1.16
174,Southern Utah ,50,58,1.16
175,Colgate ,38,44,1.16
176,Boston College ,51,59,1.16
177,Belmont ,45,52,1.16
178,Texas A&M ,60,69,1.15
179,Western Ill. ,41,47,1.15
179,Norfolk St. ,41,47,1.15
181,Houston ,55,63,1.15
182,Eastern Mich. ,50,57,1.14
183,Massachusetts ,43,49,1.14
184,South Carolina St. ,36,41,1.14
185,Kent St. ,54,61,1.13
185,UC Santa Barbara ,54,61,1.13
187,Ole Miss ,55,62,1.13
188,Princeton ,42,47,1.12
189,Longwood ,59,66,1.12
190,Columbia ,44,49,1.11
191,Northern Ill. ,53,59,1.11
192,Houston Baptist ,45,50,1.11
192,Florida St. ,63,70,1.11
194,Missouri ,58,64,1.10
195,Bryant ,49,54,1.10
196,Utah Valley ,59,65,1.10
197,Santa Clara ,50,55,1.10
198,Portland St. ,51,56,1.10
198,Ga. Southern ,51,56,1.10
200,Col. of Charleston ,53,58,1.09
201,Evansville ,55,60,1.09
202,Coastal Carolina ,57,62,1.09
203,Syracuse ,46,50,1.09
204,NC State ,60,65,1.08
204,Youngstown St. ,48,52,1.08
206,Wisconsin ,52,56,1.08
207,Texas ,55,59,1.07
208,California ,57,61,1.07
209,Boston U. ,44,47,1.07
210,Austin Peay ,46,49,1.07
211,Hampton ,48,51,1.06
212,Fairfield ,49,52,1.06
212,Radford ,49,52,1.06
214,Gardner-Webb ,50,53,1.06
214,Central Mich. ,50,53,1.06
216,Oakland ,51,54,1.06
217,Southern Miss. ,52,55,1.06
218,St. Bonaventure ,39,41,1.05
219,Mercer ,59,62,1.05
220,Iona ,44,46,1.05
221,UNCW ,46,48,1.04
222,Sam Houston St. ,47,49,1.04
222,Ohio ,47,49,1.04
224,Jackson St. ,50,52,1.04
225,Winthrop ,51,53,1.04
226,Cleveland St. ,52,54,1.04
227,UConn ,53,55,1.04
228,Illinois St. ,56,58,1.04
229,Fla. Atlantic ,59,61,1.03
230,Southern U. ,30,31,1.03
231,ETSU ,48,49,1.02
231,Nicholls St. ,48,49,1.02
233,Pacific ,55,56,1.02
234,North Florida ,59,60,1.02
235,A&M-Corpus Christi ,49,49,1.00
235,Quinnipiac ,50,50,1.00
235,UC Davis ,49,49,1.00
238,Charleston So. ,59,58,0.98
239,Missouri St. ,55,54,0.98
240,Hawaii ,54,53,0.98
241,Western Caro. ,53,52,0.98
242,North Texas ,50,49,0.98
243,Rhode Island ,44,43,0.98
244,Coppin St. ,36,35,0.97
245,Kentucky ,58,56,0.97
246,UC Riverside ,56,54,0.96
246,South Fla. ,56,54,0.96
246,Colorado St. ,56,54,0.96
246,Holy Cross ,28,27,0.96
250,Georgia Tech ,50,48,0.96
251,Central Conn. St. ,45,43,0.96
252,Morgan St. ,38,36,0.95
253,Southeastern La. ,52,49,0.94
254,Detroit Mercy ,50,47,0.94
255,Tennessee St. ,48,45,0.94
256,Georgetown ,47,44,0.94
257,Maine ,44,41,0.93
258,George Mason ,52,48,0.92
258,Oklahoma St. ,52,48,0.92
260,SFA ,51,47,0.92
261,Yale ,34,31,0.91
262,N.C. Central ,45,41,0.91
263,Bethune-Cookman ,51,46,0.90
264,Western Ky. ,50,45,0.90
265,Appalachian St. ,49,44,0.90
266,Iowa St. ,54,47,0.87
267,East Carolina ,53,46,0.87
268,La Salle ,37,32,0.86
269,Harvard ,44,38,0.86
270,Bowling Green ,48,41,0.85
271,Ark.-Pine Bluff ,40,34,0.85
272,Hartford ,46,39,0.85
273,Grambling ,38,32,0.84
274,Hofstra ,53,44,0.83
275,Wagner ,34,28,0.82
276,Morehead St. ,46,37,0.80
276,N.C. A&T ,46,37,0.80
278,San Diego ,52,41,0.79
279,Lafayette ,41,32,0.78
280,UCF ,59,46,0.78
281,Memphis ,53,40,0.75
282,Mount St. Mary's ,44,33,0.75
283,Creighton ,43,31,0.72
284,Arkansas ,53,38,0.72
285,Niagara ,44,31,0.70
286,Florida A&M ,57,40,0.70
287,FGCU ,53,37,0.70
288,Alcorn ,33,23,0.70
289,Purdue Fort Wayne ,48,32,0.67
