Rank,College,G,3B,PG
1,Canisius ,45,21,0.47
2,Alabama St. ,54,22,0.41
3,James Madison ,58,23,0.40
4,Delaware ,53,20,0.38
5,Fresno St. ,56,19,0.34
6,Nicholls St. ,48,16,0.33
6,Tulsa ,54,18,0.33
6,LSU ,66,22,0.33
9,Idaho St. ,52,16,0.31
9,Southeastern La. ,52,16,0.31
11,Lehigh ,49,15,0.31
12,UTSA ,54,16,0.30
13,Kennesaw St. ,51,15,0.29
14,Ball St. ,59,17,0.29
14,Mercer ,59,17,0.29
16,Florida St. ,63,18,0.29
16,South Fla. ,56,16,0.29
16,Purdue ,56,16,0.29
19,Mississippi St. ,57,16,0.28
20,Saint Francis ,50,14,0.28
21,Alabama A&M ,43,12,0.28
22,CSUN ,58,16,0.28
22,Oklahoma ,58,16,0.28
24,Harvard ,44,12,0.27
25,George Washington ,48,13,0.27
25,Albany ,48,13,0.27
27,Alabama ,63,17,0.27
28,South Carolina ,60,16,0.27
29,Towson ,57,15,0.26
30,Georgia ,61,16,0.26
31,UIC ,46,12,0.26
32,Lamar University ,54,14,0.26
33,Bethune-Cookman ,51,13,0.25
34,Utah St. ,55,14,0.25
35,George Mason ,52,13,0.25
35,Miami ,56,14,0.25
35,La.-Monroe ,52,13,0.25
38,Northern Ill. ,53,13,0.25
38,Col. of Charleston ,53,13,0.25
40,UT Martin ,50,12,0.24
41,Ole Miss ,55,13,0.24
42,Charlotte ,51,12,0.24
43,Stony Brook ,47,11,0.23
44,Northern Colo. ,43,10,0.23
45,Jacksonville ,56,13,0.23
45,Virginia ,56,13,0.23
45,McNeese ,56,13,0.23
48,San Diego ,52,12,0.23
49,California ,57,13,0.23
50,Boston U. ,44,10,0.23
51,UTEP ,53,12,0.23
52,New Mexico ,54,12,0.22
52,UCLA ,63,14,0.22
52,FIU ,54,12,0.22
52,South Dakota ,54,12,0.22
56,Oregon ,59,13,0.22
57,Texas ,55,12,0.22
57,Samford ,55,12,0.22
59,Green Bay ,46,10,0.22
60,Akron ,51,11,0.22
60,Oakland ,51,11,0.22
62,Cal St. Fullerton ,56,12,0.21
62,Penn ,42,9,0.21
64,Florida ,67,14,0.21
65,South Alabama ,53,11,0.21
65,Elon ,53,11,0.21
65,Memphis ,53,11,0.21
68,Stanford ,54,11,0.20
69,Fla. Atlantic ,59,12,0.20
69,Washington ,59,12,0.20
71,Tennessee ,64,13,0.20
72,Evansville ,55,11,0.20
72,Kansas City ,55,11,0.20
72,Central Mich. ,50,10,0.20
72,Jackson St. ,50,10,0.20
72,Belmont ,45,9,0.20
77,Arizona ,61,12,0.20
78,Lipscomb ,56,11,0.20
79,Middle Tenn. ,51,10,0.20
79,Texas Tech ,51,10,0.20
79,Valparaiso ,51,10,0.20
82,CSU Bakersfield ,46,9,0.20
82,UNCW ,46,9,0.20
84,Saint Joseph's ,41,8,0.20
85,Wisconsin ,52,10,0.19
85,Oklahoma St. ,52,10,0.19
87,Nebraska ,58,11,0.19
88,East Carolina ,53,10,0.19
88,Arkansas ,53,10,0.19
88,LIU ,53,10,0.19
91,Youngstown St. ,48,9,0.19
91,Robert Morris ,48,9,0.19
91,Tennessee St. ,48,9,0.19
94,Kent St. ,54,10,0.19
94,BYU ,54,10,0.19
94,Louisiana ,54,10,0.19
94,Iowa St. ,54,10,0.19
98,Colgate ,38,7,0.18
99,Minnesota ,60,11,0.18
100,Delaware St. ,44,8,0.18
100,Alcorn ,33,6,0.18
100,Maine ,44,8,0.18
103,Montana ,50,9,0.18
103,North Texas ,50,9,0.18
105,Providence ,39,7,0.18
105,UMES ,39,7,0.18
107,Wright St. ,56,10,0.18
107,Colorado St. ,56,10,0.18
107,Furman ,56,10,0.18
107,Holy Cross ,28,5,0.18
107,North Dakota St. ,56,10,0.18
112,Binghamton ,45,8,0.18
113,Winthrop ,51,9,0.18
114,Murray St. ,57,10,0.18
115,New Mexico St. ,63,11,0.17
116,N.C. A&T ,46,8,0.17
117,Ohio St. ,52,9,0.17
117,South Dakota St. ,52,9,0.17
119,Fordham ,58,10,0.17
119,Baylor ,58,10,0.17
121,Western Ill. ,41,7,0.17
122,North Carolina ,53,9,0.17
123,SIUE ,59,10,0.17
123,North Florida ,59,10,0.17
125,Coppin St. ,36,6,0.17
125,Northwestern St. ,54,9,0.17
125,Georgia St. ,60,10,0.17
125,Princeton ,42,7,0.17
125,Bowling Green ,48,8,0.17
130,Auburn ,67,11,0.16
131,Houston ,55,9,0.16
131,Cal Poly ,55,9,0.16
131,UNLV ,55,9,0.16
134,Radford ,49,8,0.16
134,Rutgers ,49,8,0.16
136,Creighton ,43,7,0.16
137,Toledo ,56,9,0.16
138,Gardner-Webb ,50,8,0.16
138,Georgia Tech ,50,8,0.16
140,Monmouth ,44,7,0.16
141,Penn St. ,57,9,0.16
141,Grambling ,38,6,0.16
141,Notre Dame ,57,9,0.16
144,Boston College ,51,8,0.16
144,IUPUI ,51,8,0.16
146,Houston Baptist ,45,7,0.16
147,Missouri ,58,9,0.16
148,Eastern Ky. ,52,8,0.15
148,Southern Miss. ,52,8,0.15
148,Savannah St. ,39,6,0.15
148,Oregon St. ,52,8,0.15
148,St. Bonaventure ,39,6,0.15
153,Iowa ,59,9,0.15
154,Hartford ,46,7,0.15
155,FGCU ,53,8,0.15
156,Ohio ,47,7,0.15
157,Villanova ,54,8,0.15
157,Bradley ,54,8,0.15
159,Michigan ,68,10,0.15
160,Southern Ill. ,48,7,0.15
161,Troy ,55,8,0.15
161,Utah ,55,8,0.15
163,Central Ark. ,56,8,0.14
163,UC Riverside ,56,8,0.14
163,Mississippi Val. ,49,7,0.14
166,Marshall ,50,7,0.14
166,Stetson ,50,7,0.14
168,Rhode Island ,44,6,0.14
169,UCF ,59,8,0.14
170,Cleveland St. ,52,7,0.13
171,N.C. Central ,45,6,0.13
172,Drake ,53,7,0.13
172,Texas St. ,53,7,0.13
174,Southeast Mo. St. ,46,6,0.13
175,Sacramento St. ,54,7,0.13
