Rank,College,G,IP,R,ER,ERA
1,Florida ,63,412.1,68,55,0.93
2,James Madison ,56,377.2,85,62,1.15
3,Fla. Atlantic ,60,411.2,86,68,1.16
4,Kentucky ,59,395.1,130,100,1.77
5,Nicholls St. ,56,382.0,133,103,1.89
6,LSU ,70,462.2,176,125,1.89
7,Dayton ,49,343.2,138,96,1.96
8,Ohio ,60,427.1,159,123,2.01
9,Louisiana ,55,340.0,127,100,2.06
10,McNeese ,57,386.0,140,115,2.09
11,UCF ,60,404.1,150,121,2.09
12,Michigan ,59,366.1,131,110,2.10
13,South Alabama ,51,336.0,128,102,2.13
14,Texas St. ,62,401.0,157,122,2.13
15,Oregon ,58,373.0,146,114,2.14
16,Tulsa ,56,360.0,150,112,2.18
17,Auburn ,70,454.0,179,142,2.19
18,Cal St. Fullerton ,61,410.0,157,130,2.22
19,Florida St. ,65,423.0,166,135,2.23
20,Tennessee ,59,364.2,164,117,2.25
21,Oklahoma ,65,427.1,155,138,2.26
22,Wright St. ,60,408.1,183,132,2.26
23,UIC ,51,349.1,156,113,2.26
24,Georgia ,66,417.0,182,135,2.27
25,Longwood ,60,400.2,162,131,2.29
26,Louisville ,52,338.0,148,111,2.30
27,Saint Joseph's ,52,350.0,166,117,2.34
28,Alabama ,65,415.2,161,140,2.36
29,UNCW ,50,370.0,169,126,2.38
30,Quinnipiac ,57,384.2,200,131,2.38
31,Lehigh ,52,349.1,149,119,2.38
32,SIUE ,54,372.2,171,129,2.42
33,Cal Poly ,50,334.0,148,116,2.43
34,Southern Ill. ,52,343.0,143,120,2.45
35,Baylor ,59,393.2,164,138,2.45
36,Texas ,54,359.1,160,126,2.45
37,Akron ,56,375.0,183,132,2.46
38,South Fla. ,61,394.2,177,139,2.47
39,USC Upstate ,58,384.2,165,139,2.53
40,Monmouth ,50,333.1,167,121,2.54
41,Eastern Ky. ,54,365.1,162,133,2.55
42,Army West Point ,59,396.2,189,148,2.61
43,Arizona ,61,393.1,194,150,2.67
44,UNI ,57,376.2,189,144,2.68
45,Minnesota ,57,365.1,190,142,2.72
46,Marist ,58,384.0,184,150,2.73
47,Jacksonville St. ,60,402.0,200,158,2.75
48,Northern Ill. ,55,361.0,190,142,2.75
49,Boston U. ,52,343.0,170,136,2.78
50,George Mason ,47,312.1,165,124,2.78
51,Bucknell ,50,329.0,153,131,2.79
52,Utah ,56,355.2,178,142,2.79
53,UT Martin ,56,377.1,189,151,2.80
54,FGCU ,59,393.1,222,158,2.81
55,Syracuse ,53,362.0,172,146,2.82
56,South Carolina ,61,396.2,198,160,2.82
57,Kent St. ,59,385.1,201,156,2.83
58,Lipscomb ,55,367.2,195,149,2.84
59,Long Beach St. ,55,368.2,189,151,2.87
60,New Mexico St. ,59,363.2,212,149,2.87
61,Mississippi St. ,57,394.2,200,162,2.87
62,Kennesaw St. ,58,383.0,206,158,2.89
63,Boston College ,53,355.2,178,147,2.89
64,Evansville ,50,338.1,193,140,2.90
65,Kansas ,51,328.0,146,136,2.90
66,Radford ,61,412.1,233,171,2.90
67,Charlotte ,55,367.0,185,153,2.92
68,Massachusetts ,50,331.0,179,138,2.92
69,Murray St. ,55,366.1,193,153,2.92
70,Lamar University ,57,377.1,239,158,2.93
71,Col. of Charleston ,58,390.1,191,165,2.96
72,Oakland ,44,295.0,205,125,2.97
73,Dartmouth ,42,277.2,145,118,2.97
74,Fairfield ,50,328.2,174,140,2.98
75,North Dakota St. ,54,347.1,177,148,2.98
76,California ,58,384.2,208,164,2.98
77,Hawaii ,54,367.0,219,157,2.99
78,Liberty ,59,389.1,219,167,3.00
79,Central Ark. ,57,379.2,222,163,3.01
80,Purdue ,55,368.1,209,160,3.04
81,Weber St. ,56,369.0,202,162,3.07
82,Stetson ,54,365.2,199,161,3.08
83,Illinois ,59,387.2,213,171,3.09
84,Missouri ,58,375.1,210,167,3.11
85,Manhattan ,51,336.2,194,150,3.12
86,BYU ,57,378.1,219,169,3.13
87,FIU ,56,364.0,220,163,3.13
88,Washington ,54,354.2,204,159,3.14
89,Maine ,49,315.2,172,143,3.17
90,Oregon St. ,51,339.2,196,154,3.17
91,Louisiana Tech ,54,361.2,218,164,3.17
92,UC Riverside ,55,366.0,197,166,3.17
93,Brown ,41,270.1,168,124,3.21
94,Samford ,60,394.0,213,181,3.22
95,Sacred Heart ,49,328.0,195,151,3.22
96,Wisconsin ,53,353.2,209,163,3.23
97,Elon ,51,361.2,214,167,3.23
98,Delaware ,51,340.0,199,157,3.23
99,CSUN ,56,386.2,203,179,3.24
100,Notre Dame ,56,369.1,196,171,3.24
101,Ole Miss ,63,414.1,208,193,3.26
102,SFA ,57,381.1,236,179,3.29
103,Central Mich. ,52,332.1,205,156,3.29
104,UConn ,52,345.1,204,163,3.30
105,Saint Mary's ,48,321.0,202,152,3.31
106,Nevada ,47,314.1,200,149,3.32
107,Towson ,54,352.0,227,168,3.34
108,St. John's ,49,313.2,174,150,3.35
109,Villanova ,50,334.0,194,160,3.35
110,Miami ,58,396.0,225,190,3.36
111,Ohio St. ,55,364.1,221,175,3.36
112,Marshall ,56,365.0,221,177,3.39
113,Furman ,61,411.1,263,200,3.40
114,UC Santa Barbara ,56,373.0,258,183,3.43
115,UTSA ,53,358.1,242,176,3.44
116,A&M-Corpus Christi ,48,312.2,204,154,3.45
117,Yale ,50,345.0,199,170,3.45
118,Western Mich. ,50,322.2,206,159,3.45
119,Virginia Tech ,57,358.1,234,177,3.46
120,Presbyterian ,53,345.2,202,172,3.48
121,Fresno St. ,55,366.2,219,183,3.49
122,Creighton ,47,308.0,182,154,3.50
123,Saint Francis ,58,369.2,224,185,3.50
124,Sacramento St. ,50,325.1,201,163,3.51
125,Fordham ,60,393.0,244,197,3.51
126,Harvard ,46,309.0,177,155,3.51
127,Delaware St. ,48,300.1,206,151,3.52
128,Morehead St. ,53,349.0,223,176,3.53
129,Indiana ,54,358.1,239,181,3.54
130,LMU ,53,351.1,216,178,3.55
131,Wagner ,49,321.2,210,163,3.55
132,Houston ,56,365.2,248,189,3.62
133,Southern Miss. ,58,385.0,254,199,3.62
134,Butler ,52,343.2,211,178,3.63
135,UNC Greensboro ,59,377.1,256,196,3.64
136,Stony Brook ,52,330.2,226,172,3.64
137,Eastern Ill. ,53,347.2,211,181,3.64
138,LIU ,56,363.0,247,189,3.64
139,UCLA ,57,373.0,236,195,3.66
140,Northwestern St. ,52,347.0,228,182,3.67
141,Florida A&M ,57,358.1,269,189,3.69
142,Penn ,44,286.2,200,152,3.71
143,Loyola Chicago ,49,312.0,209,166,3.72
144,Princeton ,51,345.1,216,184,3.73
145,Arizona St. ,57,382.2,228,204,3.73
146,San Diego St. ,52,347.1,213,186,3.75
147,CSU Bakersfield ,50,326.0,237,175,3.76
148,Missouri St. ,52,344.0,220,185,3.76
149,Georgia St. ,61,394.0,270,212,3.77
150,Canisius ,55,360.0,257,194,3.77
151,Western Caro. ,57,374.2,242,202,3.77
152,Southeastern La. ,55,361.0,271,196,3.80
153,Northwestern ,55,364.2,258,199,3.82
154,Saint Louis ,52,336.2,238,184,3.83
155,Robert Morris ,56,369.2,290,203,3.84
156,Savannah St. ,49,320.0,233,176,3.85
157,Pittsburgh ,52,330.1,228,182,3.86
158,Texas A&M ,59,372.0,252,205,3.86
159,Seattle U ,52,339.2,260,189,3.89
160,Nebraska ,56,377.2,254,211,3.91
161,Chattanooga ,59,390.0,275,218,3.91
162,ETSU ,42,278.0,196,156,3.93
163,San Diego ,51,335.2,236,189,3.94
164,La.-Monroe ,58,369.2,263,210,3.98
165,Colgate ,41,267.1,203,152,3.98
166,Coastal Carolina ,59,382.1,253,218,3.99
167,Binghamton ,49,306.2,213,175,3.99
168,UT Arlington ,49,320.2,215,183,3.99
169,UC Davis ,50,322.1,231,184,4.00
170,Memphis ,57,369.1,276,212,4.02
171,Penn St. ,54,355.0,246,204,4.02
172,George Washington ,52,342.0,258,197,4.03
173,Texas Southern ,44,289.2,195,167,4.04
174,Illinois St. ,53,341.1,253,198,4.06
175,Idaho St. ,51,335.0,243,195,4.07
176,Cleveland St. ,53,356.0,266,208,4.09
177,Charleston So. ,56,371.0,263,217,4.09
178,Drake ,54,347.0,258,203,4.10
179,IUPUI ,55,373.2,278,219,4.10
180,UAB ,59,378.0,266,222,4.11
181,Pacific ,48,305.2,220,180,4.12
182,North Florida ,49,317.1,242,187,4.13
183,Providence ,49,315.1,245,187,4.15
184,East Carolina ,54,353.1,268,210,4.16
185,Virginia ,51,335.1,291,200,4.17
186,Jacksonville ,58,385.0,307,231,4.20
187,Bethune-Cookman ,53,336.1,262,202,4.20
188,Central Conn. St. ,45,296.0,206,178,4.21
189,Georgia Tech ,55,375.2,258,226,4.21
190,Southeast Mo. St. ,49,313.2,237,189,4.22
191,UMBC ,56,358.0,259,216,4.22
192,Michigan St. ,55,360.2,271,219,4.25
193,Wichita St. ,57,367.2,256,225,4.28
194,Troy ,56,370.2,277,227,4.29
195,Middle Tenn. ,54,355.2,263,218,4.29
196,North Carolina ,57,378.1,288,232,4.29
197,Kansas City ,50,332.0,251,204,4.30
198,South Dakota St. ,57,364.0,291,224,4.31
199,North Texas ,55,360.2,254,222,4.31
200,Tennessee Tech ,56,362.1,266,224,4.33
201,Gardner-Webb ,54,351.0,272,217,4.33
202,Ga. Southern ,57,369.1,288,229,4.34
203,Mercer ,58,376.0,296,238,4.43
204,Belmont ,54,341.0,264,216,4.43
205,Western Ky. ,47,316.1,267,201,4.45
206,UNLV ,55,359.0,295,230,4.48
207,Seton Hall ,54,363.1,292,233,4.49
208,Lafayette ,45,291.0,220,187,4.50
209,Alabama St. ,55,357.1,287,230,4.51
210,Campbell ,59,382.2,312,248,4.54
211,Youngstown St. ,51,334.2,265,217,4.54
212,Oklahoma St. ,58,374.0,298,243,4.55
213,Albany ,52,328.1,256,214,4.56
214,Colorado St. ,46,308.0,247,201,4.57
215,Eastern Mich. ,51,330.1,282,216,4.58
216,Hofstra ,46,299.0,235,199,4.66
217,Iona ,46,292.2,243,195,4.66
218,Siena ,47,305.2,250,204,4.67
219,Buffalo ,54,350.1,299,236,4.72
220,Bowling Green ,54,348.2,299,235,4.72
221,Columbia ,48,323.0,264,219,4.75
222,North Dakota ,54,344.0,296,234,4.76
223,Santa Clara ,51,325.1,319,222,4.78
224,New Mexico ,50,329.2,274,226,4.80
225,Holy Cross ,44,288.1,242,198,4.81
226,La Salle ,45,284.0,250,196,4.83
227,Niagara ,48,300.1,270,208,4.85
228,Houston Baptist ,44,274.0,232,191,4.88
229,Iowa ,52,332.2,291,234,4.92
230,Rutgers ,57,366.1,297,259,4.95
231,DePaul ,52,333.2,271,236,4.95
232,Bryant ,48,305.2,242,217,4.97
233,Utah St. ,51,336.0,275,239,4.98
234,Detroit Mercy ,56,357.2,321,256,5.01
235,NC State ,56,364.0,340,263,5.06
236,Sam Houston St. ,54,335.1,306,243,5.07
237,Western Ill. ,48,304.2,257,221,5.08
238,Norfolk St. ,43,275.1,281,200,5.08
239,N.C. A&T ,49,310.2,288,226,5.09
240,Toledo ,54,350.1,296,255,5.10
241,Drexel ,55,342.0,320,250,5.12
242,Ball St. ,54,335.2,289,246,5.13
243,Morgan St. ,41,262.1,242,194,5.18
244,St. Bonaventure ,47,308.0,276,230,5.23
245,Montana ,56,365.2,317,275,5.26
246,San Jose St. ,52,329.2,291,248,5.27
247,UTEP ,55,340.1,325,259,5.33
248,Southern U. ,32,186.2,186,143,5.36
249,Omaha ,59,365.0,351,281,5.39
250,Bradley ,48,310.0,296,239,5.40
251,Utah Valley ,52,326.0,362,252,5.41
252,Austin Peay ,47,303.2,295,238,5.49
253,Rhode Island ,44,280.0,295,220,5.50
254,Valparaiso ,52,324.2,294,257,5.54
255,Hampton ,48,303.2,307,241,5.56
256,Winthrop ,58,360.2,361,288,5.59
257,N.C. Central ,49,295.1,318,237,5.62
258,Indiana St. ,51,324.1,333,261,5.63
259,Texas Tech ,55,344.2,348,284,5.77
260,Iowa St. ,55,347.0,340,286,5.77
261,Alcorn ,46,280.0,284,232,5.80
262,Jackson St. ,36,232.2,271,196,5.90
263,UMES ,41,256.2,250,217,5.92
264,Hartford ,51,317.2,334,269,5.93
265,Fairleigh Dickinson ,46,282.0,303,241,5.98
266,Prairie View ,38,224.2,239,193,6.01
267,South Dakota ,53,337.1,343,295,6.12
268,Mississippi Val. ,44,274.1,325,240,6.12
269,Stanford ,48,300.1,319,263,6.13
270,Purdue Fort Wayne ,51,313.1,377,279,6.23
271,Portland St. ,49,299.0,347,272,6.37
272,Mount St. Mary's ,50,294.2,366,269,6.39
273,Ark.-Pine Bluff ,51,298.0,386,277,6.51
274,Green Bay ,54,327.0,356,311,6.66
275,Georgetown ,44,271.2,341,263,6.78
276,Howard ,41,250.1,327,244,6.82
277,Rider ,50,310.2,370,305,6.87
278,Northern Colo. ,42,261.0,329,257,6.89
279,Arkansas ,56,346.0,411,345,6.98
280,Boise St. ,52,324.2,392,324,6.99
281,Maryland ,52,317.1,405,324,7.15
282,Tennessee St. ,55,330.1,404,343,7.27
283,Cornell ,41,248.0,310,261,7.37
284,Alabama A&M ,47,284.2,349,300,7.38
285,Southern Utah ,52,318.2,412,336,7.38
286,Appalachian St. ,56,340.1,455,378,7.77
287,Saint Peter's ,43,241.0,374,305,8.86
288,Coppin St. ,36,211.0,334,282,9.36
289,Grambling ,37,207.2,389,292,9.84
290,South Carolina St. ,30,159.2,309,236,10.35
