Rank,College,G,W-L,PO,A,E,PCT
1,Auburn ,62,42-19-1,"1,174",481,35,0.979
2,Kansas ,57,34-23,"1,133",309,31,0.979
3,Florida ,67,55-12,"1,305",472,40,0.978
4,Oklahoma ,64,51-13,"1,196",386,36,0.978
5,Washington ,52,37-15,962,381,31,0.977
6,Jacksonville St. ,55,40-15,"1,033",400,34,0.977
7,Mississippi St. ,60,39-21,"1,194",335,38,0.976
8,Michigan ,62,47-15,"1,196",442,41,0.976
9,Arizona ,60,44-16,"1,106",410,39,0.975
10,South Fla. ,60,43-17,"1,190",325,40,0.974
11,Notre Dame ,54,41-13,"1,074",309,37,0.974
12,Illinois St. ,53,25-28,"1,044",408,39,0.974
13,USC Upstate ,55,46-9,"1,086",290,38,0.973
14,Coastal Caro. ,56,41-15,"1,132",461,44,0.973
15,Akron ,43,27-16,874,428,36,0.973
16,NC State ,54,36-18,"1,059",419,41,0.973
17,North Carolina ,50,24-26,987,344,37,0.973
18,Indiana St. ,53,27-26,"1,074",448,43,0.973
19,Kentucky ,69,50-19,"1,455",598,59,0.972
20,Western Ky. ,58,33-24-1,"1,185",413,46,0.972
21,North Dakota St. ,54,36-18,"1,079",307,40,0.972
22,Bryant ,54,32-22,"1,078",479,45,0.972
23,Ga. Southern ,56,35-21,"1,137",305,42,0.972
24,Dartmouth ,50,31-19,"1,000",399,41,0.972
25,Oregon ,66,56-9-1,"1,290",412,50,0.971
26,Furman ,55,29-26,"1,100",452,46,0.971
27,Boston College ,53,30-23,"1,029",413,43,0.971
28,Stetson ,53,39-14,"1,071",502,47,0.971
29,UCLA ,60,52-8,"1,179",391,47,0.971
30,UAB ,59,32-27,"1,201",429,49,0.971
31,Alabama ,66,53-13,"1,312",410,52,0.971
32,Cal Poly ,52,33-19,"1,104",347,44,0.971
33,Arizona St. ,59,46-12-1,"1,148",366,46,0.971
34,Fresno St. ,52,31-21,"1,052",423,45,0.970
35,LIU Brooklyn ,56,22-34,"1,126",466,49,0.970
36,Fla. Atlantic ,55,33-22,"1,160",517,52,0.970
37,Northwestern ,53,35-18,998,320,41,0.970
38,Butler ,52,24-28,"1,065",348,44,0.970
39,Harvard ,44,28-15-1,930,383,41,0.970
40,Texas A&M ,59,37-22,"1,165",433,50,0.970
41,LSU ,62,38-24,"1,201",389,50,0.970
42,Tulsa ,62,53-9,"1,251",400,52,0.969
42,Rutgers ,47,28-19,934,336,40,0.969
44,Col. of Charleston ,56,40-16,"1,124",493,51,0.969
45,Florida St. ,64,55-9,"1,265",509,57,0.969
46,Eastern Ky. ,51,29-22,"1,022",281,43,0.968
47,Louisville ,58,36-22,"1,140",548,56,0.968
48,Cal St. Fullerton ,55,33-21-1,"1,088",447,51,0.968
49,Samford ,56,38-18,"1,135",448,53,0.968
50,Long Beach St. ,58,39-19,"1,128",465,54,0.967
51,North Texas ,53,31-22,"1,066",346,48,0.967
52,San Diego ,47,26-21,989,273,43,0.967
53,Virginia Tech ,59,36-23,"1,150",432,54,0.967
54,South Alabama ,56,42-14,"1,136",326,50,0.967
55,Fordham ,56,36-20,"1,088",461,53,0.967
56,Nebraska ,62,44-18,"1,227",628,64,0.967
57,California ,52,23-29,984,344,46,0.967
58,Holy Cross ,38,12-26,739,241,34,0.966
59,Wichita St. ,55,34-21,"1,099",396,52,0.966
60,Tennessee ,58,46-12,"1,130",420,54,0.966
61,UCF ,61,43-18,"1,262",315,55,0.966
62,Texas St. ,56,26-30,"1,070",323,49,0.966
63,Campbell ,58,31-27,"1,183",436,57,0.966
64,Manhattan ,55,26-29,"1,110",421,54,0.966
65,Albany ,47,34-13,956,291,44,0.966
66,Lehigh ,50,30-20,984,419,50,0.966
67,Texas ,58,35-23,"1,116",389,54,0.965
68,James Madison ,60,45-15,"1,210",490,61,0.965
69,Elon ,54,24-29-1,"1,051",452,54,0.965
69,Portland St. ,44,8-36,810,359,42,0.965
71,Georgia ,64,49-15,"1,240",427,60,0.965
72,Lipscomb ,56,41-15,"1,129",536,60,0.965
73,Northwestern St. ,52,30-22,"1,003",355,49,0.965
74,Sacred Heart ,42,12-30,843,335,43,0.965
75,Baylor ,65,49-16,"1,327",340,61,0.965
76,Ball St. ,52,33-19,986,434,52,0.965
77,Kennesaw St. ,53,24-29,"1,069",348,52,0.965
78,Southern Ill. ,52,28-24,"1,020",447,54,0.964
79,Illinois ,50,24-26,993,500,55,0.964
80,Saint Joseph's ,42,22-20,823,316,42,0.964
81,Central Mich. ,56,34-22,"1,124",439,58,0.964
82,Bucknell ,49,23-26,988,398,52,0.964
83,Colorado St. ,49,32-17,981,457,54,0.964
84,UNLV ,54,26-28,"1,107",534,62,0.964
85,Army West Point ,51,23-28,998,481,56,0.964
86,Maine ,37,18-19,721,280,38,0.963
87,Cornell ,44,18-26,866,342,46,0.963
88,FGCU ,60,33-26-1,"1,196",589,68,0.963
89,Hofstra ,49,34-15,959,399,52,0.963
90,UC Santa Barbara ,54,34-20,"1,099",493,61,0.963
91,Missouri ,61,43-18,"1,222",469,65,0.963
92,Buffalo ,52,30-22,"1,072",303,53,0.963
93,Utah ,55,31-24,"1,070",615,65,0.963
94,Georgia St. ,56,30-26,"1,119",406,59,0.963
95,Houston ,56,33-23,"1,136",569,66,0.963
96,Idaho St. ,55,35-20,"1,065",407,57,0.963
97,Purdue Fort Wayne ,55,40-15,"1,093",351,56,0.963
98,Stony Brook ,52,34-18,"1,026",417,56,0.963
99,Yale ,41,8-33,796,412,47,0.963
100,McNeese ,57,40-17,"1,107",356,57,0.963
101,George Mason ,43,22-21,848,401,49,0.962
102,Green Bay ,41,27-14,802,366,46,0.962
103,Valparaiso ,58,24-34,"1,103",369,58,0.962
104,Saint Louis ,51,30-21,"1,018",554,62,0.962
105,Texas Southern ,51,31-20,941,366,52,0.962
106,South Carolina ,58,36-22,"1,115",440,62,0.962
107,Eastern Ill. ,55,38-17,"1,141",413,62,0.962
108,Iowa St. ,55,23-31-1,"1,031",420,58,0.962
109,Houston Baptist ,50,22-28,955,320,51,0.962
109,Georgia Tech ,47,23-24,912,388,52,0.962
111,St. Bonaventure ,40,7-33,731,318,42,0.962
112,East Carolina ,48,28-20,957,437,56,0.961
113,St. John's ,51,28-23,988,477,59,0.961
114,BYU ,57,34-23,"1,117",395,61,0.961
115,Minnesota ,56,44-12,"1,103",428,62,0.961
116,Pacific ,48,20-28,975,383,55,0.961
117,Penn St. ,49,14-35,935,392,54,0.961
118,SIUE ,53,30-23,"1,072",327,57,0.961
119,Miami ,50,22-28,"1,021",448,60,0.961
120,Missouri St. ,55,28-27,"1,074",416,61,0.961
121,Central Conn. St. ,45,29-16,908,281,49,0.960
122,Columbia ,44,22-22,835,399,51,0.960
123,Ohio St. ,55,30-25,"1,053",420,61,0.960
124,Marist ,51,27-24,953,423,57,0.960
125,UC Riverside ,54,23-31,"1,075",421,62,0.960
126,Syracuse ,49,24-25,949,274,51,0.960
127,DePaul ,55,44-11,"1,073",434,63,0.960
128,Ohio ,58,32-26,"1,188",312,63,0.960
128,Saint Mary's ,50,23-27,"1,021",479,63,0.960
130,Nicholls St. ,53,19-34,"1,017",411,60,0.960
131,Utah St. ,55,18-37,"1,040",338,58,0.960
132,Cleveland St. ,44,24-20,871,382,53,0.959
133,Oklahoma St. ,54,26-28,"1,061",377,61,0.959
134,Louisiana ,60,49-10-1,"1,239",408,70,0.959
135,Creighton ,53,29-24,"1,072",361,61,0.959
136,Robert Morris ,49,24-25,989,419,60,0.959
137,Fairfield ,42,20-22,810,314,48,0.959
138,New Mexico ,52,16-36,957,447,60,0.959
139,Wisconsin ,56,36-20,"1,096",348,62,0.959
140,South Dakota ,51,29-22,"1,008",339,58,0.959
141,Fairleigh Dickinson ,42,21-21,832,303,49,0.959
142,Stanford ,55,30-25,"1,043",485,66,0.959
143,UConn ,51,13-38,953,412,59,0.959
144,Youngstown St. ,54,30-24,"1,088",462,67,0.959
145,Boston U. ,57,36-21,"1,146",472,70,0.959
146,Bowling Green ,52,23-28-1,"1,049",542,69,0.958
147,Sacramento St. ,46,25-21,891,353,54,0.958
148,Tennessee Tech ,59,25-34,"1,137",452,69,0.958
149,Pittsburgh ,44,15-29,847,372,53,0.958
150,Princeton ,43,17-26,860,358,53,0.958
151,Loyola Chicago ,56,25-31,"1,108",474,69,0.958
152,Michigan St. ,49,12-37,938,297,54,0.958
153,IUPUI ,48,24-24,925,367,57,0.958
154,Presbyterian ,52,26-26,"1,025",356,61,0.958
155,Villanova ,52,18-34,"1,084",339,63,0.958
156,Western Mich. ,51,17-34,978,465,64,0.958
157,Southern Utah ,54,23-31,997,442,64,0.957
158,San Diego St. ,59,40-19,"1,187",472,74,0.957
159,Charlotte ,49,20-29,942,403,60,0.957
160,Jacksonville ,49,20-29,966,355,59,0.957
161,Siena ,55,29-26,"1,093",490,71,0.957
162,Georgetown ,48,26-22,950,251,54,0.957
163,FIU ,53,33-20,"1,039",338,62,0.957
