Rank,College,G,R,PG
1,Boise St. ,56,379,6.77
2,Oklahoma ,62,413,6.66
3,South Dakota St. ,55,356,6.47
4,Illinois ,55,350,6.36
5,UCLA ,65,411,6.32
6,Florida ,67,417,6.22
7,Towson ,61,377,6.18
8,James Madison ,57,352,6.18
9,George Washington ,54,331,6.13
10,Oregon ,63,385,6.11
11,Columbia ,40,244,6.10
12,Hofstra ,55,334,6.07
13,Nevada ,54,327,6.06
14,Georgia ,61,364,5.97
15,Alabama A&M ,43,255,5.93
16,Northwestern ,57,338,5.93
17,Massachusetts ,49,290,5.92
18,Drexel ,52,305,5.87
19,Florida St. ,70,410,5.86
20,McNeese ,62,361,5.82
21,Creighton ,43,250,5.81
22,Tennessee ,62,360,5.81
23,La.-Monroe ,53,307,5.79
24,Washington ,62,358,5.77
25,San Jose St. ,49,279,5.69
26,Minnesota ,58,330,5.69
27,Oklahoma St. ,61,347,5.69
28,BYU ,58,326,5.62
29,New Mexico St. ,53,297,5.60
30,Gardner-Webb ,58,323,5.57
31,Long Beach St. ,57,317,5.56
32,Kent St. ,52,284,5.46
33,UNC Greensboro ,59,320,5.42
34,Southeastern La. ,59,319,5.41
35,Saint Francis ,58,313,5.40
36,Kentucky ,56,302,5.39
37,Grand Canyon ,59,318,5.39
38,Fresno St. ,54,291,5.39
39,Michigan ,57,307,5.39
40,St. John's ,50,269,5.38
41,Louisville ,53,285,5.38
42,Ohio ,57,304,5.33
43,Fordham ,56,298,5.32
44,Penn ,37,196,5.30
45,Bethune-Cookman ,57,300,5.26
46,Campbell ,56,294,5.25
47,Baylor ,56,293,5.23
48,Ohio St. ,52,271,5.21
49,Texas Southern ,43,224,5.21
50,Mississippi St. ,61,316,5.18
51,Ball St. ,56,290,5.18
52,Arizona St. ,61,315,5.16
53,Weber St. ,54,278,5.15
54,Eastern Ky. ,66,339,5.14
55,Nicholls St. ,55,281,5.11
56,Boston U. ,59,301,5.10
57,Auburn ,58,295,5.09
58,Western Ky. ,54,269,4.98
59,Memphis ,58,288,4.97
60,Pittsburgh ,52,258,4.96
61,Arizona ,59,292,4.95
62,South Carolina ,66,325,4.92
63,Colorado St. ,50,246,4.92
64,Charleston So. ,56,274,4.89
65,Wichita St. ,55,269,4.89
66,Villanova ,53,259,4.89
