Rank,College,G,R,PG
187,Portland St. ,51,217,4.25
188,UTEP ,53,224,4.23
189,N.C. Central ,45,190,4.22
190,Western Ill. ,41,173,4.22
191,Iowa St. ,54,227,4.20
192,Wright St. ,56,235,4.20
193,Austin Peay ,46,193,4.20
193,UIC ,46,193,4.20
195,Army West Point ,51,213,4.18
196,Bryant ,49,203,4.14
197,Maine ,44,182,4.14
198,Colgate ,38,157,4.13
199,Toledo ,56,231,4.13
200,Elon ,53,218,4.11
200,Col. of Charleston ,53,218,4.11
200,Drake ,53,218,4.11
203,Missouri St. ,55,226,4.11
204,Indiana St. ,58,237,4.09
205,Ohio ,47,192,4.09
206,North Florida ,59,240,4.07
207,Iowa ,59,239,4.05
208,Providence ,39,157,4.03
209,Southern Ill. ,48,193,4.02
210,Charlotte ,51,205,4.02
211,Liberty ,59,236,4.00
211,SFA ,51,204,4.00
211,Eastern Mich. ,50,200,4.00
211,Eastern Ill. ,48,192,4.00
215,Utah Valley ,59,235,3.98
216,Purdue ,56,223,3.98
217,Central Mich. ,50,199,3.98
218,Central Conn. St. ,45,179,3.98
219,Southern U. ,30,119,3.97
220,Radford ,49,194,3.96
221,Robert Morris ,48,190,3.96
222,Norfolk St. ,41,162,3.95
223,Furman ,56,221,3.95
224,Detroit Mercy ,50,196,3.92
225,UC Santa Barbara ,54,210,3.89
226,Gardner-Webb ,50,194,3.88
226,Southern Utah ,50,194,3.88
228,Southern Miss. ,52,200,3.85
228,St. Bonaventure ,39,150,3.85
230,Kentucky ,58,223,3.84
231,Massachusetts ,43,165,3.84
232,Iona ,44,168,3.82
233,FGCU ,53,202,3.81
234,Saint Mary's ,53,201,3.79
235,San Diego ,52,197,3.79
236,La Salle ,37,140,3.78
237,N.C. A&T ,46,174,3.78
238,Ark.-Pine Bluff ,40,150,3.75
239,Mississippi Val. ,49,183,3.73
240,Morehead St. ,46,171,3.72
241,Evansville ,55,204,3.71
242,CSU Bakersfield ,46,169,3.67
243,Sam Houston St. ,47,172,3.66
244,North Dakota ,55,201,3.65
245,Loyola Chicago ,50,182,3.64
246,UC Davis ,49,178,3.63
247,Arkansas ,53,192,3.62
248,Buffalo ,50,181,3.62
249,Fairleigh Dickinson ,36,130,3.61
250,Princeton ,42,150,3.57
251,Ga. Southern ,51,181,3.55
