Rank,College,G,W-L,PO,A,E,PCT
213,Indiana ,54,19-35,"1,045",404,75,0.951
214,Maine ,47,8-39,940,411,70,0.951
215,Bryant ,43,21-22,834,362,62,0.951
216,La Salle ,47,16-31,886,419,68,0.950
217,Jackson St. ,57,28-29,"1,112",605,90,0.950
218,Oakland ,31,7-23-1,626,286,48,0.950
219,Lamar University ,59,24-35,"1,136",474,85,0.950
220,Fairleigh Dickinson ,44,23-21,901,367,67,0.950
221,Chattanooga ,53,26-27,"1,062",485,82,0.950
221,Lafayette ,53,11-42,"1,024",523,82,0.950
223,Longwood ,61,41-20,"1,173",562,92,0.950
224,Texas Tech ,56,30-26,"1,091",479,84,0.949
225,Memphis ,60,24-36,"1,230",354,85,0.949
226,A&M-Corpus Christi ,50,11-39,953,441,75,0.949
227,Central Conn. St. ,51,36-15,975,270,67,0.949
228,Saint Peter's ,54,9-45,962,468,77,0.949
229,IUPUI ,49,18-31,944,374,71,0.949
230,Quinnipiac ,52,17-35,"1,006",512,82,0.949
231,Weber St. ,48,10-38,943,406,73,0.949
232,Santa Clara ,54,8-46,"1,009",467,80,0.949
233,Niagara ,46,16-30,888,289,64,0.948
234,Winthrop ,57,28-29,"1,132",431,85,0.948
235,UC Riverside ,55,20-35,"1,037",413,79,0.948
236,Rider ,49,8-41,885,433,72,0.948
237,Sacred Heart ,54,24-30,"1,075",442,83,0.948
238,Southern Miss. ,55,14-41,"1,077",531,88,0.948
239,Pittsburgh ,48,19-29,934,435,75,0.948
240,Siena ,47,21-26,887,440,73,0.948
241,Northern Colo. ,47,16-30-1,889,419,72,0.948
242,Hampton ,60,34-26,"1,181",399,87,0.948
243,UConn ,53,26-27,"1,056",473,85,0.947
244,Elon ,52,21-31,"1,005",361,76,0.947
245,Idaho St. ,52,29-23,"1,025",428,81,0.947
246,St. Bonaventure ,52,10-42,"1,003",458,82,0.947
247,Canisius ,47,22-25,922,392,74,0.947
248,Drexel ,50,14-36,"1,009",375,78,0.947
249,Colorado St. ,49,25-24,981,414,79,0.946
250,Presbyterian ,53,22-31,"1,048",462,86,0.946
251,UTEP ,48,13-35,945,437,81,0.945
252,Western Caro. ,56,20-36,"1,075",341,83,0.945
253,Wagner ,49,12-37,961,429,82,0.944
254,Holy Cross ,44,13-31,853,328,70,0.944
255,Florida A&M ,52,20-32,"1,001",416,85,0.943
256,Youngstown St. ,46,19-27,965,397,82,0.943
257,Houston Baptist ,42,17-25,819,311,69,0.942
258,Delaware St. ,54,20-34,987,388,85,0.942
259,Troy ,53,21-32,"1,018",477,93,0.941
260,North Dakota ,40,10-30,724,313,65,0.941
261,Colgate ,48,16-32,981,499,93,0.941
262,UNCW ,53,16-37,"1,068",472,98,0.940
263,Alcorn ,41,8-33,707,328,66,0.940
264,Southeast Mo. St. ,48,14-34,946,443,89,0.940
265,Wright St. ,56,19-37,"1,077",498,102,0.939
266,N.C. A&T ,44,9-35,806,396,78,0.939
267,Marshall ,58,36-22,"1,194",460,109,0.938
268,Alabama A&M ,38,11-27,691,333,68,0.938
269,Bethune-Cookman ,53,18-35,"1,029",561,107,0.937
270,Cleveland St. ,49,22-27,991,535,104,0.936
271,Charleston So. ,55,15-40,"1,035",460,103,0.936
272,Ark.-Pine Bluff ,42,14-28,733,266,69,0.935
273,Radford ,56,20-36,"1,072",416,104,0.935
274,Savannah St. ,50,26-24,940,372,94,0.933
275,Yale ,47,10-37,911,434,98,0.932
276,South Carolina St. ,43,16-27,823,323,84,0.932
277,Detroit Mercy ,50,5-45,926,383,96,0.932
278,UMBC ,52,11-41,990,457,107,0.931
279,Norfolk St. ,53,31-22,"1,024",497,116,0.929
280,Massachusetts ,43,18-25,811,342,89,0.928
281,Toledo ,53,17-36,"1,039",460,117,0.928
282,UMES ,47,14-33,923,325,101,0.925
283,Coppin St. ,43,18-25,842,367,99,0.924
284,Tennessee St. ,49,14-35,932,331,104,0.924
285,Alabama St. ,47,14-33,868,431,110,0.922
286,Southern U. ,48,5-43,845,428,119,0.915
287,Grambling ,45,11-34,812,337,115,0.909
288,N.C. Central ,49,5-44,835,259,127,0.896
289,Howard ,36,3-33,595,288,108,0.891
