Rank,College,G,2B,PG
187,Ohio St. ,53,56,1.06
188,Northern Ill. ,54,57,1.06
189,Texas Tech ,55,58,1.05
189,Buffalo ,55,58,1.05
191,North Texas ,56,59,1.05
192,Longwood ,61,64,1.05
193,Boston U. ,52,54,1.04
194,Western Ill. ,54,56,1.04
195,UNC Greensboro ,55,57,1.04
196,Bethune-Cookman ,57,59,1.04
197,Winthrop ,58,60,1.03
197,Iowa St. ,58,60,1.03
199,Youngstown St. ,59,61,1.03
200,Houston ,55,56,1.02
200,Coastal Carolina ,55,56,1.02
202,Northwestern St. ,57,58,1.02
203,Central Ark. ,60,61,1.02
204,Baylor ,63,64,1.02
204,La.-Monroe ,63,64,1.02
206,Tulsa ,58,58,1.00
206,Southern Miss. ,53,53,1.00
206,Southern U. ,39,39,1.00
206,Portland St. ,45,45,1.00
206,Penn St. ,56,56,1.00
206,Oregon St. ,55,55,1.00
206,Kansas City ,55,55,1.00
206,Detroit Mercy ,52,52,1.00
206,Coppin St. ,52,52,1.00
206,Purdue Fort Wayne ,48,48,1.00
206,Hawaii ,52,52,1.00
206,Florida A&M ,56,56,1.00
206,FIU ,61,61,1.00
219,LSU ,70,69,0.99
220,Drake ,55,54,0.98
221,Fairfield ,54,53,0.98
222,UTSA ,53,52,0.98
223,La Salle ,47,46,0.98
224,George Mason ,56,54,0.96
225,Prairie View ,48,46,0.96
226,CSU Bakersfield ,45,43,0.96
227,Holy Cross ,43,41,0.95
228,Samford ,61,58,0.95
229,FGCU ,60,57,0.95
229,Dartmouth ,40,38,0.95
231,Cal Poly ,59,56,0.95
232,Mercer ,57,54,0.95
233,Lipscomb ,56,53,0.95
234,Norfolk St. ,36,34,0.94
235,Arizona St. ,53,50,0.94
236,Kent St. ,63,59,0.94
237,UIC ,61,57,0.93
238,Bucknell ,43,40,0.93
239,Maryland ,51,47,0.92
240,SFA ,50,46,0.92
240,Creighton ,50,46,0.92
242,St. Bonaventure ,49,45,0.92
242,Tennessee St. ,49,45,0.92
242,Eastern Ill. ,49,45,0.92
245,Alabama A&M ,48,44,0.92
246,Stetson ,47,43,0.91
247,NC State ,56,51,0.91
248,South Alabama ,55,50,0.91
249,UC Riverside ,52,47,0.90
250,Georgetown ,48,43,0.90
251,Bowling Green ,56,50,0.89
252,Evansville ,53,47,0.89
253,Long Beach St. ,52,46,0.88
254,Fairleigh Dickinson ,42,37,0.88
255,Hartford ,49,43,0.88
256,Nicholls St. ,57,50,0.88
257,Memphis ,56,49,0.88
258,Southeastern La. ,55,48,0.87
259,Mississippi Val. ,46,40,0.87
259,Morgan St. ,46,40,0.87
261,Howard ,38,33,0.87
262,N.C. Central ,43,37,0.86
263,Middle Tenn. ,49,42,0.86
263,Ole Miss ,63,54,0.86
265,Lafayette ,41,35,0.85
266,Cal St. Fullerton ,58,49,0.84
267,Iowa ,51,43,0.84
268,Missouri St. ,49,41,0.84
269,Loyola Chicago ,53,44,0.83
270,UNLV ,52,43,0.83
271,Yale ,45,37,0.82
272,Purdue ,56,46,0.82
273,Rider ,50,41,0.82
273,Sacramento St. ,50,41,0.82
275,Alabama ,64,52,0.81
276,Fla. Atlantic ,56,45,0.80
276,South Fla. ,56,45,0.80
278,Presbyterian ,50,40,0.80
279,UAB ,54,43,0.80
279,UC Davis ,54,43,0.80
281,Morehead St. ,48,38,0.79
282,Indiana St. ,53,41,0.77
283,Saint Mary's ,48,36,0.75
284,Sam Houston St. ,51,38,0.75
285,Cleveland St. ,52,37,0.71
286,Bryant ,48,34,0.71
287,South Carolina St. ,41,28,0.68
288,Maine ,46,31,0.67
289,Savannah St. ,40,26,0.65
290,UConn ,48,28,0.58
291,A&M-Corpus Christi ,48,19,0.40
