Rank,College,G,PO,A,E,PCT
1,Florida ,67,"1,312",410,33,0.981
2,UCF ,59,"1,224",278,32,0.979
3,Oklahoma ,58,"1,064",308,30,0.979
4,USC Upstate ,54,"1,017",325,30,0.978
5,North Texas ,50,962,365,30,0.978
6,Georgia St. ,60,"1,148",495,38,0.977
7,Stetson ,50,938,383,31,0.977
8,Utah ,55,"1,121",477,38,0.977
9,Kansas ,55,"1,092",374,35,0.977
10,Texas St. ,53,"1,049",309,33,0.976
11,Auburn ,67,"1,293",491,45,0.975
12,Hofstra ,53,"1,095",437,39,0.975
13,UAB ,51,999,446,37,0.975
14,Cal St. Fullerton ,56,"1,113",477,41,0.975
15,Alabama ,63,"1,227",322,40,0.975
16,UT Martin ,50,971,433,38,0.974
17,Furman ,56,"1,187",474,45,0.974
18,Samford ,55,"1,100",410,41,0.974
19,Lehigh ,49,998,434,39,0.973
20,Michigan ,68,"1,255",394,45,0.973
21,Notre Dame ,57,"1,077",345,39,0.973
22,North Dakota St. ,56,"1,081",264,37,0.973
23,Saint Joseph's ,41,776,386,32,0.973
24,Western Ky. ,50,"1,020",274,36,0.973
25,Pittsburgh ,59,"1,181",599,51,0.972
26,UC Riverside ,56,"1,211",499,49,0.972
27,Jacksonville St. ,55,"1,087",500,46,0.972
28,Louisiana ,54,997,279,37,0.972
29,North Carolina ,53,"1,006",467,43,0.972
30,Idaho St. ,52,978,443,42,0.971
31,Minnesota ,60,"1,147",368,45,0.971
32,CSUN ,58,"1,179",425,48,0.971
33,Virginia Tech ,57,"1,115",452,47,0.971
34,Louisville ,49,982,509,45,0.971
35,Canisius ,45,861,393,38,0.971
36,James Madison ,58,"1,114",368,45,0.971
37,Stony Brook ,47,947,427,42,0.970
38,Kentucky ,58,"1,178",509,52,0.970
39,Arizona St. ,58,"1,182",465,51,0.970
40,Tulsa ,54,"1,080",463,48,0.970
41,Fairfield ,49,997,384,43,0.970
42,Purdue ,56,"1,116",356,46,0.970
43,UCLA ,63,"1,220",428,52,0.969
44,Manhattan ,46,913,333,40,0.969
45,Dartmouth ,43,838,343,38,0.969
46,SIUE ,59,"1,200",291,48,0.969
47,Lipscomb ,56,"1,096",313,46,0.968
48,California ,57,"1,088",320,46,0.968
49,Washington ,59,"1,109",445,51,0.968
50,Baylor ,58,"1,154",429,52,0.968
51,Tennessee Tech ,61,"1,205",406,53,0.968
52,Cal Poly ,55,"1,140",349,49,0.968
53,Saint Mary's ,53,"1,087",461,51,0.968
54,Coastal Carolina ,57,"1,091",578,55,0.968
55,Western Mich. ,51,994,454,48,0.968
56,Iowa St. ,54,"1,053",393,48,0.968
57,South Fla. ,56,"1,110",425,51,0.968
58,Kent St. ,54,"1,083",281,46,0.967
59,Iowa ,59,"1,095",514,55,0.967
60,Oregon ,59,"1,110",345,50,0.967
61,Fla. Atlantic ,59,"1,208",500,59,0.967
62,South Alabama ,53,"1,044",373,49,0.967
63,Penn St. ,57,"1,098",488,55,0.966
64,Butler ,51,"1,017",393,49,0.966
65,Akron ,51,"1,033",404,50,0.966
66,Rutgers ,49,986,364,47,0.966
67,Central Ark. ,56,"1,079",357,50,0.966
68,Sacramento St. ,54,"1,102",438,54,0.966
69,Mississippi St. ,57,"1,129",439,55,0.966
70,Georgia Tech ,50,922,244,41,0.966
71,Fordham ,58,"1,145",382,54,0.966
72,LIU ,53,975,460,51,0.966
73,Texas A&M ,60,"1,188",465,59,0.966
74,Indiana St. ,58,"1,174",449,58,0.965
75,Hampton ,48,909,350,45,0.965
76,Valparaiso ,51,955,392,49,0.965
77,Dayton ,53,"1,075",351,52,0.965
78,UNCW ,46,916,366,47,0.965
79,Presbyterian ,50,973,334,48,0.965
80,La.-Monroe ,52,"1,015",317,49,0.965
81,Central Conn. St. ,45,924,216,42,0.964
82,Wichita St. ,57,"1,130",498,60,0.964
83,Nebraska ,58,"1,091",526,60,0.964
84,San Diego ,52,"1,046",407,54,0.964
85,LMU ,54,"1,049",538,59,0.964
86,Ole Miss ,55,"1,059",473,57,0.964
87,Pacific ,55,"1,053",574,61,0.964
88,Maine ,44,895,305,45,0.964
89,Green Bay ,46,870,329,45,0.964
90,Sacred Heart ,44,873,294,44,0.964
91,Albany ,48,942,380,50,0.964
92,Princeton ,42,823,366,45,0.964
93,Utah St. ,55,"1,057",469,58,0.963
94,Boston College ,51,"1,012",355,52,0.963
95,Western Caro. ,53,"1,060",359,54,0.963
96,Miami ,56,"1,162",414,60,0.963
97,Northern Colo. ,43,817,470,49,0.963
98,Charlotte ,51,"1,016",426,55,0.963
99,Illinois St. ,56,"1,061",535,61,0.963
100,Texas ,55,"1,083",276,52,0.963
101,Charleston So. ,59,"1,141",397,59,0.963
102,Villanova ,54,"1,093",340,55,0.963
103,Missouri St. ,55,"1,104",399,58,0.963
104,FIU ,54,"1,036",414,56,0.963
105,South Carolina ,60,"1,195",486,65,0.963
106,Murray St. ,57,"1,110",516,63,0.963
107,NC State ,60,"1,174",421,62,0.963
108,UMBC ,49,944,419,53,0.963
109,Tennessee ,64,"1,237",455,66,0.962
110,Texas Tech ,51,994,383,54,0.962
111,North Florida ,59,"1,166",491,65,0.962
112,Louisiana Tech ,50,"1,001",476,58,0.962
113,Syracuse ,46,881,263,45,0.962
114,George Washington ,48,925,498,56,0.962
115,Longwood ,59,"1,137",413,61,0.962
116,St. Bonaventure ,39,739,324,42,0.962
117,Fairleigh Dickinson ,36,712,272,39,0.962
118,Florida St. ,63,"1,261",420,67,0.962
119,Northwestern ,51,957,322,51,0.962
120,Nicholls St. ,48,950,376,53,0.962
121,Army West Point ,51,"1,048",501,62,0.962
122,Saint Francis ,50,978,418,56,0.961
123,Marist ,54,"1,111",517,66,0.961
124,Eastern Ky. ,52,"1,012",337,55,0.961
125,Creighton ,43,845,355,49,0.961
126,Gardner-Webb ,50,972,446,58,0.961
127,Fresno St. ,56,"1,107",380,61,0.961
128,Long Beach St. ,52,"1,056",351,58,0.960
129,Southern Ill. ,48,943,411,56,0.960
130,Ohio St. ,52,"1,011",441,61,0.960
131,Santa Clara ,50,984,467,61,0.960
132,Elon ,53,"1,038",389,60,0.960
133,Bucknell ,55,"1,088",396,63,0.959
134,Saint Louis ,54,"1,076",477,66,0.959
135,Oakland ,51,"1,023",409,61,0.959
136,LSU ,66,"1,265",378,70,0.959
137,Holy Cross ,28,568,227,34,0.959
138,George Mason ,52,"1,054",489,66,0.959
139,New Mexico St. ,63,"1,221",462,72,0.959
140,Morehead St. ,46,879,450,57,0.959
141,Troy ,55,"1,068",447,65,0.959
142,Arizona ,61,"1,131",499,70,0.959
143,Houston ,55,"1,087",540,70,0.959
144,Delaware St. ,44,811,326,49,0.959
145,UConn ,53,"1,021",439,63,0.959
146,UTSA ,54,"1,048",458,65,0.959
147,Penn ,42,839,319,50,0.959
148,Siena ,49,948,389,58,0.958
149,Georgetown ,47,918,275,52,0.958
150,Wisconsin ,52,997,376,60,0.958
151,A&M-Corpus Christi ,49,"1,001",363,60,0.958
152,Kennesaw St. ,51,"1,025",404,63,0.958
153,Montana ,50,959,332,57,0.958
154,UC Davis ,49,945,345,57,0.958
155,Central Mich. ,50,"1,020",333,60,0.958
156,Drake ,53,"1,039",288,59,0.957
157,Monmouth ,44,851,430,57,0.957
158,San Jose St. ,56,"1,056",470,68,0.957
159,Oklahoma St. ,52,"1,010",512,68,0.957
160,Eastern Ill. ,48,946,396,60,0.957
161,Harvard ,44,882,301,53,0.957
162,Georgia ,61,"1,171",406,71,0.957
163,McNeese ,56,"1,141",385,69,0.957
164,Stanford ,54,998,478,67,0.957
165,Weber St. ,57,"1,098",331,65,0.956
166,UIC ,46,925,388,60,0.956
167,Belmont ,45,855,347,55,0.956
168,Rhode Island ,44,769,363,52,0.956
169,UNC Greensboro ,47,909,417,61,0.956
170,Memphis ,53,"1,006",316,61,0.956
171,Missouri ,58,"1,119",440,72,0.956
172,Toledo ,56,"1,089",439,71,0.956
173,Lafayette ,41,726,367,51,0.955
174,UT Arlington ,55,"1,034",465,70,0.955
175,Southeastern La. ,52,"1,042",409,68,0.955
176,Binghamton ,45,866,409,60,0.955
177,CSU Bakersfield ,46,889,362,59,0.955
178,Hawaii ,54,"1,078",507,75,0.955
179,BYU ,54,"1,051",363,67,0.955
180,St. John's ,47,907,440,64,0.955
181,Illinois ,53,998,430,68,0.955
182,Providence ,39,760,411,56,0.954
183,Arkansas ,53,"1,014",488,72,0.954
184,Loyola Chicago ,50,996,485,71,0.954
185,DePaul ,46,882,431,63,0.954
186,Texas Southern ,43,844,302,55,0.954
187,Bradley ,54,"1,056",418,71,0.954
188,Houston Baptist ,45,832,328,56,0.954
189,UNI ,50,978,402,67,0.954
190,South Dakota St. ,52,941,438,67,0.954
191,Cleveland St. ,52,"1,021",454,72,0.953
192,Nevada ,53,"1,042",390,70,0.953
193,Winthrop ,51,"1,025",386,69,0.953
194,Wagner ,34,645,316,47,0.953
195,Mercer ,59,"1,163",346,74,0.953
196,Bryant ,49,906,398,64,0.953
197,Southern Utah ,50,945,418,67,0.953
198,UTEP ,53,991,489,73,0.953
199,FGCU ,53,"1,026",532,77,0.953
200,Youngstown St. ,48,935,380,65,0.953
201,San Diego St. ,58,"1,160",519,83,0.953
202,Savannah St. ,39,729,360,54,0.953
203,Boston U. ,44,839,309,57,0.953
204,Cornell ,41,790,297,54,0.953
205,Col. of Charleston ,53,"1,006",341,67,0.953
206,Ball St. ,59,"1,170",478,82,0.953
207,East Carolina ,53,"1,056",491,77,0.953
208,Eastern Mich. ,50,980,426,70,0.953
209,SFA ,51,981,283,63,0.953
210,South Dakota ,54,"1,030",365,70,0.952
211,Campbell ,55,"1,112",417,77,0.952
212,New Mexico ,54,"1,087",460,78,0.952
213,Ohio ,47,857,352,61,0.952
214,UNLV ,55,"1,039",505,78,0.952
215,Iona ,44,861,341,61,0.952
216,Western Ill. ,41,806,356,59,0.952
217,Wright St. ,56,"1,074",478,79,0.952
218,Michigan St. ,55,"1,078",427,77,0.951
219,Oregon St. ,52,981,456,74,0.951
220,Rider ,47,896,423,68,0.951
221,Southern Miss. ,52,"1,015",398,73,0.951
222,Chattanooga ,50,991,434,74,0.951
223,Towson ,57,"1,078",430,79,0.950
224,Robert Morris ,48,932,326,66,0.950
225,Seton Hall ,53,"1,060",424,78,0.950
226,Southeast Mo. St. ,46,942,383,70,0.950
227,Northwestern St. ,54,"1,048",367,75,0.950
228,Niagara ,44,787,399,63,0.950
229,ETSU ,48,948,368,70,0.949
230,Seattle U ,52,978,428,75,0.949
231,Bowling Green ,48,945,422,73,0.949
232,Columbia ,44,860,338,64,0.949
233,Marshall ,50,993,234,66,0.949
234,Sam Houston St. ,47,917,487,77,0.948
235,IUPUI ,51,"1,021",360,76,0.948
236,Lamar University ,54,"1,037",522,86,0.948
237,Southern U. ,30,605,318,51,0.948
238,Portland St. ,51,978,395,76,0.948
239,Northern Ill. ,53,"1,073",471,86,0.947
240,Delaware ,53,"1,013",402,79,0.947
241,Hartford ,46,809,314,63,0.947
242,Mount St. Mary's ,44,790,311,62,0.947
243,Quinnipiac ,50,929,400,75,0.947
244,Maryland ,54,"1,068",436,85,0.947
245,Boise St. ,54,"1,050",434,84,0.946
246,La Salle ,37,735,360,62,0.946
247,Drexel ,42,819,320,66,0.945
248,Massachusetts ,43,813,445,73,0.945
249,Appalachian St. ,49,886,368,73,0.945
250,Yale ,34,655,255,53,0.945
251,Kansas City ,55,"1,089",412,89,0.944
252,Jacksonville ,56,"1,135",551,100,0.944
253,Brown ,34,653,308,57,0.944
254,Bethune-Cookman ,51,991,441,85,0.944
255,South Carolina St. ,36,680,243,56,0.943
256,Detroit Mercy ,50,936,365,80,0.942
257,Colgate ,38,738,349,67,0.942
258,Colorado St. ,56,"1,098",583,104,0.942
259,Radford ,49,930,311,77,0.942
260,Jackson St. ,50,967,365,83,0.941
261,Liberty ,59,"1,169",494,104,0.941
262,Indiana ,56,"1,066",466,96,0.941
263,Morgan St. ,38,695,275,61,0.941
264,Middle Tenn. ,51,974,424,88,0.941
265,Alabama St. ,54,"1,039",488,99,0.939
266,Mississippi Val. ,49,898,344,82,0.938
267,Evansville ,55,"1,039",344,92,0.938
268,Alabama A&M ,43,807,407,81,0.937
269,N.C. A&T ,46,866,305,79,0.937
270,Virginia ,56,"1,078",416,102,0.936
271,Ga. Southern ,51,995,409,96,0.936
272,Saint Peter's ,42,761,289,73,0.935
273,UMES ,39,682,220,63,0.935
274,UC Santa Barbara ,54,"1,048",467,106,0.935
275,Austin Peay ,46,871,397,90,0.934
276,Grambling ,38,723,248,69,0.934
277,Florida A&M ,57,"1,112",393,107,0.934
278,Utah Valley ,59,"1,079",589,120,0.933
279,N.C. Central ,45,851,300,83,0.933
280,North Dakota ,55,975,371,101,0.930
281,Prairie View ,36,628,302,71,0.929
282,Coppin St. ,36,600,274,67,0.929
283,Tennessee St. ,48,900,373,98,0.929
284,Buffalo ,50,958,487,120,0.923
285,Howard ,43,737,401,95,0.923
286,Alcorn ,33,529,213,67,0.917
287,Purdue Fort Wayne ,48,771,296,98,0.916
288,Norfolk St. ,41,787,344,106,0.914
289,Ark.-Pine Bluff ,40,704,329,99,0.913
