Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
105,UNCW,Colonial,29-21-0,6-6-0,0-0-0,23-15-0,0-0-0
106,Southern Ill.,Missouri Valley,33-19-0,9-8-0,11-3-0,13-8-0,0-0-0
107,FIU,Conference USA,29-27-0,9-10-0,2-2-0,18-15-0,0-0-0
108,Ga. Southern,Sun Belt,30-27-0,9-14-0,8-7-0,13-6-0,0-0-0
109,St. John's (NY),Big East,29-20-0,7-13-0,8-6-0,14-1-0,0-0-0
110,Dayton,Atlantic 10,27-21-1,6-14-0,8-4-0,13-3-1,0-0-0
111,Michigan St.,Big Ten,27-28-0,5-14-0,14-9-0,8-5-0,0-0-0
112,Army West Point,Patriot,39-20-0,19-6-0,10-9-0,10-5-0,0-0-0
113,Illinois St.,Missouri Valley,20-33-0,4-15-0,10-11-0,6-7-0,0-0-0
114,Villanova,Big East,32-18-0,8-7-0,11-9-0,13-2-0,0-0-0
115,Loyola Marymount,West Coast,32-21-0,6-7-0,10-7-0,16-7-0,0-0-0
116,Rutgers,Big Ten,24-33-0,8-13-0,11-11-0,5-9-0,0-0-0
117,Colorado St.,Mountain West,22-24-0,7-7-0,9-10-0,6-7-0,0-0-0
118,UC Riverside,Big West,32-22-1,5-9-0,6-5-0,21-8-1,0-0-0
119,Lipscomb,Atlantic Sun,26-29-0,6-11-0,9-9-0,11-9-0,0-0-0
120,Coastal Caro.,Big South,37-22-0,10-7-0,3-8-0,24-7-0,0-0-0
121,Harvard,Ivy League,29-17-0,9-8-0,7-7-0,13-2-0,0-0-0
122,UNCG,Southern,33-26-0,4-11-0,5-4-0,24-11-0,0-0-0
123,Marist,Metro Atlantic,45-13-0,17-5-0,10-6-0,18-2-0,0-0-0
124,Kennesaw St.,Atlantic Sun,30-28-0,7-19-0,6-1-0,17-8-0,0-0-0
125,Drake,Missouri Valley,30-24-0,12-10-0,8-6-0,10-8-0,0-0-0
126,UC Santa Barbara,Big West,28-28-0,5-9-0,10-11-0,13-8-0,0-0-0
127,Elon,Colonial,26-25-0,4-9-0,4-9-0,18-7-0,0-0-0
128,Hawaii,Big West,24-30-0,5-7-0,2-4-0,17-19-0,0-0-0
129,Stetson,Atlantic Sun,30-24-0,4-5-0,4-6-0,22-13-0,0-0-0
130,Saint Joseph's,Atlantic 10,25-26-1,8-10-1,8-8-0,9-8-0,0-0-0
131,Butler,Big East,28-24-0,7-11-0,13-9-0,8-4-0,0-0-0
132,LIU Brooklyn,Northeast,30-26-0,10-6-0,10-17-0,10-3-0,0-0-0
133,SIUE,OVC,28-26-0,9-13-0,9-7-0,10-6-0,0-0-0
134,Wright St.,Horizon,37-23-0,15-12-0,8-9-0,14-2-0,0-0-0
135,SFA,Southland,28-29-0,10-9-0,9-11-0,9-9-0,0-0-0
136,Boston U.,Patriot,28-24-0,10-13-0,10-8-0,8-3-0,0-0-0
137,Maine,America East,28-21-0,10-9-0,10-10-0,7-2-0,1-0-0
138,Dartmouth,Ivy League,27-15-0,13-7-0,6-4-0,8-4-0,0-0-0
139,Binghamton,America East,34-15-0,12-5-0,8-8-0,14-2-0,0-0-0
140,New Mexico,Mountain West,23-27-0,8-8-0,9-9-0,6-10-0,0-0-0
141,Massachusetts,Atlantic 10,26-24-0,10-7-0,6-15-0,10-2-0,0-0-0
142,Stanford,Pac-12,13-35-0,3-12-0,8-5-0,2-18-0,0-0-0
143,Chattanooga,Southern,30-29-0,5-9-0,11-10-0,14-10-0,0-0-0
144,Saint Francis (PA),Northeast,34-24-0,10-15-0,11-7-0,13-2-0,0-0-0
145,North Florida,Atlantic Sun,20-29-0,3-10-0,11-12-0,6-7-0,0-0-0
146,Virginia,Atlantic Coast,18-33-0,7-14-0,6-7-0,5-12-0,0-0-0
147,UNLV,Mountain West,24-31-0,5-9-0,3-5-0,16-17-0,0-0-0
148,East Carolina,AAC,23-31-0,3-14-0,13-6-0,7-11-0,0-0-0
149,Liberty,Big South,31-28-0,9-11-0,8-10-0,14-7-0,0-0-0
150,Iowa St.,Big 12,20-35-0,2-17-0,7-6-0,11-12-0,0-0-0
151,UTEP,Conference USA,23-32-0,6-13-0,6-9-0,11-10-0,0-0-0
151,UTSA,Conference USA,20-33-0,6-12-0,3-9-0,11-12-0,0-0-0
153,Akron,Mid-American,30-25-1,9-10-1,10-6-0,11-9-0,0-0-0
154,Memphis,AAC,26-31-0,6-10-0,6-14-0,14-7-0,0-0-0
154,Radford,Big South,35-26-0,15-14-0,8-7-0,12-5-0,0-0-0
156,North Texas,Conference USA,22-33-0,6-16-0,5-4-0,11-13-0,0-0-0
157,Bucknell,Patriot,27-23-0,13-11-0,10-7-0,4-5-0,0-0-0
