Rank,College,Year
3,Oregon,2014
3,Baylor,2014
5,Kentucky,2014
5,Oklahoma,2014
7,ULL,2014
7,Florida State,2014
9,Nebraska,2014
9,Tennessee,2014
9,Arizona,2014
9,UCLA,2014
9,Georgia,2014
9,Washington,2014
9,Michigan,2014
9,Minnesota,2014
17,Auburn,2014
17,Wisconsin,2014
17,South Florida,2014
17,Arizona State,2014
17,Northwestern,2014
17,UCF,2014
17,Tulsa,2014
17,NC State,2014
17,Notre Dame,2014
17,DePaul,2014
17,Texas,2014
17,LSU,2014
17,Lipscomb,2014
17,Texas A&M,2014
17,South Alabama,2014
17,Missouri,2014
33,Albany,2014
33,North Dakota State,2014
33,San Diego State,2014
33,South Carolina,2014
33,Stetson,2014
33,BYU,2014
33,Houston,2014
33,UAB,2014
33,Long Beach State,2014
33,James Madison,2014
33,Boston U,2014
33,Mississippi State,2014
33,Hofstra,2014
33,Virginia Tech,2014
33,Kansas,2014
33,USC Upstate,2014
49,Bradley,2014
49,SIU Edwardsville,2014
49,Charleston Southern,2014
49,Bryant,2014
49,Texas Southern,2014
49,Louisville,2014
49,Ohio,2014
49,Southern Utah,2014
49,Northwestern State,2014
49,Chattanooga,2014
49,Iona,2014
49,Florida A&M,2014
49,Fordham,2014
49,Dartmouth,2014
49,Green Bay,2014
49,Utah Valley,2014
1,Florida State,2018
2,Washington,2018
3,UCLA,2018
3,Oklahoma,2018
5,Oregon,2018
5,Florida,2018
7,Georgia,2018
7,Arizona,2018
9,Kentucky,2018
9,South Carolina,2018
9,Alabama,2018
9,Arkansas,2018
9,Arizona,2018
9,LSU,2018
9,Tennessee,2018
9,Texas A&M,2018
17,Baylor,2018
17,Ohio State,2018
17,Ohio,2018
17,Northwestern,2018
17,Louisiana,2018
17,Jacksonville State,2018
17,Mississippi State,2018
17,Cal State Fullerton,2018
17,Wichita State,2018
17,Missouri,2018
17,Oregon State,2018
17,Minnesota,2018
17,Liberty,2018
17,Ole Miss,2018
17,Notre Dame,2018
17,Drake,2018
33,BYU,2018
33,Michigan,2018
33,Long Beach State,2018
33,Hofstra,2018
33,Texas,2018
33,Wisconsin,2018
33,Tulsa,2018
33,Oklahoma State,2018
33,Texas State,2018
33,North Dakota State,2018
33,Auburn,2018
33,Houston,2018
33,California,2018
33,James Madison,2018
33,South Florida,2018
33,McNeese State,2018
49,Prarie View A&M,2018
49,Bethune-Cookman,2018
49,Monmouh,2018
49,Harvard,2018
49,Fordham,2018
49,Kennesaw State,2018
49,St. Francis (Pa),2018
49,Sacramento State,2018
49,DePaul,2018
49,Boston U,2018
49,Middle Tennessee,2018
49,Boise State,2018
49,UNC Greensboro,2018
49,New Mexico State,2018
49,UIC,2018
49,Albany,2018
1,Oklahoma,2017
2,Florida,2017
3,Oregon,2017
3,Washington,2017
5,UCLA,2017
5,LSU,2017
7,Baylor,2017
7,Texas A&M,2017
9,Arizona,2017
9,Auburn,2017
9,Utah,2017
9,Kentucky,2017
9,Florida State,2017
9,Ole Miss,2017
9,Tennessee,2017
9,Alabama,2017
17,North Carolina,2017
17,Georgia,2017
17,South Carolina,2017
17,James Madison,2017
17,Tulsa,2017
17,California,2017
17,Michigan,2017
17,BYU,2017
17,Illinois,2017
17,Wisconsin,2017
17,ULL,2017
17,Cal State Fullerton,2017
17,Longwood,2017
17,Texas,2017
17,Minnesota,2017
17,Oklahoma State,2017
33,FIU,2017
33,Louisiana Tech,2017
33,Texas State,2017
33,USC Upstate,2017
33,San Jose State,2017
33,Arizona State,2017
33,McNeese State,2017
33,Jacksonville State,2017
33,UIC,2017
33,Marshall,2017
33,Fordham,2017
33,Fresno State,2017
33,Notre Dame,2017
33,North Dakota State,2017
33,Kent State,2017
33,Saint Francis (PA),2017
49,New Mexico State,2017
49,Oregon State,2017
49,East Tennessee State,2017
49,Arkansas,2017
49,Montana,2017
49,Mississippi State,2017
49,DePaul,2017
49,Missouri,2017
49,Princeton,2017
49,Fairfield,2017
49,Southern Illinois,2017
49,Lehigh,2017
49,Ohio State,2017
49,Texas Southern,2017
49,Albany,2017
49,Florida A&M,2017
