Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.973,5.19,22.0,1.96,0.14,0.39,0.387,0.14,0.389,1.61,4.31,0.28,1.22,22.0,7.402000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.959,5.88,30.0,2.95,0.14,1.35,0.533,0.37,0.407,0.74,1.65,0.306,1.67,6.0,6.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.962,7.47,53.0,4.64,0.22,1.65,0.606,0.36,0.419,1.04,1.16,0.318,1.76,4.0,6.7620000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.966,6.03,36.0,2.45,0.23,1.26,0.508,0.16,0.39,0.89,2.05,0.296,1.26,18.0,6.902000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.964,5.22,25.0,3.31,0.1,1.07,0.469,0.37,0.37,1.25,1.57,0.284,1.45,13.0,6.888000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.969,6.81,38.0,1.98,0.16,1.67,0.598,0.28,0.417,1.05,3.32,0.334,1.69,22.0,7.223999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.959,5.17,40.0,3.36,0.16,1.24,0.484,0.29,0.365,0.72,1.27,0.296,0.97,8.0,6.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.968,5.86,25.0,2.2,0.16,1.14,0.481,0.58,0.388,1.18,1.95,0.277,1.46,13.0,7.453999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957,4.47,24.0,2.81,0.14,0.49,0.381,0.26,0.355,0.75,2.16,0.27,1.19,10.0,7.3340000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,4.66,33.0,3.29,0.47,0.55,0.425,0.36,0.367,0.77,1.82,0.276,1.19,6.0,6.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.974,3.2,43.0,2.14,0.12,0.4,0.336,0.25,0.32,1.22,2.96,0.245,0.88,18.0,7.4239999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.947,4.9,43.0,2.0,0.09,0.86,0.445,0.1,0.374,0.22,4.96,0.288,1.28,12.0,7.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.957,5.36,31.0,3.27,0.53,0.69,0.444,0.43,0.375,1.83,1.53,0.281,1.16,11.0,6.616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,6.38,36.0,3.22,0.33,1.23,0.525,0.5,0.383,1.0,1.43,0.32,1.31,9.0,6.524000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.956,4.67,14.0,1.97,0.26,0.52,0.42,0.36,0.368,0.86,2.25,0.291,1.26,17.0,7.545999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,6.0,20.0,2.68,0.11,0.93,0.491,0.44,0.412,1.64,1.58,0.33,1.29,11.0,6.7299999999999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
