mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tweedie_variance_power,param_subsample,param_reg_alpha,param_random_state,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.5923635005950927,0.3444336116857157,0.0058686256408691405,0.0009132840742537274,1.7,0.6,0,1,200,1,5,0.05,5,0.6,"{'tweedie_variance_power': 1.7, 'subsample': 0.6, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.6}",-36.668722665661605,-34.554280537539135,-39.29229402805903,-41.70592782642697,-40.77320665259497,-38.598886342056346,2.643730612185606,13
1.856299638748169,0.266813912334503,0.005469560623168945,0.0005267585576616805,1.9,0.6,0,1,200,10,3,0.1,2,0.6,"{'tweedie_variance_power': 1.9, 'subsample': 0.6, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 2, 'colsample_bytree': 0.6}",-34.80437069231522,-33.70366313148143,-39.243365192265735,-42.80128362297836,-43.51859037261553,-38.81425460233125,4.010202625882656,14
6.529917478561401,0.6625679978021386,0.013265275955200195,0.0030722700422639404,1.7,1.0,0,1,300,5,3,0.05,1,1.0,"{'tweedie_variance_power': 1.7, 'subsample': 1.0, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 1.0}",-35.657973306536135,-33.95014405494956,-39.752086453564225,-42.91878662258035,-41.834707586298265,-38.8227396047857,3.477676551198949,15
4.819329881668091,0.22321050796500114,0.007353019714355469,0.0012691564071747124,1.6,0.8,0,1,300,5,4,0.2,0,0.8,"{'tweedie_variance_power': 1.6, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.8}",-37.21172706121521,-34.24089301479483,-38.13686857124295,-40.64514144728055,-44.24217976209077,-38.89536197132486,3.368210466046804,16
1.4919726371765136,0.23832598339712402,0.0074902534484863285,0.002471471980861154,1.4,1.0,0,1,100,1,3,0.1,5,0.6,"{'tweedie_variance_power': 1.4, 'subsample': 1.0, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 0.6}",-36.99398553402519,-34.25439803080284,-39.60815597445838,-42.510375228524694,-41.831919153847885,-39.0397667843318,3.074061779805586,17
4.444284152984619,0.035057471611564285,0.006838417053222657,0.0012512263146716564,1.5,0.8,0,1,300,1,4,0.2,5,0.8,"{'tweedie_variance_power': 1.5, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 5, 'colsample_bytree': 0.8}",-34.90072790070164,-36.27781929473331,-37.477615556127276,-43.21734619299138,-43.507561668547446,-39.076214122620215,3.594635783386716,18
3.0111180782318114,0.1184095814387293,0.006804609298706054,0.0004986195806498297,1.9,0.8,0,1,300,1,3,0.05,0,0.6,"{'tweedie_variance_power': 1.9, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",-37.22776797960122,-33.56833432109113,-40.10787169622459,-42.65976450274165,-42.086687697112076,-39.13008523935413,3.367731710941377,19
1.2253100395202636,0.05855877605140813,0.005674028396606445,0.001312075825403726,1.5,0.8,0,1,100,1,3,0.2,0,0.6,"{'tweedie_variance_power': 1.5, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.6}",-35.70884489669759,-34.35913030234067,-40.14141127179128,-41.88832311119562,-43.587223494096385,-39.13698661522431,3.548616526809337,20
2.317039155960083,0.09074549454574717,0.005900001525878907,0.0005219013868389559,1.5,1.0,0,1,200,2,3,0.2,1,0.8,"{'tweedie_variance_power': 1.5, 'subsample': 1.0, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 1, 'colsample_bytree': 0.8}",-35.84256315917422,-34.245172437334425,-39.533394581109015,-44.64424821300738,-42.29831535947385,-39.312738750019776,3.8758146706312733,21
3.84191837310791,0.525951002827844,0.007166814804077148,0.0014309470816815048,1.5,1.0,0,1,200,5,3,0.05,0,0.8,"{'tweedie_variance_power': 1.5, 'subsample': 1.0, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",-36.21205223843437,-35.07132218737894,-40.03689242779987,-43.70761317892013,-42.49913372860141,-39.50540275222694,3.388530860612432,22
