Rank,College,G,3B,PG
1,Northern Colo. ,42,18,0.43
2,George Washington ,52,21,0.40
3,Dartmouth ,42,16,0.38
4,Texas Southern ,44,15,0.34
5,Wright St. ,60,20,0.33
6,Illinois ,59,19,0.32
7,Michigan St. ,55,17,0.31
8,Binghamton ,49,15,0.31
9,Jackson St. ,36,11,0.31
10,Harvard ,46,14,0.30
11,UIC ,51,15,0.29
12,UMES ,41,12,0.29
13,Albany ,52,15,0.29
13,Louisville ,52,15,0.29
15,Buffalo ,54,15,0.28
16,Idaho St. ,51,14,0.27
16,Utah St. ,51,14,0.27
18,Penn ,44,12,0.27
18,Northern Ill. ,55,15,0.27
20,LSU ,70,19,0.27
21,Butler ,52,14,0.27
22,Savannah St. ,49,13,0.27
23,Florida A&M ,57,15,0.26
24,California ,58,15,0.26
24,Kennesaw St. ,58,15,0.26
26,Purdue ,55,14,0.25
27,New Mexico St. ,59,15,0.25
27,Tennessee ,59,15,0.25
29,Nicholls St. ,56,14,0.25
29,Mississippi Val. ,44,11,0.25
29,Coppin St. ,36,9,0.25
29,CSUN ,56,14,0.25
33,Alabama ,65,16,0.25
34,Maine ,49,12,0.24
35,USC Upstate ,58,14,0.24
36,Omaha ,59,14,0.24
37,Oregon St. ,51,12,0.24
37,Elon ,51,12,0.24
37,Delaware ,51,12,0.24
40,Samford ,60,14,0.23
40,Longwood ,60,14,0.23
42,Radford ,61,14,0.23
43,Bradley ,48,11,0.23
44,Texas ,54,12,0.22
45,Liberty ,59,13,0.22
46,Alabama St. ,55,12,0.22
46,Ohio St. ,55,12,0.22
46,UC Riverside ,55,12,0.22
49,San Diego ,51,11,0.22
50,Utah ,56,12,0.21
51,South Fla. ,61,13,0.21
52,San Jose St. ,52,11,0.21
53,Mississippi St. ,57,12,0.21
53,BYU ,57,12,0.21
55,Hampton ,48,10,0.21
55,Western Ill. ,48,10,0.21
55,Delaware St. ,48,10,0.21
58,Marist ,58,12,0.21
59,Rhode Island ,44,9,0.20
60,UT Arlington ,49,10,0.20
61,Canisius ,55,11,0.20
61,Fresno St. ,55,11,0.20
61,Oklahoma ,65,13,0.20
61,Cal Poly ,50,10,0.20
61,Fla. Atlantic ,60,12,0.20
61,UNLV ,55,11,0.20
67,Cal St. Fullerton ,61,12,0.20
68,Notre Dame ,56,11,0.20
68,Weber St. ,56,11,0.20
70,Indiana St. ,51,10,0.20
70,South Alabama ,51,10,0.20
72,Colorado St. ,46,9,0.20
73,McNeese ,57,11,0.19
73,South Dakota St. ,57,11,0.19
73,Lamar University ,57,11,0.19
76,Boston U. ,52,10,0.19
76,Lehigh ,52,10,0.19
78,La.-Monroe ,58,11,0.19
79,Grambling ,37,7,0.19
80,Auburn ,70,13,0.19
81,Louisiana Tech ,54,10,0.19
81,Gardner-Webb ,54,10,0.19
83,Loyola Chicago ,49,9,0.18
83,N.C. A&T ,49,9,0.18
85,Lipscomb ,55,10,0.18
85,Charlotte ,55,10,0.18
87,Furman ,61,11,0.18
88,Bucknell ,50,9,0.18
88,CSU Bakersfield ,50,9,0.18
90,James Madison ,56,10,0.18
90,Akron ,56,10,0.18
90,Detroit Mercy ,56,10,0.18
90,FIU ,56,10,0.18
90,Marshall ,56,10,0.18
95,Ark.-Pine Bluff ,51,9,0.18
96,UCLA ,57,10,0.18
96,Ga. Southern ,57,10,0.18
98,Maryland ,52,9,0.17
99,Miami ,58,10,0.17
100,Morgan St. ,41,7,0.17
101,George Mason ,47,8,0.17
102,Bethune-Cookman ,53,9,0.17
103,Baylor ,59,10,0.17
104,Florida St. ,65,11,0.17
105,Middle Tenn. ,54,9,0.17
105,Belmont ,54,9,0.17
105,Stetson ,54,9,0.17
105,Sam Houston St. ,54,9,0.17
105,Saint Mary's ,48,8,0.17
110,Murray St. ,55,9,0.16
111,Providence ,49,8,0.16
112,Troy ,56,9,0.16
112,Tulsa ,56,9,0.16
114,Massachusetts ,50,8,0.16
114,Sacramento St. ,50,8,0.16
114,Villanova ,50,8,0.16
114,New Mexico ,50,8,0.16
118,Oakland ,44,7,0.16
118,Holy Cross ,44,7,0.16
120,Ole Miss ,63,10,0.16
120,Florida ,63,10,0.16
122,Minnesota ,57,9,0.16
123,Manhattan ,51,8,0.16
124,Southern U. ,32,5,0.16
125,Central Conn. St. ,45,7,0.16
126,Oregon ,58,9,0.16
126,Saint Francis ,58,9,0.16
126,Oklahoma St. ,58,9,0.16
129,Seattle U ,52,8,0.15
129,San Diego St. ,52,8,0.15
131,Michigan ,59,9,0.15
131,FGCU ,59,9,0.15
133,Alcorn ,46,7,0.15
134,Syracuse ,53,8,0.15
134,Eastern Ill. ,53,8,0.15
136,Jacksonville St. ,60,9,0.15
136,UCF ,60,9,0.15
138,Nevada ,47,7,0.15
138,Creighton ,47,7,0.15
138,St. Bonaventure ,47,7,0.15
141,East Carolina ,54,8,0.15
141,North Dakota St. ,54,8,0.15
141,SIUE ,54,8,0.15
141,Penn St. ,54,8,0.15
141,Green Bay ,54,8,0.15
146,South Carolina ,61,9,0.15
147,Howard ,41,6,0.15
148,Texas Tech ,55,8,0.15
149,Southeast Mo. St. ,49,7,0.14
149,Montana ,56,8,0.14
151,Quinnipiac ,57,8,0.14
151,North Carolina ,57,8,0.14
153,UC Davis ,50,7,0.14
154,Col. of Charleston ,58,8,0.14
154,Winthrop ,58,8,0.14
154,Mercer ,58,8,0.14
157,Youngstown St. ,51,7,0.14
157,Santa Clara ,51,7,0.14
159,Georgia ,66,9,0.14
160,UAB ,59,8,0.14
160,Kentucky ,59,8,0.14
162,DePaul ,52,7,0.13
162,Southern Utah ,52,7,0.13
162,Missouri St. ,52,7,0.13
162,Boise St. ,52,7,0.13
166,Fordham ,60,8,0.13
167,Wisconsin ,53,7,0.13
168,Arizona ,61,8,0.13
169,Hofstra ,46,6,0.13
170,Ball St. ,54,7,0.13
170,Eastern Ky. ,54,7,0.13
170,Toledo ,54,7,0.13
