Rank,College,W,L,T,PCT
1,Oklahoma ,57,4,0,0.934
2,Florida ,58,9,0,0.866
3,South Alabama ,48,9,0,0.842
4,Texas ,51,10,0,0.836
5,Oregon ,50,11,0,0.820
6,Tennessee ,52,12,0,0.813
7,Arizona St. ,50,12,0,0.806
8,Michigan ,51,13,0,0.797
9,Louisville ,47,13,0,0.783
10,Saint Joseph's ,37,10,1,0.781
11,Hofstra ,46,13,0,0.780
12,USC Upstate ,42,12,0,0.778
13,Hawaii ,45,13,0,0.776
14,Wisconsin ,44,13,0,0.772
15,Louisiana ,47,15,0,0.758
16,Alabama ,45,15,0,0.750
17,Notre Dame ,43,15,0,0.741
18,Nebraska ,45,16,0,0.738
18,South Fla. ,45,16,0,0.738
20,North Florida ,42,15,0,0.737
21,Missouri ,38,14,0,0.731
22,SIUE ,35,13,0,0.729
23,Northwestern St. ,40,15,0,0.727
24,Washington ,45,17,0,0.726
25,LSU ,42,16,0,0.724
26,Tulsa ,42,16,1,0.720
27,Eastern Ill. ,36,14,0,0.720
28,McNeese ,38,15,0,0.717
29,San Jose St. ,42,17,0,0.712
29,Baylor ,42,17,0,0.712
29,James Madison ,42,17,0,0.712
32,Albany ,37,15,0,0.712
33,Central Conn. St. ,36,15,0,0.706
34,Western Ky. ,43,18,0,0.705
35,Texas A&M ,42,18,0,0.700
36,Florida St. ,44,19,0,0.698
37,Lehigh ,37,16,1,0.694
38,Ball St. ,37,17,0,0.685
39,Kansas ,34,16,0,0.680
39,Purdue Fort Wayne ,34,16,0,0.680
41,North Dakota St. ,33,16,0,0.673
41,Texas Southern ,33,16,0,0.673
43,UAB ,39,19,0,0.672
44,Houston ,41,20,0,0.672
44,Longwood ,41,20,0,0.672
46,UCLA ,40,20,0,0.667
46,California ,38,19,0,0.667
46,UNC Greensboro ,38,19,0,0.667
46,FGCU ,36,18,0,0.667
50,Kentucky ,41,21,0,0.661
51,Monmouth ,31,16,0,0.660
52,North Carolina ,40,21,0,0.656
52,Georgia ,40,21,0,0.656
54,Georgia St. ,36,19,0,0.655
54,Minnesota ,36,19,0,0.655
56,Campbell ,39,21,0,0.650
56,Stanford ,39,21,0,0.650
58,New Mexico St. ,37,20,0,0.649
58,UT Martin ,37,20,0,0.649
58,Col. of Charleston ,37,20,0,0.649
58,Long Beach St. ,37,20,0,0.649
62,Virginia Tech ,38,21,0,0.644
63,Eastern Ky. ,36,20,0,0.643
63,San Diego St. ,36,20,0,0.643
63,Arkansas ,36,20,0,0.643
66,Binghamton ,30,17,0,0.638
67,Central Ark. ,37,21,0,0.638
68,Utah Valley ,35,20,0,0.636
69,Robert Morris ,30,17,1,0.635
70,NC State ,35,20,1,0.634
71,Kennesaw St. ,34,20,0,0.630
72,Coastal Caro. ,37,22,0,0.627
73,Central Mich. ,33,20,0,0.623
74,Marshall ,36,22,0,0.621
75,Creighton ,29,18,0,0.617
76,Delaware ,35,22,0,0.614
77,Fordham ,36,23,0,0.610
78,Ohio St. ,34,22,0,0.607
79,Sam Houston St. ,37,24,0,0.607
80,DePaul ,32,21,0,0.604
81,Penn ,30,20,0,0.600
82,Loyola Chicago ,28,19,0,0.596
83,Lipscomb ,35,24,0,0.593
84,Drake ,29,20,0,0.592
85,LMU ,33,23,0,0.589
86,Oregon St. ,34,24,0,0.586
87,Norfolk St. ,31,22,0,0.585
87,Appalachian St. ,31,22,0,0.585
87,Northwestern ,31,22,0,0.585
87,Stetson ,31,22,0,0.585
91,Stony Brook ,35,25,0,0.583
91,Illinois St. ,28,20,0,0.583
91,South Dakota ,28,20,0,0.583
94,Fairfield ,29,21,0,0.580
95,Mississippi St. ,33,24,0,0.579
96,Princeton ,26,19,0,0.578
97,Jacksonville ,30,22,0,0.577
98,South Carolina ,34,25,0,0.576
99,Southeastern La. ,31,23,0,0.574
100,Army West Point ,35,26,0,0.574
101,BYU ,33,25,0,0.569
102,Hampton ,34,26,0,0.567
103,Auburn ,30,23,0,0.566
103,Nevada ,30,23,0,0.566
105,Dartmouth ,26,20,0,0.565
106,Valparaiso ,35,27,0,0.565
107,UC Santa Barbara ,31,24,0,0.564
108,Kent St. ,27,21,1,0.561
109,Arizona ,33,26,0,0.559
110,Idaho St. ,29,23,0,0.558
111,Iowa ,30,24,0,0.556
111,Fresno St. ,30,24,0,0.556
113,Temple ,32,26,0,0.552
114,Bowling Green ,28,23,0,0.549
114,Saint Louis ,28,23,0,0.549
116,North Texas ,29,24,0,0.547
117,Maryland ,31,26,0,0.544
118,George Washington ,27,23,0,0.540
119,UCF ,29,25,0,0.537
120,Texas Tech ,30,26,0,0.536
120,Rutgers ,30,26,0,0.536
120,Marist ,30,26,0,0.536
120,Oklahoma St. ,30,26,0,0.536
124,Jacksonville St. ,30,27,0,0.526
125,Ga. Southern ,33,30,0,0.524
126,Fairleigh Dickinson ,23,21,0,0.523
127,Savannah St. ,26,24,0,0.520
128,Towson ,30,28,1,0.517
129,Colorado St. ,25,24,0,0.510
130,UTSA ,27,26,0,0.509
130,Louisiana Tech ,27,26,0,0.509
130,UNI ,27,26,0,0.509
133,Pacific ,28,28,0,0.500
133,Cal St. Fullerton ,28,28,0,0.500
133,Furman ,27,27,0,0.500
133,Sacramento St. ,22,22,0,0.500
133,Harvard ,22,22,0,0.500
138,Ohio ,28,29,0,0.491
138,Jackson St. ,28,29,0,0.491
138,Fla. Atlantic ,28,29,0,0.491
138,Winthrop ,28,29,0,0.491
142,FIU ,27,28,0,0.491
143,Chattanooga ,26,27,0,0.491
143,UConn ,26,27,0,0.491
145,Boise St. ,25,26,1,0.490
146,Michigan St. ,24,25,0,0.490
146,Morehead St. ,24,25,0,0.490
148,Bryant ,21,22,0,0.488
149,Southern Ill. ,25,27,0,0.481
149,UC Davis ,25,27,0,0.481
151,Charlotte ,24,26,0,0.480
152,Butler ,22,24,0,0.478
152,Dayton ,22,24,0,0.478
154,Murray St. ,25,28,0,0.472
154,UT Arlington ,25,28,0,0.472
