Rank,College,G,SB,CS,PG
1,Marshall ,54,162,30,3.00
2,Southeastern La. ,55,162,22,2.95
3,Stetson ,47,132,26,2.81
4,UT Martin ,59,148,36,2.51
5,Akron ,57,139,46,2.44
6,McNeese ,61,142,31,2.33
7,Prairie View ,48,106,16,2.21
8,Memphis ,56,122,18,2.18
9,Jacksonville ,55,113,18,2.05
10,Morgan St. ,46,91,11,1.98
11,Mercer ,57,110,17,1.93
12,Fla. Atlantic ,56,108,20,1.93
13,Idaho St. ,46,86,23,1.87
14,Georgia ,58,105,16,1.81
15,Utah St. ,51,92,13,1.80
16,Kennesaw St. ,60,107,19,1.78
17,Saint Francis ,61,108,20,1.77
18,UCF ,52,92,8,1.77
19,Bethune-Cookman ,57,100,18,1.75
20,North Carolina ,61,106,24,1.74
21,Hampton ,45,78,20,1.73
22,Baylor ,63,108,33,1.71
23,Iowa St. ,58,99,19,1.71
24,Manhattan ,55,93,27,1.69
25,Florida St. ,64,108,25,1.69
25,Jackson St. ,48,81,21,1.69
27,Tennessee ,60,101,14,1.68
28,USC Upstate ,58,97,20,1.67
29,Weber St. ,60,100,18,1.67
30,Northwestern ,54,88,14,1.63
31,Oregon ,62,101,19,1.63
32,Campbell ,58,94,20,1.62
33,La.-Monroe ,63,101,30,1.60
33,Ole Miss ,63,101,22,1.60
35,Oklahoma ,70,112,26,1.60
36,Alabama ,64,99,18,1.55
37,Louisiana Tech ,62,94,26,1.52
38,Boise St. ,53,79,19,1.49
39,Grambling ,45,66,7,1.47
40,Savannah St. ,40,58,11,1.45
41,North Florida ,58,84,29,1.45
42,SIUE ,54,78,20,1.44
43,Marist ,59,85,21,1.44
44,Boston College ,53,76,19,1.43
44,Charlotte ,53,76,14,1.43
46,Lehigh ,56,80,11,1.43
47,Florida ,68,97,14,1.43
48,Drake ,55,78,19,1.42
49,Kentucky ,58,82,21,1.41
50,UC Davis ,54,76,17,1.41
51,George Washington ,52,73,7,1.40
52,Missouri ,57,80,15,1.40
53,St. John's ,48,67,13,1.40
54,Eastern Ill. ,49,68,15,1.39
55,Southern U. ,39,54,16,1.38
56,Central Ark. ,60,83,10,1.38
57,Seton Hall ,48,66,13,1.38
58,FIU ,61,83,13,1.36
59,CSUN ,53,72,15,1.36
60,Fordham ,63,85,15,1.35
61,Binghamton ,47,63,12,1.34
62,Indiana St. ,53,71,23,1.34
63,Northern Ill. ,54,72,21,1.33
64,Liberty ,72,94,32,1.31
65,Saint Joseph's ,53,69,15,1.30
66,Southeast Mo. St. ,50,65,23,1.30
67,Lipscomb ,56,72,12,1.29
68,Mississippi St. ,58,74,17,1.28
69,Col. of Charleston ,56,71,20,1.27
70,James Madison ,60,76,17,1.27
71,Alabama St. ,57,72,20,1.26
72,Texas Tech ,55,69,19,1.25
73,Michigan ,57,71,9,1.25
74,Evansville ,53,66,17,1.25
75,Tennessee St. ,49,61,16,1.24
76,Albany ,47,58,15,1.23
77,North Texas ,56,69,16,1.23
78,Wisconsin ,52,64,22,1.23
79,Penn ,40,49,8,1.23
80,Toledo ,58,71,23,1.22
81,Delaware ,53,64,19,1.21
82,New Mexico St. ,54,65,22,1.20
83,Dayton ,56,67,20,1.20
83,Murray St. ,56,67,10,1.20
85,Bucknell ,43,51,19,1.19
86,FGCU ,60,71,10,1.18
86,BYU ,60,71,15,1.18
88,Florida A&M ,56,66,22,1.18
89,Lamar University ,65,76,23,1.17
90,Texas A&M ,60,70,13,1.17
91,Ark.-Pine Bluff ,44,51,6,1.16
92,Cal St. Fullerton ,58,67,24,1.16
93,Butler ,52,60,20,1.15
93,Central Mich. ,52,60,18,1.15
93,UC Riverside ,52,60,9,1.15
96,UIC ,61,70,14,1.15
97,Purdue ,56,64,11,1.14
98,Eastern Ky. ,58,66,17,1.14
99,Boston U. ,52,59,10,1.13
99,Detroit Mercy ,52,59,25,1.13
101,Massachusetts ,53,60,10,1.13
102,UTSA ,53,59,5,1.11
103,Buffalo ,55,60,17,1.09
104,Oklahoma St. ,63,68,26,1.08
105,Canisius ,53,57,25,1.08
