Rank,College,G,R,PG
1,Auburn ,70,556,7.94
2,Michigan ,59,466,7.90
3,Louisiana ,55,434,7.89
4,Oregon ,58,441,7.60
5,Washington ,54,399,7.39
6,Texas A&M ,59,429,7.27
7,Tennessee ,59,426,7.22
8,San Jose St. ,52,371,7.13
9,Binghamton ,49,347,7.08
10,Florida St. ,65,459,7.06
11,Notre Dame ,56,381,6.80
12,Missouri ,58,390,6.72
13,Oklahoma ,65,435,6.69
14,Minnesota ,57,380,6.67
15,Delaware St. ,48,315,6.56
16,Omaha ,59,377,6.39
17,Saint Francis ,58,370,6.38
18,Georgia ,66,417,6.32
19,Fresno St. ,55,347,6.31
20,Pittsburgh ,52,327,6.29
21,North Dakota St. ,54,337,6.24
22,Youngstown St. ,51,318,6.24
23,UCLA ,57,354,6.21
24,McNeese ,57,350,6.14
25,Alabama ,65,397,6.11
26,Towson ,54,325,6.02
27,Florida ,63,378,6.00
28,Albany ,52,310,5.96
29,New Mexico St. ,59,351,5.95
30,Coastal Carolina ,59,350,5.93
31,Louisville ,52,304,5.85
32,Oklahoma St. ,58,339,5.84
33,Louisiana Tech ,54,315,5.83
34,Marist ,58,338,5.83
35,Hofstra ,46,267,5.80
36,LSU ,70,405,5.79
37,Montana ,56,322,5.75
38,Nebraska ,56,321,5.73
39,James Madison ,56,320,5.71
40,Baylor ,59,337,5.71
41,Colorado St. ,46,261,5.67
42,Troy ,56,317,5.66
43,Wichita St. ,57,322,5.65
44,USC Upstate ,58,327,5.64
45,Samford ,60,337,5.62
46,Monmouth ,50,279,5.58
47,Idaho St. ,51,284,5.57
48,Northern Ill. ,55,306,5.56
49,Weber St. ,56,311,5.55
50,Ohio St. ,55,304,5.53
51,Savannah St. ,49,270,5.51
52,Utah St. ,51,281,5.51
53,UNI ,57,312,5.47
54,Arizona ,61,332,5.44
55,Texas Southern ,44,239,5.43
56,Southern U. ,32,173,5.41
57,Arizona St. ,57,307,5.39
58,Alabama St. ,55,296,5.38
59,Maine ,49,263,5.37
60,Villanova ,50,268,5.36
61,Penn St. ,54,289,5.35
62,Fla. Atlantic ,60,319,5.32
63,Texas ,54,287,5.31
64,South Fla. ,61,321,5.26
65,Harvard ,46,242,5.26
66,Norfolk St. ,43,226,5.26
67,UNC Greensboro ,59,310,5.25
68,Oregon St. ,51,266,5.22
68,Kansas ,51,266,5.22
70,Miami ,58,302,5.21
71,Kansas City ,50,260,5.20
72,Nevada ,47,244,5.19
73,Fordham ,60,311,5.18
74,North Carolina ,57,293,5.14
74,Lamar University ,57,293,5.14
76,Cal St. Fullerton ,61,313,5.13
77,Northwestern ,55,282,5.13
78,Jacksonville St. ,60,306,5.10
79,Illinois ,59,300,5.08
80,Tulsa ,56,284,5.07
81,Manhattan ,51,258,5.06
82,Utah ,56,283,5.05
83,LMU ,53,267,5.04
84,Fairfield ,50,251,5.02
