Rank,College,G,AB,TB,SLG PCT
1,Oklahoma ,58,"1,492",980,0.657
2,Louisiana ,54,"1,425",929,0.652
3,USC Upstate ,54,"1,412",878,0.622
4,UCLA ,63,"1,670","1,015",0.608
5,Michigan ,68,"1,743","1,057",0.606
6,Arizona ,61,"1,628",981,0.603
7,New Mexico St. ,63,"1,694","1,020",0.602
8,Oregon ,59,"1,562",927,0.593
9,Georgia St. ,60,"1,613",957,0.593
10,North Carolina ,53,"1,385",814,0.588
11,Washington ,59,"1,594",928,0.582
12,Auburn ,67,"1,789","1,022",0.571
13,Minnesota ,60,"1,610",917,0.570
14,Ohio St. ,52,"1,465",825,0.563
15,South Dakota ,54,"1,531",859,0.561
16,UTSA ,54,"1,452",805,0.554
17,Northwestern St. ,54,"1,464",810,0.553
18,Tennessee ,64,"1,654",915,0.553
19,James Madison ,58,"1,511",829,0.549
20,Savannah St. ,39,"1,043",567,0.544
21,Illinois ,53,"1,456",781,0.536
22,Georgia ,61,"1,617",853,0.528
23,Notre Dame ,57,"1,549",815,0.526
24,Missouri ,58,"1,562",819,0.524
25,LSU ,66,"1,689",884,0.523
26,Maryland ,54,"1,484",775,0.522
27,Coastal Carolina ,57,"1,431",740,0.517
28,Arizona St. ,58,"1,662",857,0.516
29,Florida ,67,"1,655",851,0.514
30,North Dakota St. ,56,"1,494",767,0.513
31,Idaho St. ,52,"1,382",708,0.512
32,Stony Brook ,47,"1,296",662,0.511
33,Alabama ,63,"1,616",825,0.511
34,Nebraska ,58,"1,554",785,0.505
35,Northwestern ,51,"1,334",673,0.504
36,Jacksonville St. ,55,"1,516",764,0.504
37,DePaul ,46,"1,209",602,0.498
38,Longwood ,59,"1,523",755,0.496
39,Mississippi St. ,57,"1,522",753,0.495
40,California ,57,"1,510",745,0.493
41,Northern Colo. ,43,"1,149",566,0.493
42,BYU ,54,"1,407",685,0.487
43,Cleveland St. ,52,"1,389",676,0.487
44,Rutgers ,49,"1,397",678,0.485
45,San Diego St. ,58,"1,562",758,0.485
46,Murray St. ,57,"1,516",732,0.483
47,Texas Tech ,51,"1,321",637,0.482
48,San Jose St. ,56,"1,525",735,0.482
49,Texas St. ,53,"1,343",647,0.482
50,Kansas ,55,"1,469",706,0.481
51,South Dakota St. ,52,"1,342",644,0.480
52,Albany ,48,"1,264",604,0.478
53,Saint Joseph's ,41,"1,099",524,0.477
54,Ball St. ,59,"1,613",769,0.477
55,Saint Louis ,54,"1,486",707,0.476
56,Delaware ,53,"1,400",665,0.475
57,Texas ,55,"1,452",689,0.475
58,UNLV ,55,"1,413",670,0.474
59,South Carolina ,60,"1,599",756,0.473
60,Binghamton ,45,"1,190",562,0.472
61,IUPUI ,51,"1,350",637,0.472
62,Ole Miss ,55,"1,437",677,0.471
63,UNC Greensboro ,47,"1,276",600,0.470
64,Samford ,55,"1,551",729,0.470
65,Kansas City ,55,"1,556",731,0.470
66,Kennesaw St. ,51,"1,389",652,0.469
67,Baylor ,58,"1,530",718,0.469
68,Fordham ,58,"1,587",744,0.469
69,Tulsa ,54,"1,468",687,0.468
70,Chattanooga ,50,"1,322",617,0.467
71,Louisville ,49,"1,342",626,0.466
72,Illinois St. ,56,"1,443",672,0.466
73,Alabama St. ,54,"1,472",685,0.465
74,UT Arlington ,55,"1,445",671,0.464
75,Towson ,57,"1,461",676,0.463
76,CSUN ,58,"1,586",733,0.462
77,Oregon St. ,52,"1,395",644,0.462
78,UAB ,51,"1,335",616,0.461
79,McNeese ,56,"1,460",672,0.460
80,St. John's ,47,"1,247",573,0.460
