Rank,College,G,W-L,AB,H,BA
267,Virginia ,51,8-43,"1,202",279,0.232
268,Furman ,55,29-26,"1,395",323,0.232
269,N.C. Central ,44,9-35,"1,073",248,0.231
270,Austin Peay ,52,20-32,"1,291",298,0.231
271,Providence ,35,6-29,867,200,0.231
272,Howard ,41,4-37,928,214,0.231
273,Hartford ,38,8-30,915,211,0.231
274,Creighton ,53,29-24,"1,353",312,0.231
275,Yale ,41,8-33,"1,028",237,0.231
276,Colgate ,43,13-30,"1,121",258,0.230
277,Mount St. Mary's ,44,19-24-1,"1,165",268,0.230
278,Ark.-Pine Bluff ,46,9-37,"1,113",253,0.227
279,Eastern Mich. ,50,13-37,"1,283",289,0.225
280,Villanova ,52,18-34,"1,392",312,0.224
281,Tennessee St. ,56,18-38,"1,422",316,0.222
282,South Carolina St. ,38,10-28,881,194,0.220
283,Rhode Island ,46,13-32-1,"1,138",250,0.220
284,Sacred Heart ,42,12-30,"1,108",242,0.218
285,Morehead St. ,52,15-36-1,"1,301",283,0.218
286,Michigan St. ,49,12-37,"1,173",254,0.217
287,Troy ,54,22-30-2,"1,360",293,0.215
288,Brown ,38,4-34,961,206,0.214
289,Lafayette ,42,10-32,"1,025",209,0.204
