Rank,College,G,R,PG
1,James Madison ,61,462,7.57
2,Arizona St. ,55,411,7.47
3,Oklahoma ,63,460,7.30
4,UCLA ,62,436,7.03
5,Florida St. ,65,454,6.98
6,Virginia Tech ,58,395,6.81
7,Louisiana ,58,387,6.67
8,Colorado St. ,51,333,6.53
9,Arizona ,62,402,6.48
10,Boise St. ,52,332,6.38
11,Kentucky ,60,381,6.35
12,Drexel ,60,380,6.33
13,Alabama ,70,432,6.17
14,UIC ,55,337,6.13
15,Michigan ,58,354,6.10
16,Texas Tech ,58,352,6.07
17,Louisiana Tech ,61,370,6.07
18,Georgia ,61,368,6.03
19,George Washington ,62,373,6.02
20,Notre Dame ,55,330,6.00
21,South Carolina ,57,335,5.88
22,Bradley ,50,293,5.86
23,Wisconsin ,57,334,5.86
24,Saint Francis ,60,348,5.80
25,LSU ,62,359,5.79
26,Gardner-Webb ,54,311,5.76
27,Tennessee ,60,345,5.75
28,Oklahoma St. ,62,356,5.74
29,Southeast Mo. St. ,64,363,5.67
30,Jacksonville St. ,51,287,5.63
31,Georgia Tech ,58,326,5.62
32,Illinois ,58,322,5.55
33,Auburn ,60,332,5.53
34,USC Upstate ,56,309,5.52
35,Prairie View ,47,258,5.49
36,Ohio ,55,299,5.44
37,Southern Ill. ,49,265,5.41
38,Western Ky. ,50,270,5.40
39,Minnesota ,60,323,5.38
40,Louisville ,58,311,5.36
41,South Dakota St. ,56,298,5.32
42,Eastern Ky. ,57,303,5.32
42,Seattle U ,57,303,5.32
44,Villanova ,53,281,5.30
45,Marshall ,64,339,5.30
46,Southeastern La. ,57,300,5.26
47,Washington ,61,320,5.25
48,Northwestern ,60,314,5.23
49,New Mexico St. ,55,287,5.22
50,Missouri ,60,313,5.22
51,Fresno St. ,57,296,5.19
52,Drake ,59,306,5.19
53,Ole Miss ,61,316,5.18
54,Mississippi St. ,58,300,5.17
55,North Texas ,54,279,5.17
55,Belmont ,54,279,5.17
57,Fordham ,55,284,5.16
58,North Dakota St. ,58,299,5.16
59,UNLV ,50,257,5.14
60,Lipscomb ,58,298,5.14
61,UNI ,51,261,5.12
62,Wichita St. ,56,286,5.11
63,Ohio St. ,53,270,5.09
64,Mount St. Mary's ,54,275,5.09
65,St. John's ,48,244,5.08
66,South Alabama ,49,249,5.08
67,Grambling ,39,198,5.08
68,Mercer ,56,284,5.07
69,Alabama St. ,49,248,5.06
70,Ball St. ,54,273,5.06
71,Morgan St. ,46,232,5.04
72,Long Beach St. ,50,252,5.04
73,Austin Peay ,55,277,5.04
74,Texas ,63,317,5.03
75,Harvard ,44,220,5.00
76,Albany ,43,214,4.98
77,UT Arlington ,63,313,4.97
78,Campbell ,54,267,4.94
79,Sacramento St. ,56,276,4.93
80,DePaul ,51,250,4.90
80,Stony Brook ,51,250,4.90
82,Arkansas ,58,284,4.90
83,Nebraska ,52,254,4.88
84,Michigan St. ,50,244,4.88
85,LIU Brooklyn ,54,263,4.87
86,Florida A&M ,53,258,4.87
87,Central Ark. ,54,261,4.83
88,Saint Joseph's ,53,255,4.81
89,Utah St. ,47,226,4.81
90,UMKC ,56,269,4.80
91,Creighton ,44,211,4.80
92,Loyola Chicago ,50,239,4.78
93,Chattanooga ,54,258,4.78
94,Hofstra ,47,224,4.77
95,Purdue ,63,300,4.76
96,Columbia ,45,214,4.76
97,Longwood ,59,280,4.75
98,Central Conn. St. ,41,194,4.73
99,Southern Miss. ,52,246,4.73
100,North Carolina ,58,274,4.72
101,Penn ,39,184,4.72
102,Cal St. Fullerton ,56,264,4.71
102,BYU ,56,264,4.71
104,California ,55,259,4.71
105,Oakland ,51,240,4.71
106,UC Davis ,53,249,4.70
107,Hawaii ,49,230,4.69
108,Northern Ill. ,52,244,4.69
109,Towson ,54,253,4.69
110,Houston ,58,271,4.67
111,Stanford ,53,247,4.66
112,Elon ,54,251,4.65
113,Howard ,48,223,4.65
113,Massachusetts ,48,223,4.65
115,Nevada ,56,260,4.64
116,Binghamton ,48,222,4.63
117,Winthrop ,55,254,4.62
118,South Dakota ,61,280,4.59
119,UNC Greensboro ,56,255,4.55
120,Dayton ,51,232,4.55
121,Western Ill. ,40,181,4.53
122,Florida ,67,302,4.51
123,Weber St. ,48,216,4.50
124,Saint Louis ,52,233,4.48
125,Tulsa ,57,255,4.47
126,Seton Hall ,48,214,4.46
127,SIUE ,44,196,4.45
128,Dartmouth ,40,178,4.45
129,Alcorn ,38,169,4.45
130,Norfolk St. ,45,200,4.44
131,UMass Lowell ,48,213,4.44
132,Montana ,56,248,4.43
133,UTEP ,50,221,4.42
134,Texas A&M ,55,243,4.42
135,Syracuse ,53,234,4.42
136,Ga. Southern ,51,225,4.41
136,Bowling Green ,51,225,4.41
138,Texas St. ,54,237,4.39
139,Toledo ,57,250,4.39
140,Coastal Caro. ,60,263,4.38
141,Alabama A&M ,42,184,4.38
142,Manhattan ,50,219,4.38
143,UAB ,50,218,4.36
144,ETSU ,51,222,4.35
145,Bucknell ,52,226,4.35
146,San Jose St. ,53,230,4.34
147,Portland St. ,51,221,4.33
148,Oregon ,52,225,4.33
149,Radford ,59,255,4.32
150,Indiana ,57,246,4.32
151,Miami ,51,220,4.31
152,Utah Valley ,46,198,4.30
153,Murray St. ,53,227,4.28
154,Rutgers ,55,235,4.27
154,Wagner ,44,188,4.27
156,Marist ,57,242,4.25
157,Delaware ,51,216,4.24
157,Maryland ,51,216,4.24
159,UT Martin ,56,237,4.23
160,Hampton ,48,202,4.21
161,Liberty ,62,260,4.19
162,UMBC ,54,226,4.19
163,Akron ,46,192,4.17
164,UNCW ,54,224,4.15
165,Wright St. ,55,228,4.15
166,Army West Point ,56,232,4.14
167,Monmouth ,54,223,4.13
168,Nicholls St. ,56,230,4.11
169,Charlotte ,50,205,4.10
170,UC Riverside ,53,217,4.09
171,Missouri St. ,51,208,4.08
172,Grand Canyon ,57,232,4.07
173,Oregon St. ,45,183,4.07
174,Indiana St. ,54,219,4.06
175,N.C. Central ,49,198,4.04
176,Virginia ,53,214,4.04
177,IUPUI ,56,226,4.04
178,Troy ,57,230,4.04
179,LMU ,61,245,4.02
180,Iowa St. ,62,248,4.00
180,Memphis ,55,220,4.00
180,Kennesaw St. ,55,220,4.00
180,Fairfield ,50,200,4.00
180,Western Mich. ,46,184,4.00
185,Appalachian St. ,56,223,3.98
186,East Carolina ,54,215,3.98
186,Kent St. ,54,215,3.98
188,Tennessee Tech ,45,178,3.96
189,Southern Utah ,40,158,3.95
190,NC State ,58,229,3.95
191,Boston U. ,57,224,3.93
192,Penn St. ,56,220,3.93
193,Sacred Heart ,55,214,3.89
194,Samford ,54,210,3.89
195,UConn ,50,194,3.88
196,Col. of Charleston ,56,217,3.88
197,Utah ,54,209,3.87
198,Abilene Christian ,44,170,3.86
199,Illinois St. ,51,197,3.86
200,Northwestern St. ,57,220,3.86
201,Eastern Ill. ,55,212,3.85
202,SFA ,59,226,3.83
203,Buffalo ,43,164,3.81
204,Yale ,43,163,3.79
205,North Dakota ,56,212,3.79
206,Central Mich. ,51,193,3.78
207,Canisius ,45,170,3.78
208,CSUN ,54,203,3.76
209,Lehigh ,55,206,3.75
210,Western Caro. ,53,198,3.74
211,Texas Southern ,52,194,3.73
211,Providence ,52,194,3.73
213,Colgate ,52,193,3.71
214,Duke ,56,207,3.70
215,North Florida ,54,199,3.69
216,Princeton ,41,151,3.68
217,Hartford ,51,186,3.65
218,Houston Baptist ,46,167,3.63
219,Middle Tenn. ,59,213,3.61
220,Sam Houston St. ,58,208,3.59
221,Santa Clara ,50,179,3.58
222,New Mexico ,53,189,3.57
223,Bethune-Cookman ,57,203,3.56
224,Pittsburgh ,54,192,3.56
224,Savannah St. ,36,128,3.56
226,Georgetown ,49,174,3.55
227,Green Bay ,41,144,3.51
228,La Salle ,45,157,3.49
229,La.-Monroe ,56,195,3.48
230,UTSA ,52,181,3.48
231,UCF ,55,191,3.47
232,Siena ,47,162,3.45
233,Fla. Atlantic ,50,172,3.44
234,San Diego ,49,166,3.39
235,McNeese ,65,220,3.38
236,Delaware St. ,42,142,3.38
237,Boston College ,53,179,3.38
238,FIU ,51,172,3.37
239,Iona ,46,155,3.37
240,Rhode Island ,46,154,3.35
241,CSU Bakersfield ,47,157,3.34
242,Detroit Mercy ,59,197,3.34
243,FGCU ,51,169,3.31
244,Northern Ky. ,55,182,3.31
245,Cleveland St. ,49,162,3.31
246,Cornell ,46,152,3.30
247,Quinnipiac ,50,165,3.30
248,Valparaiso ,47,155,3.30
249,Furman ,51,168,3.29
250,Butler ,48,158,3.29
251,San Diego St. ,51,167,3.27
252,Presbyterian ,53,173,3.26
253,Idaho St. ,47,152,3.23
254,Northern Colo. ,53,170,3.21
255,South Fla. ,60,192,3.20
255,Niagara ,50,160,3.20
257,Evansville ,49,156,3.18
258,Robert Morris ,51,162,3.18
259,George Mason ,48,152,3.17
260,Kansas ,51,160,3.14
261,Brown ,39,122,3.13
262,Charleston So. ,55,172,3.13
263,Mississippi Val. ,39,121,3.10
264,Maine ,41,127,3.10
265,Tennessee St. ,42,128,3.05
266,Pacific ,49,148,3.02
267,Jacksonville ,50,150,3.00
267,Jackson St. ,47,141,3.00
267,St. Bonaventure ,45,135,3.00
270,N.C. A&T ,40,119,2.98
271,Bryant ,45,132,2.93
272,Baylor ,49,143,2.92
273,Stetson ,47,137,2.91
274,Youngstown St. ,54,157,2.91
275,UMES ,39,111,2.85
276,Lamar University ,57,155,2.72
277,Purdue Fort Wayne ,49,133,2.71
278,Iowa ,51,137,2.69
279,Georgia St. ,54,142,2.63
280,UC Santa Barbara ,52,136,2.62
281,Holy Cross ,49,128,2.61
282,Southern U. ,35,89,2.54
283,Omaha ,47,119,2.53
284,Fairleigh Dickinson ,49,120,2.45
285,UIW ,48,117,2.44
286,Coppin St. ,41,97,2.37
287,Saint Peter's ,56,131,2.34
288,Saint Mary's ,51,118,2.31
289,Morehead St. ,45,104,2.31
290,Rider ,54,124,2.30
291,Cal Poly ,51,116,2.27
292,Lafayette ,49,110,2.24
293,Ark.-Pine Bluff ,38,81,2.13
294,A&M-Corpus Christi ,51,108,2.12
295,South Carolina St. ,36,50,1.39
