Rank,College,G,SB,CS,PG
1,Southeastern La. ,57,227,29,3.98
2,Louisiana ,58,169,29,2.91
3,USC Upstate ,56,156,16,2.79
4,Akron ,46,114,34,2.48
5,Indiana ,57,141,38,2.47
6,Hampton ,48,113,25,2.35
7,UT Martin ,56,130,22,2.32
8,Grambling ,39,89,8,2.28
9,North Carolina ,58,124,40,2.14
10,Ole Miss ,61,128,28,2.10
11,McNeese ,65,135,32,2.08
12,Central Ark. ,54,112,15,2.07
13,Alabama ,70,142,16,2.03
14,Norfolk St. ,45,90,14,2.00
15,Louisiana Tech ,61,120,20,1.97
16,Northern Ill. ,52,102,29,1.96
17,Canisius ,45,85,21,1.89
18,N.C. Central ,49,92,18,1.88
19,Lipscomb ,58,106,15,1.83
19,Louisville ,58,106,16,1.83
21,Western Ky. ,50,90,18,1.80
22,Delaware ,51,91,22,1.78
23,Florida St. ,65,115,20,1.77
24,SIUE ,44,77,19,1.75
25,Longwood ,59,102,14,1.73
26,Fla. Atlantic ,50,86,9,1.72
27,Texas St. ,54,92,11,1.70
28,Stetson ,47,77,20,1.64
29,Notre Dame ,55,90,13,1.64
30,Hofstra ,47,76,18,1.62
31,Bethune-Cookman ,57,92,18,1.61
32,Harvard ,44,71,11,1.61
33,Indiana St. ,54,87,9,1.61
34,Drake ,59,95,26,1.61
35,UMKC ,56,90,28,1.61
36,Albany ,43,69,14,1.60
37,Howard ,48,77,16,1.60
38,Morgan St. ,46,73,13,1.59
39,Evansville ,49,76,17,1.55
40,Bryant ,45,68,15,1.51
41,Savannah St. ,36,54,6,1.50
42,St. John's ,48,71,22,1.48
43,Dayton ,51,75,22,1.47
44,Texas Tech ,58,85,19,1.47
45,Marist ,57,83,25,1.46
46,Nebraska ,52,75,16,1.44
47,Saint Joseph's ,53,76,17,1.43
48,Prairie View ,47,67,14,1.43
49,UIC ,55,78,11,1.42
50,Presbyterian ,53,75,10,1.42
51,Southeast Mo. St. ,64,89,28,1.39
52,Detroit Mercy ,59,82,18,1.39
53,Southern U. ,35,48,16,1.37
54,Florida A&M ,53,72,12,1.36
55,Dartmouth ,40,54,11,1.35
56,UT Arlington ,63,81,23,1.29
57,Alabama St. ,49,62,13,1.27
58,Liberty ,62,78,19,1.26
58,George Washington ,62,78,18,1.26
60,Kennesaw St. ,55,69,15,1.25
61,Missouri ,60,75,18,1.25
62,Middle Tenn. ,59,73,10,1.24
63,Duke ,56,69,11,1.23
64,Southern Miss. ,52,64,6,1.23
65,Abilene Christian ,44,54,15,1.23
66,St. Bonaventure ,45,55,9,1.22
66,North Texas ,54,66,10,1.22
68,South Fla. ,60,73,21,1.22
69,Bucknell ,52,63,19,1.21
70,LSU ,62,75,6,1.21
71,UMBC ,54,65,7,1.20
72,Loyola Chicago ,50,60,11,1.20
73,Jacksonville St. ,51,61,8,1.20
74,Central Conn. St. ,41,49,6,1.20
75,Ohio St. ,53,63,8,1.19
76,Wright St. ,55,65,15,1.18
77,Army West Point ,56,66,12,1.18
77,Mercer ,56,66,15,1.18
79,Wisconsin ,57,67,23,1.18
80,Princeton ,41,48,15,1.17
81,Binghamton ,48,56,18,1.17
82,UCF ,55,64,17,1.16
83,La.-Monroe ,56,65,19,1.16
84,Eastern Ky. ,57,66,18,1.16
85,Oregon St. ,45,52,8,1.16
86,Auburn ,60,69,17,1.15
87,Idaho St. ,47,54,5,1.15
88,Michigan ,58,66,11,1.14
89,Tennessee ,60,68,11,1.13
90,Butler ,48,54,16,1.13
91,Penn ,39,43,11,1.10
92,Georgetown ,49,54,19,1.10
93,UNLV ,50,55,7,1.10
94,Mount St. Mary's ,54,59,11,1.09
95,Rutgers ,55,60,23,1.09
96,FIU ,51,54,11,1.06
97,California ,55,58,3,1.05
97,Lehigh ,55,58,17,1.05
99,Virginia Tech ,58,61,13,1.05
100,UMES ,39,41,10,1.05
101,Kentucky ,60,63,16,1.05
102,Jackson St. ,47,49,12,1.04
103,Arizona St. ,55,57,9,1.04
104,Northwestern St. ,57,59,8,1.04
105,NC State ,58,60,10,1.03
106,Alcorn ,38,39,4,1.03
107,Morehead St. ,45,46,12,1.02
108,Missouri St. ,51,52,14,1.02
109,Gardner-Webb ,54,55,13,1.02
110,Lamar University ,57,58,16,1.02
111,North Dakota St. ,58,59,16,1.02
111,Sam Houston St. ,58,59,11,1.02
113,Eastern Ill. ,55,55,14,1.00
113,Boise St. ,52,52,13,1.00
113,Bowling Green ,51,51,11,1.00
113,Marshall ,64,64,22,1.00
113,North Florida ,54,54,17,1.00
118,UCLA ,62,61,8,0.98
119,Fresno St. ,57,56,18,0.98
120,Monmouth ,54,53,6,0.98
121,ETSU ,51,50,9,0.98
122,Oklahoma ,63,61,13,0.97
122,Texas ,63,61,15,0.97
124,Murray St. ,53,51,10,0.96
125,A&M-Corpus Christi ,51,49,14,0.96
125,San Diego St. ,51,49,8,0.96
125,FGCU ,51,49,10,0.96
128,Santa Clara ,50,48,11,0.96
129,Delaware St. ,42,40,8,0.95
130,Sacramento St. ,56,53,9,0.95
131,Memphis ,55,52,8,0.95
131,Ohio ,55,52,11,0.95
133,Campbell ,54,51,14,0.94
134,Radford ,59,55,25,0.93
135,UNCW ,54,50,11,0.93
136,Oregon ,52,48,14,0.92
137,Iowa ,51,47,18,0.92
138,Oklahoma St. ,62,57,5,0.92
139,Cal St. Fullerton ,56,51,18,0.91
140,Austin Peay ,55,50,4,0.91
141,Michigan St. ,50,45,10,0.90
142,Southern Ill. ,49,44,11,0.90
143,East Carolina ,54,48,14,0.89
143,Towson ,54,48,7,0.89
145,Syracuse ,53,47,14,0.89
146,Georgia ,61,54,7,0.89
147,Yale ,43,38,12,0.88
148,New Mexico St. ,55,48,15,0.87
149,Boston College ,53,46,19,0.87
150,Wagner ,44,38,6,0.86
151,UNI ,51,44,13,0.86
152,Houston ,58,50,14,0.86
153,Buffalo ,43,37,11,0.86
154,Fairfield ,50,43,10,0.86
155,Seattle U ,57,49,17,0.86
156,Villanova ,53,45,10,0.85
156,UC Davis ,53,45,11,0.85
