Rank,College,G,AB,TB,SLG PCT
213,Middle Tenn. ,59,"1,551",566,0.365
214,UConn ,50,"1,328",484,0.364
215,Hampton ,48,"1,139",415,0.364
216,IUPUI ,56,"1,488",542,0.364
217,Missouri St. ,51,"1,349",491,0.364
218,Canisius ,45,"1,176",428,0.364
219,UCF ,55,"1,407",511,0.363
220,Siena ,47,"1,219",440,0.361
221,Detroit Mercy ,59,"1,522",549,0.361
222,Wagner ,44,"1,127",405,0.359
223,San Diego ,49,"1,204",431,0.358
224,East Carolina ,54,"1,404",499,0.355
225,Western Ill. ,40,"1,095",389,0.355
226,N.C. Central ,49,"1,247",442,0.354
227,Army West Point ,56,"1,483",524,0.353
228,Maine ,41,"1,070",378,0.353
229,Robert Morris ,51,"1,300",459,0.353
230,Idaho St. ,47,"1,194",421,0.353
231,Florida A&M ,53,"1,390",489,0.352
232,FGCU ,51,"1,337",470,0.352
233,Cleveland St. ,49,"1,307",459,0.351
234,Appalachian St. ,56,"1,456",511,0.351
235,Santa Clara ,50,"1,274",447,0.351
236,Wright St. ,55,"1,459",511,0.350
237,Princeton ,41,992,346,0.349
238,North Dakota ,56,"1,517",529,0.349
239,Butler ,48,"1,289",448,0.348
240,Hartford ,51,"1,316",457,0.347
241,San Diego St. ,51,"1,372",474,0.345
242,Pacific ,49,"1,194",411,0.344
243,McNeese ,65,"1,732",594,0.343
244,Boston College ,53,"1,324",454,0.343
245,Evansville ,49,"1,215",416,0.342
246,Youngstown St. ,54,"1,421",486,0.342
247,Fla. Atlantic ,50,"1,277",436,0.341
248,Niagara ,50,"1,264",427,0.338
249,Jacksonville ,50,"1,306",440,0.337
250,Iona ,46,"1,244",418,0.336
251,South Fla. ,60,"1,524",512,0.336
252,Charleston So. ,55,"1,386",465,0.335
253,Green Bay ,41,"1,091",366,0.335
254,Savannah St. ,36,916,307,0.335
255,Brown ,39,994,333,0.335
256,St. Bonaventure ,45,"1,119",372,0.332
257,CSU Bakersfield ,47,"1,229",404,0.329
258,Baylor ,49,"1,237",406,0.328
259,Tennessee St. ,42,"1,088",357,0.328
