Rank,College,G,DP,PG
153,Texas A&M ,60,17,0.28
154,Hofstra ,53,15,0.28
155,Hartford ,46,13,0.28
156,Tennessee ,64,18,0.28
157,Wichita St. ,57,16,0.28
157,Weber St. ,57,16,0.28
159,UNI ,50,14,0.28
160,Massachusetts ,43,12,0.28
161,Iowa St. ,54,15,0.28
161,South Carolina St. ,36,10,0.28
163,CSUN ,58,16,0.28
164,Valparaiso ,51,14,0.27
165,Oregon St. ,52,14,0.27
165,Southeastern La. ,52,14,0.27
167,Gardner-Webb ,50,13,0.26
167,Jackson St. ,50,13,0.26
169,South Dakota ,54,14,0.26
169,Bradley ,54,14,0.26
171,Kentucky ,58,15,0.26
172,Dartmouth ,43,11,0.26
172,Northern Colo. ,43,11,0.26
174,Portland St. ,51,13,0.25
174,Charlotte ,51,13,0.25
176,North Florida ,59,15,0.25
176,Charleston So. ,59,15,0.25
178,Alabama ,63,16,0.25
179,Sacred Heart ,44,11,0.25
179,Illinois St. ,56,14,0.25
179,South Fla. ,56,14,0.25
179,Southern Miss. ,52,13,0.25
179,Toledo ,56,14,0.25
179,Wisconsin ,52,13,0.25
179,Iona ,44,11,0.25
186,Tennessee Tech ,61,15,0.25
187,Appalachian St. ,49,12,0.24
187,Siena ,49,12,0.24
189,Belmont ,45,11,0.24
190,LSU ,66,16,0.24
191,James Madison ,58,14,0.24
192,Quinnipiac ,50,12,0.24
192,Eastern Mich. ,50,12,0.24
192,Central Mich. ,50,12,0.24
195,UIC ,46,11,0.24
196,Princeton ,42,10,0.24
197,Grambling ,38,9,0.24
198,Samford ,55,13,0.24
198,Campbell ,55,13,0.24
200,Georgetown ,47,11,0.23
200,Ohio ,47,11,0.23
202,Alabama A&M ,43,10,0.23
203,Ohio St. ,52,12,0.23
203,UMES ,39,9,0.23
205,Nicholls St. ,48,11,0.23
206,Delaware ,53,12,0.23
207,Central Conn. St. ,45,10,0.22
207,Sacramento St. ,54,12,0.22
207,Northwestern St. ,54,12,0.22
207,UTSA ,54,12,0.22
207,Canisius ,45,10,0.22
212,Western Ky. ,50,11,0.22
213,Western Ill. ,41,9,0.22
214,Green Bay ,46,10,0.22
214,Southeast Mo. St. ,46,10,0.22
216,Fresno St. ,56,12,0.21
216,Central Ark. ,56,12,0.21
218,Alcorn ,33,7,0.21
219,Eastern Ky. ,52,11,0.21
219,La.-Monroe ,52,11,0.21
221,Florida A&M ,57,12,0.21
222,Creighton ,43,9,0.21
223,Purdue Fort Wayne ,48,10,0.21
223,Bowling Green ,48,10,0.21
225,Western Caro. ,53,11,0.21
225,Dayton ,53,11,0.21
227,Wagner ,34,7,0.21
227,Yale ,34,7,0.21
229,Harvard ,44,9,0.20
230,UC Santa Barbara ,54,11,0.20
231,UCF ,59,12,0.20
231,Oregon ,59,12,0.20
233,North Dakota ,55,11,0.20
233,N.C. Central ,45,9,0.20
233,Houston Baptist ,45,9,0.20
233,Evansville ,55,11,0.20
233,Ark.-Pine Bluff ,40,8,0.20
233,Cal Poly ,55,11,0.20
239,Miami ,56,11,0.20
240,IUPUI ,51,10,0.20
240,Army West Point ,51,10,0.20
242,UNC Greensboro ,47,9,0.19
243,Drexel ,42,8,0.19
244,Baylor ,58,11,0.19
244,Fordham ,58,11,0.19
246,SIUE ,59,11,0.19
247,Colgate ,38,7,0.18
248,Fairfield ,49,9,0.18
248,Mississippi Val. ,49,9,0.18
248,UC Davis ,49,9,0.18
251,Columbia ,44,8,0.18
251,Texas ,55,10,0.18
251,Kansas City ,55,10,0.18
254,Montana ,50,9,0.18
255,Holy Cross ,28,5,0.18
256,Oakland ,51,9,0.18
257,Notre Dame ,57,10,0.18
258,Memphis ,53,9,0.17
258,Arkansas ,53,9,0.17
260,Prairie View ,36,6,0.17
261,Georgia ,61,10,0.16
262,Kansas ,55,9,0.16
263,Bryant ,49,8,0.16
264,Howard ,43,7,0.16
265,Michigan ,68,11,0.16
266,Lipscomb ,56,9,0.16
267,SFA ,51,8,0.16
268,Long Beach St. ,52,8,0.15
269,Mercer ,59,9,0.15
270,Texas St. ,53,8,0.15
270,Drake ,53,8,0.15
272,USC Upstate ,54,8,0.15
273,Brown ,34,5,0.15
274,Detroit Mercy ,50,7,0.14
275,Robert Morris ,48,6,0.13
275,Purdue ,56,7,0.13
275,North Dakota St. ,56,7,0.13
278,Radford ,49,6,0.12
279,Georgia Tech ,50,6,0.12
279,North Texas ,50,6,0.12
281,Texas Tech ,51,6,0.12
282,Col. of Charleston ,53,6,0.11
283,Kent St. ,54,6,0.11
284,Penn ,42,4,0.10
285,Texas Southern ,43,4,0.09
286,Delaware St. ,44,4,0.09
286,Maine ,44,4,0.09
288,Akron ,51,4,0.08
289,Villanova ,54,3,0.06
