Rank,College,G,DP,PG
1,Utah Valley ,59,45,0.76
2,Utah ,55,36,0.65
3,Auburn ,67,42,0.63
4,Arizona St. ,58,35,0.60
5,Iowa ,59,35,0.59
6,Austin Peay ,46,27,0.59
7,Murray St. ,57,32,0.56
8,Southern U. ,30,16,0.53
9,New Mexico St. ,63,33,0.52
10,George Washington ,48,25,0.52
11,St. Bonaventure ,39,20,0.51
12,Houston ,55,28,0.51
13,Rhode Island ,44,22,0.50
14,Pittsburgh ,59,29,0.49
15,UT Arlington ,55,27,0.49
15,Michigan St. ,55,27,0.49
17,Nebraska ,58,28,0.48
18,Marist ,54,25,0.46
18,Lamar University ,54,25,0.46
20,Seattle U ,52,24,0.46
20,Idaho St. ,52,24,0.46
22,Louisiana Tech ,50,23,0.46
22,Chattanooga ,50,23,0.46
22,UT Martin ,50,23,0.46
25,Arizona ,61,28,0.46
26,Utah St. ,55,25,0.45
27,North Carolina ,53,24,0.45
28,UAB ,51,23,0.45
29,UC Riverside ,56,25,0.45
30,Stanford ,54,24,0.44
30,New Mexico ,54,24,0.44
30,UCLA ,63,28,0.44
30,FIU ,54,24,0.44
34,CSU Bakersfield ,46,20,0.43
35,Monmouth ,44,19,0.43
36,Kennesaw St. ,51,22,0.43
36,Winthrop ,51,22,0.43
36,Bethune-Cookman ,51,22,0.43
39,Indiana ,56,24,0.43
40,BYU ,54,23,0.43
40,LMU ,54,23,0.43
40,Saint Louis ,54,23,0.43
43,Washington ,59,25,0.42
44,Penn St. ,57,24,0.42
45,Coppin St. ,36,15,0.42
46,Saint Mary's ,53,22,0.42
47,Indiana St. ,58,24,0.41
48,N.C. A&T ,46,19,0.41
49,Colorado St. ,56,23,0.41
50,Savannah St. ,39,16,0.41
51,Mount St. Mary's ,44,18,0.41
52,Louisville ,49,20,0.41
53,St. John's ,47,19,0.40
54,George Mason ,52,21,0.40
55,South Carolina ,60,24,0.40
55,Missouri St. ,55,22,0.40
55,Santa Clara ,50,20,0.40
55,Stetson ,50,20,0.40
55,UNLV ,55,22,0.40
55,Binghamton ,45,18,0.40
55,Saint Francis ,50,20,0.40
62,Northern Ill. ,53,21,0.40
62,UTEP ,53,21,0.40
64,San Jose St. ,56,22,0.39
64,Cal St. Fullerton ,56,22,0.39
66,Manhattan ,46,18,0.39
67,Saint Joseph's ,41,16,0.39
68,Boise St. ,54,21,0.39
69,Mississippi St. ,57,22,0.39
70,NC State ,60,23,0.38
70,Georgia St. ,60,23,0.38
72,Sam Houston St. ,47,18,0.38
73,Bucknell ,55,21,0.38
74,San Diego St. ,58,22,0.38
75,LIU ,53,20,0.38
75,UConn ,53,20,0.38
77,Wright St. ,56,21,0.38
77,Tennessee St. ,48,18,0.38
79,DePaul ,46,17,0.37
80,Coastal Carolina ,57,21,0.37
80,Morgan St. ,38,14,0.37
82,Norfolk St. ,41,15,0.37
83,Ole Miss ,55,20,0.36
83,Niagara ,44,16,0.36
85,Stony Brook ,47,17,0.36
86,Buffalo ,50,18,0.36
87,Illinois ,53,19,0.36
88,Furman ,56,20,0.36
88,Saint Peter's ,42,15,0.36
90,Fla. Atlantic ,59,21,0.36
91,Eastern Ill. ,48,17,0.35
91,Albany ,48,17,0.35
93,Middle Tenn. ,51,18,0.35
93,Ga. Southern ,51,18,0.35
95,Alabama St. ,54,19,0.35
95,Maryland ,54,19,0.35
97,Syracuse ,46,16,0.35
97,Morehead St. ,46,16,0.35
99,Oklahoma St. ,52,18,0.35
100,Jacksonville St. ,55,19,0.35
100,Pacific ,55,19,0.35
102,Florida ,67,23,0.34
103,Rider ,47,16,0.34
104,Presbyterian ,50,17,0.34
104,Loyola Chicago ,50,17,0.34
106,Elon ,53,18,0.34
107,Ball St. ,59,20,0.34
108,Tulsa ,54,18,0.33
108,Northwestern ,51,17,0.33
110,Oklahoma ,58,19,0.33
111,South Dakota St. ,52,17,0.33
112,UMBC ,49,16,0.33
112,Rutgers ,49,16,0.33
114,La Salle ,37,12,0.32
115,Liberty ,59,19,0.32
116,Virginia ,56,18,0.32
117,Nevada ,53,17,0.32
117,Seton Hall ,53,17,0.32
119,Lafayette ,41,13,0.32
120,Towson ,57,18,0.32
120,California ,57,18,0.32
122,Hawaii ,54,17,0.31
123,Western Mich. ,51,16,0.31
124,Southern Ill. ,48,15,0.31
124,Hampton ,48,15,0.31
124,ETSU ,48,15,0.31
124,Youngstown St. ,48,15,0.31
128,Missouri ,58,18,0.31
129,Troy ,55,17,0.31
130,Cleveland St. ,52,16,0.31
130,San Diego ,52,16,0.31
130,Providence ,39,12,0.31
133,Fairleigh Dickinson ,36,11,0.31
134,UNCW ,46,14,0.30
135,Jacksonville ,56,17,0.30
135,McNeese ,56,17,0.30
137,FGCU ,53,16,0.30
137,East Carolina ,53,16,0.30
137,South Alabama ,53,16,0.30
140,Florida St. ,63,19,0.30
141,Marshall ,50,15,0.30
141,Southern Utah ,50,15,0.30
141,Minnesota ,60,18,0.30
144,Virginia Tech ,57,17,0.30
145,Louisiana ,54,16,0.30
146,Boston U. ,44,13,0.30
147,Boston College ,51,15,0.29
147,Butler ,51,15,0.29
149,Cornell ,41,12,0.29
150,Longwood ,59,17,0.29
151,A&M-Corpus Christi ,49,14,0.29
151,Lehigh ,49,14,0.29
