Rank,College,G,PO,A,E,PCT
1,Oklahoma ,62,"1,203",397,22,0.986
2,Florida ,67,"1,280",376,27,0.984
3,Michigan ,57,"1,114",414,26,0.983
4,South Carolina ,66,"1,300",467,38,0.979
5,Washington ,62,"1,229",397,35,0.979
6,Hofstra ,55,"1,115",393,33,0.979
7,Auburn ,58,"1,192",533,40,0.977
8,Liberty ,63,"1,276",425,40,0.977
9,Texas A&M ,62,"1,241",498,41,0.977
10,Florida St. ,70,"1,389",469,44,0.977
11,Kentucky ,56,"1,090",544,40,0.976
12,Texas ,59,"1,184",374,39,0.976
13,Kansas ,52,"1,050",419,37,0.975
14,Sacred Heart ,56,"1,137",394,39,0.975
15,Troy ,60,"1,243",365,41,0.975
16,Long Beach St. ,57,"1,163",407,41,0.975
17,LSU ,62,"1,338",498,48,0.975
18,SIUE ,46,903,260,31,0.974
19,Stanford ,55,"1,073",369,39,0.974
20,Oregon ,63,"1,251",470,47,0.973
21,UNLV ,53,"1,092",464,43,0.973
22,Arizona ,59,"1,156",321,41,0.973
23,Brown ,39,775,371,32,0.973
24,Nebraska ,54,"1,058",410,41,0.973
25,North Dakota St. ,53,"1,064",258,37,0.973
26,USC Upstate ,54,"1,067",339,40,0.972
27,Lipscomb ,50,"1,036",319,39,0.972
28,Drake ,57,"1,161",346,44,0.972
29,DePaul ,52,"1,065",406,43,0.972
30,Louisiana ,57,"1,256",514,52,0.971
31,Sam Houston St. ,57,"1,138",314,43,0.971
32,Albany ,48,936,337,38,0.971
33,Western Ill. ,48,940,288,37,0.971
34,Kent St. ,52,997,395,42,0.971
35,FIU ,55,"1,141",350,45,0.971
36,UT Arlington ,58,"1,195",459,50,0.971
37,UNC Greensboro ,59,"1,205",470,51,0.970
38,Eastern Ky. ,66,"1,306",516,56,0.970
39,Missouri St. ,52,"1,049",414,45,0.970
40,Southeast Mo. St. ,53,"1,040",356,43,0.970
41,Marist ,59,"1,165",551,53,0.970
42,Tulsa ,59,"1,154",334,46,0.970
43,Baylor ,56,"1,105",380,46,0.970
44,South Dakota St. ,55,"1,058",394,45,0.970
45,Pittsburgh ,52,"1,039",509,48,0.970
46,Ga. Southern ,53,"1,053",427,46,0.970
47,Oklahoma St. ,61,"1,202",500,53,0.970
48,Montana ,55,"1,104",395,47,0.970
49,Virginia Tech ,53,"1,067",459,48,0.970
50,UT Martin ,57,"1,155",496,52,0.969
51,Coastal Caro. ,54,"1,057",304,43,0.969
52,UCLA ,65,"1,286",410,54,0.969
53,Boston U. ,59,"1,187",471,53,0.969
54,Illinois St. ,54,"1,079",479,50,0.969
55,Fla. Atlantic ,56,"1,209",499,55,0.969
56,Arizona St. ,61,"1,241",368,52,0.969
57,Sacramento St. ,51,"1,045",372,46,0.969
58,UC Davis ,51,"1,058",294,44,0.968
59,Houston ,59,"1,260",580,60,0.968
60,Cal St. Fullerton ,60,"1,195",577,58,0.968
61,Grand Canyon ,59,"1,148",592,57,0.968
62,Loyola Marymount ,59,"1,210",467,55,0.968
63,Radford ,55,"1,127",514,54,0.968
64,Fresno St. ,54,"1,045",380,47,0.968
65,Seattle U ,56,"1,191",554,58,0.968
66,UIC ,54,"1,066",466,51,0.968
67,Villanova ,53,"1,020",389,47,0.968
68,Central Conn. St. ,49,969,375,45,0.968
69,Syracuse ,50,"1,017",297,44,0.968
70,Furman ,56,"1,131",343,50,0.967
71,Louisiana Tech ,57,"1,118",414,52,0.967
72,Texas St. ,59,"1,242",371,55,0.967
73,Tennessee ,62,"1,229",411,56,0.967
74,Minnesota ,58,"1,152",513,57,0.967
75,Ole Miss ,57,"1,164",530,58,0.967
76,ETSU ,46,890,305,41,0.967
77,Georgia St. ,55,"1,139",405,53,0.967
78,Santa Clara ,46,911,312,42,0.967
