Rank,College,G,AB,H,BB,HBP,SF,SH,PCT
1,Oklahoma ,63,"1,640",564,234,52,26,32,0.435
2,James Madison ,61,"1,621",539,251,25,17,29,0.426
3,Louisiana ,58,"1,466",484,219,29,24,22,0.421
4,Florida St. ,65,"1,673",552,256,19,16,6,0.421
5,Arizona St. ,55,"1,370",436,210,38,15,14,0.419
6,Virginia Tech ,58,"1,543",515,194,39,17,12,0.417
7,UCLA ,62,"1,685",572,210,25,18,22,0.416
8,Notre Dame ,55,"1,466",484,172,42,15,32,0.412
9,South Carolina ,57,"1,505",460,200,70,19,21,0.407
10,LSU ,62,"1,595",484,234,57,21,17,0.406
11,Texas Tech ,58,"1,512",483,203,29,16,34,0.406
12,George Washington ,62,"1,706",582,160,42,29,30,0.405
13,UIC ,55,"1,434",463,188,16,13,32,0.404
14,Michigan ,58,"1,582",496,192,61,22,32,0.403
15,Southern Ill. ,49,"1,267",383,178,42,13,50,0.402
16,Alabama ,70,"1,799",510,333,32,14,46,0.402
17,Kentucky ,60,"1,580",479,227,42,16,35,0.401
18,Fresno St. ,57,"1,455",448,181,44,7,38,0.399
19,Drexel ,60,"1,699",543,206,25,12,17,0.399
20,Arizona ,62,"1,655",527,202,24,13,27,0.398
21,Prairie View ,47,"1,252",380,161,36,10,48,0.395
22,Georgia Tech ,58,"1,514",419,256,50,15,13,0.395
23,Louisiana Tech ,61,"1,575",480,224,20,16,31,0.395
24,Colorado St. ,51,"1,391",447,142,32,16,22,0.393
25,Tennessee ,60,"1,548",467,193,44,13,24,0.392
26,Georgia ,61,"1,580",467,225,30,18,23,0.390
27,Drake ,59,"1,463",409,251,18,11,36,0.389
28,Illinois ,58,"1,581",492,174,31,11,35,0.388
29,Wisconsin ,57,"1,451",402,234,36,12,39,0.388
30,Penn ,39,"1,067",342,108,16,13,16,0.387
31,Northwestern ,60,"1,512",402,262,41,8,21,0.387
32,Gardner-Webb ,54,"1,386",412,181,30,14,24,0.387
33,North Texas ,54,"1,391",384,207,45,11,26,0.385
34,Bradley ,50,"1,327",391,165,36,12,8,0.384
35,Oklahoma St. ,62,"1,610",459,237,30,13,20,0.384
36,Lipscomb ,58,"1,534",431,241,24,13,27,0.384
37,UT Arlington ,63,"1,708",528,185,31,15,82,0.384
38,Washington ,61,"1,643",488,208,29,12,25,0.383
39,Boise St. ,52,"1,432",458,114,42,15,17,0.383
40,Marshall ,64,"1,606",439,220,74,14,25,0.383
41,Hofstra ,47,"1,297",395,152,22,16,21,0.383
42,Southeast Mo. St. ,64,"1,667",501,180,48,11,29,0.382
43,Wichita St. ,56,"1,459",409,209,37,8,44,0.382
44,Weber St. ,48,"1,240",386,132,15,8,48,0.382
45,Seattle U ,57,"1,543",476,157,33,12,19,0.382
46,USC Upstate ,56,"1,427",438,159,22,19,45,0.380
47,Massachusetts ,48,"1,339",394,156,39,15,21,0.380
48,Long Beach St. ,50,"1,367",406,155,34,9,11,0.380
49,UNLV ,50,"1,364",428,141,17,20,27,0.380
50,Minnesota ,60,"1,543",438,225,20,12,42,0.379
51,Ohio ,55,"1,533",453,169,44,10,31,0.379
52,North Carolina ,58,"1,459",412,205,31,15,22,0.379
53,Saint Francis ,60,"1,672",480,187,71,20,11,0.378
54,Campbell ,54,"1,432",409,187,33,11,21,0.378
55,Creighton ,44,"1,136",317,144,38,3,48,0.378
56,Texas ,63,"1,610",487,170,30,12,39,0.377
57,Manhattan ,50,"1,345",367,200,31,10,14,0.377
58,Southeastern La. ,57,"1,545",465,176,21,14,49,0.377
59,Purdue ,63,"1,662",469,212,52,20,11,0.377
60,St. John's ,48,"1,241",354,154,33,9,24,0.376
61,Florida ,67,"1,739",459,266,56,15,22,0.376
62,Belmont ,54,"1,412",410,179,26,18,14,0.376
63,Texas St. ,54,"1,357",354,221,35,10,50,0.376
64,Northern Ill. ,52,"1,358",392,159,33,5,35,0.376
65,Louisville ,58,"1,525",428,187,53,15,16,0.375
66,South Alabama ,49,"1,333",388,152,31,6,21,0.375
67,Ohio St. ,53,"1,454",430,153,36,10,20,0.374
68,Arkansas ,58,"1,487",428,162,56,22,21,0.374
69,Eastern Ky. ,57,"1,527",447,168,37,14,23,0.373
70,South Dakota St. ,56,"1,511",415,213,29,10,5,0.373
71,Central Ark. ,54,"1,432",418,168,30,23,22,0.373
72,New Mexico St. ,55,"1,427",411,164,35,11,14,0.373
73,Missouri ,60,"1,573",447,190,32,13,30,0.370
74,Stony Brook ,51,"1,364",395,154,27,12,28,0.370
75,Alcorn ,38,988,276,120,29,12,22,0.370
76,Alabama St. ,49,"1,333",404,112,36,12,14,0.370
77,Michigan St. ,50,"1,280",347,191,20,19,21,0.370
78,Oakland ,51,"1,446",422,149,34,9,41,0.369
79,Auburn ,60,"1,549",443,178,34,15,15,0.369
80,North Dakota St. ,58,"1,522",462,150,11,8,56,0.368
81,Southern Miss. ,52,"1,351",386,162,23,16,32,0.368
82,Houston ,58,"1,487",432,155,33,12,33,0.368
83,Grambling ,39,954,254,127,30,8,32,0.367
84,Stanford ,53,"1,338",369,165,35,12,19,0.367
85,Utah St. ,47,"1,239",341,134,50,8,8,0.367
86,DePaul ,51,"1,326",370,164,28,14,44,0.367
87,Fordham ,55,"1,528",467,134,18,8,16,0.367
88,Troy ,57,"1,466",386,183,61,9,49,0.366
89,Loyola Chicago ,50,"1,333",403,115,26,11,26,0.366
90,Mount St. Mary's ,54,"1,475",443,125,31,5,30,0.366
91,LIU Brooklyn ,54,"1,492",443,131,35,9,20,0.365
92,Oregon ,52,"1,311",347,195,20,13,20,0.365
93,Nebraska ,52,"1,342",358,184,31,13,16,0.365
94,Mississippi St. ,58,"1,542",456,128,48,14,14,0.365
95,Mercer ,56,"1,477",411,155,53,13,40,0.365
96,Chattanooga ,54,"1,434",420,143,30,20,51,0.364
97,Cal St. Fullerton ,56,"1,435",408,154,35,14,46,0.364
98,Western Ky. ,50,"1,282",373,137,21,17,31,0.364
99,Ball St. ,54,"1,397",340,229,44,12,14,0.364
100,Ole Miss ,61,"1,568",430,166,65,18,19,0.364
101,San Jose St. ,53,"1,408",388,182,18,13,12,0.363
102,Villanova ,53,"1,391",382,164,38,18,12,0.363
103,Toledo ,57,"1,501",397,189,49,14,28,0.362
104,Austin Peay ,55,"1,503",437,146,26,7,15,0.362
105,Harvard ,44,"1,151",326,124,23,11,17,0.361
106,UNI ,51,"1,365",359,176,41,14,5,0.361
107,UNC Greensboro ,56,"1,458",386,181,43,9,32,0.361
108,Morgan St. ,46,"1,142",315,150,11,18,34,0.360
109,Nevada ,56,"1,496",420,165,25,7,24,0.360
110,Columbia ,45,"1,132",315,129,22,11,37,0.360
111,Charlotte ,50,"1,313",375,142,13,5,19,0.360
112,Sacramento St. ,56,"1,546",438,147,45,13,39,0.360
113,UTEP ,50,"1,294",370,127,26,7,17,0.360
114,Jacksonville St. ,51,"1,374",389,132,38,12,22,0.359
115,Syracuse ,53,"1,284",338,158,39,13,25,0.358
116,UC Riverside ,53,"1,350",370,139,43,10,21,0.358
117,Montana ,56,"1,528",436,140,34,5,44,0.357
118,Bucknell ,52,"1,368",388,126,38,13,33,0.357
119,Utah ,54,"1,344",371,139,35,8,38,0.357
120,Utah Valley ,46,"1,204",344,120,18,8,28,0.357
121,Elon ,54,"1,388",358,192,25,6,9,0.357
122,Missouri St. ,51,"1,349",373,155,21,14,27,0.357
123,San Diego ,49,"1,204",320,157,20,13,42,0.357
124,Col. of Charleston ,56,"1,465",399,160,35,7,25,0.356
125,Western Ill. ,40,"1,095",281,159,17,12,20,0.356
126,Portland St. ,51,"1,447",423,126,20,8,48,0.355
