Rank,College,G,HR,PG
1,James Madison ,57,84,1.47
2,Saint Francis ,58,83,1.43
3,Coastal Caro. ,54,75,1.39
4,Oklahoma ,62,82,1.32
5,Eastern Ky. ,66,87,1.32
6,Hofstra ,55,70,1.27
7,Arizona ,59,75,1.27
8,St. John's ,50,62,1.24
9,Oregon ,63,78,1.24
10,Ohio St. ,52,64,1.23
11,Columbia ,40,48,1.20
12,Campbell ,56,67,1.20
13,New Mexico St. ,53,58,1.09
14,Florida St. ,70,76,1.09
15,Arizona St. ,61,66,1.08
15,Georgia ,61,66,1.08
17,Wichita St. ,55,59,1.07
18,Fordham ,56,59,1.05
19,UCLA ,65,68,1.05
20,North Texas ,52,54,1.04
20,Pittsburgh ,52,54,1.04
22,Ball St. ,56,57,1.02
22,Furman ,56,57,1.02
24,BYU ,58,59,1.02
25,Oklahoma St. ,61,62,1.02
26,Ohio ,57,57,1.00
26,Charleston So. ,56,56,1.00
26,Georgia Tech ,54,54,1.00
26,Boise St. ,56,56,1.00
30,South Carolina ,66,65,0.98
31,Missouri ,59,58,0.98
31,UNC Greensboro ,59,58,0.98
33,Virginia ,53,52,0.98
34,Kentucky ,56,54,0.96
35,South Dakota ,55,53,0.96
36,McNeese ,62,59,0.95
36,Washington ,62,59,0.95
38,Minnesota ,58,55,0.95
39,Arkansas ,59,55,0.93
40,Fresno St. ,54,50,0.93
41,Bradley ,50,46,0.92
42,Alabama ,56,51,0.91
43,Florida ,67,61,0.91
44,Illinois ,55,50,0.91
45,Ga. Southern ,53,48,0.91
46,Mississippi St. ,61,55,0.90
47,South Dakota St. ,55,49,0.89
48,Southern Ill. ,53,47,0.89
49,Austin Peay ,58,51,0.88
50,Southern Utah ,47,41,0.87
51,Nevada ,54,47,0.87
52,Towson ,61,53,0.87
53,Mercer ,52,45,0.87
54,Creighton ,43,37,0.86
55,Texas Tech ,59,50,0.85
56,Drexel ,52,44,0.85
56,Western Caro. ,52,44,0.85
58,Tennessee ,62,52,0.84
59,Georgia St. ,55,46,0.84
60,CSUN ,59,49,0.83
61,Kent St. ,52,43,0.83
62,Northwestern ,57,47,0.82
63,San Jose St. ,49,40,0.82
64,Loyola Marymount ,59,48,0.81
65,Monmouth ,48,39,0.81
66,Texas A&M ,62,50,0.81
67,Iowa St. ,56,45,0.80
67,Kennesaw St. ,56,45,0.80
69,Western Mich. ,54,43,0.80
69,Nebraska ,54,43,0.80
71,Utah Valley ,52,41,0.79
72,UTSA ,50,39,0.78
73,George Washington ,54,42,0.78
74,Tennessee Tech ,49,38,0.78
75,Michigan ,57,44,0.77
76,Binghamton ,42,32,0.76
77,Norfolk St. ,50,38,0.76
78,Toledo ,58,44,0.76
79,DePaul ,52,39,0.75
79,Kansas ,52,39,0.75
79,Dartmouth ,40,30,0.75
82,Radford ,55,41,0.75
