Rank,College,G,IP,R,ER,ERA
1,UCF ,59,408.0,75,54,0.93
2,Lehigh ,49,332.2,98,72,1.52
3,Kent St. ,54,361.0,110,80,1.55
4,Florida ,67,437.1,122,102,1.63
5,Michigan ,68,418.1,125,99,1.66
6,James Madison ,58,371.1,109,88,1.66
7,Fla. Atlantic ,59,402.2,144,105,1.83
8,Florida St. ,63,420.1,145,110,1.83
9,LSU ,66,421.2,151,111,1.84
10,Alabama ,63,409.0,138,112,1.92
11,Central Conn. St. ,45,308.0,112,85,1.93
12,SIUE ,59,400.0,145,116,2.03
13,Hofstra ,53,365.0,129,107,2.05
14,UC Riverside ,56,403.2,162,124,2.15
15,Western Ky. ,50,340.0,126,105,2.16
16,Georgia ,61,390.1,175,122,2.19
17,Oklahoma ,58,354.2,127,111,2.19
18,Dayton ,53,358.1,155,118,2.31
19,Minnesota ,60,382.1,168,129,2.36
20,Louisiana ,54,332.1,140,113,2.38
21,Drake ,53,346.1,151,119,2.41
22,Tulsa ,54,360.0,152,124,2.41
23,Oregon ,59,370.0,166,128,2.42
24,CSUN ,58,393.0,169,136,2.42
25,USC Upstate ,54,339.0,144,119,2.46
26,North Dakota St. ,56,360.1,152,128,2.49
27,South Fla. ,56,370.0,170,132,2.50
28,Fresno St. ,56,369.0,163,132,2.50
29,South Alabama ,53,348.0,160,125,2.51
30,Purdue ,56,372.0,164,134,2.52
31,Baylor ,58,384.2,165,140,2.55
32,IUPUI ,51,340.1,171,124,2.55
33,Hawaii ,54,359.1,185,134,2.61
34,NC State ,60,391.1,187,146,2.61
35,Jacksonville St. ,55,362.1,162,139,2.69
36,Marshall ,50,331.0,164,127,2.69
37,Louisville ,49,328.1,163,126,2.69
38,Towson ,57,359.1,193,139,2.71
39,Maine ,44,298.1,142,116,2.72
40,San Diego ,52,348.2,179,137,2.75
41,Akron ,51,344.1,194,136,2.76
42,Utah ,55,373.2,182,149,2.79
43,Kentucky ,58,392.2,181,157,2.80
44,McNeese ,56,379.1,197,152,2.80
45,Dartmouth ,43,279.1,136,113,2.83
46,UCLA ,63,406.2,196,165,2.84
47,Villanova ,54,364.1,184,148,2.84
48,Central Mich. ,50,341.0,194,139,2.85
49,Robert Morris ,48,310.2,190,127,2.86
50,Fordham ,58,381.2,194,157,2.88
51,Chattanooga ,50,330.1,192,137,2.90
52,Louisiana Tech ,50,334.1,180,139,2.91
53,Notre Dame ,57,359.0,181,150,2.92
54,Oakland ,51,341.0,198,143,2.94
55,Virginia Tech ,57,371.2,189,156,2.94
56,Jacksonville ,56,378.1,256,160,2.96
57,Campbell ,55,370.2,216,157,2.96
58,Texas ,55,361.0,188,153,2.97
59,Tennessee ,64,412.1,203,175,2.97
60,Cal Poly ,55,380.0,199,162,2.98
61,Northwestern St. ,54,349.1,199,149,2.99
62,Murray St. ,57,370.0,181,158,2.99
63,Lipscomb ,56,365.1,211,158,3.03
64,St. John's ,47,302.1,181,132,3.06
65,UTSA ,54,349.1,192,154,3.09
66,Furman ,56,395.2,203,175,3.10
67,Stony Brook ,47,315.2,173,141,3.13
68,Missouri ,58,373.0,229,168,3.15
69,Miami ,56,387.1,215,175,3.16
70,Western Caro. ,53,354.1,201,162,3.20
71,Delaware ,53,338.0,213,155,3.21
72,South Carolina ,60,398.1,231,183,3.22
73,Brown ,34,217.2,154,100,3.22
74,Boston College ,51,337.1,191,155,3.22
75,Penn ,42,279.2,183,129,3.23
76,Saint Francis ,50,326.0,187,151,3.24
77,Saint Louis ,54,358.2,223,167,3.26
78,Harvard ,44,294.0,163,137,3.26
79,La Salle ,37,245.0,165,115,3.29
80,Marist ,54,370.1,224,174,3.29
81,North Carolina ,53,335.1,190,158,3.30
82,Charlotte ,51,338.2,192,160,3.31
83,Central Ark. ,56,359.2,208,170,3.31
84,Weber St. ,57,366.0,226,173,3.31
85,BYU ,54,350.1,195,167,3.34
86,Northern Ill. ,53,357.2,222,171,3.35
87,Sacred Heart ,44,291.0,178,141,3.39
88,Coastal Carolina ,57,363.2,209,177,3.41
89,Bowling Green ,48,315.0,208,154,3.42
90,UIC ,46,308.1,195,151,3.43
91,A&M-Corpus Christi ,49,333.2,210,164,3.44
92,Princeton ,42,274.1,160,135,3.44
93,Texas A&M ,60,396.0,222,195,3.45
94,Troy ,55,356.0,231,176,3.46
95,Colgate ,38,246.0,172,122,3.47
96,Manhattan ,46,304.1,177,151,3.47
97,Long Beach St. ,52,352.0,219,175,3.48
98,Missouri St. ,55,368.0,234,183,3.48
99,Mercer ,59,387.2,227,194,3.50
100,Drexel ,42,273.0,195,137,3.51
101,Houston ,55,362.1,234,184,3.55
102,Albany ,48,314.0,199,161,3.59
103,Auburn ,67,431.0,247,221,3.59
104,Creighton ,43,281.2,180,146,3.63
105,Kansas ,55,364.0,210,189,3.63
106,LMU ,54,349.2,232,182,3.64
107,UNCW ,46,305.1,204,159,3.65
108,Liberty ,59,389.2,275,203,3.65
109,Hampton ,48,303.0,210,158,3.65
110,Columbia ,44,286.2,196,150,3.66
111,Wagner ,34,215.0,168,113,3.68
112,Cal St. Fullerton ,56,371.0,228,195,3.68
113,Elon ,53,346.0,235,182,3.68
114,Tennessee Tech ,61,402.2,258,213,3.70
115,North Florida ,59,389.2,257,207,3.72
116,Texas St. ,53,349.2,205,186,3.72
117,Morehead St. ,46,293.0,213,156,3.73
118,Winthrop ,51,341.2,231,183,3.75
119,Mississippi St. ,57,376.1,253,202,3.76
120,Presbyterian ,50,324.1,212,175,3.78
121,Canisius ,45,287.0,187,155,3.78
122,Southern U. ,30,201.2,143,109,3.78
123,George Mason ,52,351.1,255,190,3.79
124,UMBC ,49,314.2,214,171,3.80
125,Sacramento St. ,54,367.1,244,201,3.83
126,Cleveland St. ,52,340.1,232,187,3.85
127,Bucknell ,55,362.2,236,200,3.86
128,Wichita St. ,57,376.2,255,208,3.87
129,Texas Southern ,43,281.1,209,156,3.88
130,Charleston So. ,59,380.1,258,211,3.88
131,San Diego St. ,58,387.0,275,215,3.89
132,FIU ,54,345.1,224,192,3.89
133,Longwood ,59,379.0,245,211,3.90
134,Bethune-Cookman ,51,330.1,233,184,3.90
135,Idaho St. ,52,326.0,206,183,3.93
136,Kennesaw St. ,51,341.2,233,192,3.93
137,San Jose St. ,56,352.0,240,198,3.94
138,Siena ,49,316.0,232,178,3.94
139,FGCU ,53,342.0,268,193,3.95
140,California ,57,363.0,230,205,3.95
141,UT Martin ,50,324.0,214,183,3.95
142,George Washington ,48,308.1,223,175,3.97
143,Norfolk St. ,41,262.1,231,149,3.98
144,La.-Monroe ,52,338.1,242,193,3.99
145,Colorado St. ,56,366.0,283,209,4.00
146,Pittsburgh ,59,393.2,260,228,4.05
147,Fairfield ,49,332.1,222,193,4.07
148,Army West Point ,51,349.1,258,203,4.07
149,Col. of Charleston ,53,335.1,249,195,4.07
150,Eastern Ky. ,52,337.1,232,197,4.09
151,Stetson ,50,312.2,202,183,4.10
152,Fairleigh Dickinson ,36,237.1,169,139,4.10
153,UNI ,50,326.0,240,191,4.10
154,New Mexico ,54,362.1,270,213,4.11
