Rank,College,G,W-L,HR,PG
160,Mississippi St. ,60,39-21,34,0.57
161,Ole Miss ,53,22-31,30,0.57
162,Chattanooga ,55,34-21,31,0.56
162,Murray St. ,55,32-23,31,0.56
164,Fresno St. ,52,31-21,29,0.56
165,Troy ,54,22-30-2,30,0.56
165,UT Arlington ,54,21-33,30,0.56
167,Seton Hall ,49,15-34,27,0.55
167,Oregon St. ,49,18-31,27,0.55
169,Western Mich. ,51,17-34,28,0.55
170,Indiana St. ,53,27-26,29,0.55
171,UT Martin ,55,27-27-1,30,0.55
172,Grambling ,35,11-24,19,0.54
173,Morehead St. ,52,15-36-1,28,0.54
174,Akron ,43,27-16,23,0.53
175,Stanford ,55,30-25,29,0.53
176,Indiana ,57,17-39-1,30,0.53
176,McNeese ,57,40-17,30,0.53
178,Saint Joseph's ,42,22-20,22,0.52
179,Southeastern La. ,48,19-29,25,0.52
180,Saint Peter's ,52,10-42,27,0.52
180,Delaware St. ,52,35-17,27,0.52
182,Longwood ,56,40-16,29,0.52
183,Western Ky. ,58,33-24-1,30,0.52
184,Green Bay ,41,27-14,21,0.51
185,Colgate ,43,13-30,22,0.51
186,Appalachian St. ,51,19-32,26,0.51
187,Savannah St. ,46,25-21,23,0.50
187,Georgetown ,48,26-22,24,0.50
187,San Jose St. ,54,30-24,27,0.50
190,Northern Ill. ,57,26-31,28,0.49
191,Iowa ,47,16-30-1,23,0.49
192,UC Santa Barbara ,54,34-20,26,0.48
192,UC Davis ,54,21-33,26,0.48
194,A&M-Corpus Christi ,52,16-36,25,0.48
195,Santa Clara ,44,10-34,21,0.48
196,UCF ,61,43-18,29,0.48
197,Coppin St. ,40,13-27,19,0.48
198,Virginia ,51,8-43,24,0.47
199,South Dakota St. ,47,11-36,22,0.47
200,Central Conn. St. ,45,29-16,21,0.47
201,Oklahoma St. ,54,26-28,25,0.46
202,Lehigh ,50,30-20,23,0.46
203,Ark.-Pine Bluff ,46,9-37,21,0.46
204,North Florida ,49,26-23,22,0.45
205,Saint Mary's ,50,23-27,22,0.44
206,Maryland ,46,11-35,20,0.43
207,N.C. A&T ,44,16-28,19,0.43
208,UConn ,51,13-38,22,0.43
209,Detroit Mercy ,49,7-42,21,0.43
209,UMKC ,56,20-36,24,0.43
211,Alcorn ,47,8-39,20,0.43
212,North Dakota ,45,6-39,19,0.42
213,Miami ,50,22-28,21,0.42
214,Texas Southern ,51,31-20,21,0.41
215,Harvard ,44,28-15-1,18,0.41
216,Michigan St. ,49,12-37,20,0.41
217,Providence ,35,6-29,14,0.40
217,Missouri St. ,55,28-27,22,0.40
219,Charleston So. ,61,27-33-1,24,0.39
220,Memphis ,56,23-33,22,0.39
221,Wright St. ,51,19-32,20,0.39
222,Robert Morris ,49,24-25,19,0.39
223,Portland St. ,44,8-36,17,0.39
224,Austin Peay ,52,20-32,20,0.38
224,Cal Poly ,52,33-19,20,0.38
224,UNCW ,52,18-34,20,0.38
227,Middle Tenn. ,55,10-45,21,0.38
228,Pacific ,48,20-28,18,0.38
228,Col. of Charleston ,56,40-16,21,0.38
228,Western Ill. ,48,19-28-1,18,0.38
231,Boston U. ,57,36-21,21,0.37
232,Bucknell ,49,23-26,18,0.37
233,Howard ,41,4-37,15,0.37
234,Rider ,47,6-41,17,0.36
235,George Washington ,50,18-31-1,18,0.36
236,Toledo ,53,19-34,19,0.36
237,Prairie View ,42,13-29,15,0.36
238,UC Riverside ,54,23-31,19,0.35
239,CSUN ,57,31-26,20,0.35
240,Monmouth ,43,22-21,15,0.35
240,Princeton ,43,17-26,15,0.35
242,Hampton ,49,29-20,17,0.35
243,Butler ,52,24-28,18,0.35
243,Louisiana Tech ,52,19-33,18,0.35
245,Fairfield ,42,20-22,14,0.33
245,Sacred Heart ,42,12-30,14,0.33
245,Niagara ,48,18-30,16,0.33
245,Fairleigh Dickinson ,42,21-21,14,0.33
249,Gardner-Webb ,52,16-36,17,0.33
250,Maine ,37,18-19,12,0.32
251,Eastern Mich. ,50,13-37,16,0.32
252,Drexel ,44,17-27,14,0.32
253,Canisius ,48,18-30,15,0.31
253,Delaware ,48,23-25,15,0.31
255,Siena ,55,29-26,17,0.31
256,Belmont ,49,13-36,15,0.31
257,Kennesaw St. ,53,24-29,16,0.30
257,SIUE ,53,30-23,16,0.30
257,Southern Miss. ,53,22-31,16,0.30
260,San Diego ,47,26-21,14,0.30
261,N.C. Central ,44,9-35,13,0.30
262,Yale ,41,8-33,12,0.29
263,Mount St. Mary's ,44,19-24-1,12,0.27
264,Penn St. ,49,14-35,13,0.27
265,Florida A&M ,53,24-29,14,0.26
265,Western Caro. ,53,19-34,14,0.26
267,Holy Cross ,38,12-26,10,0.26
267,Brown ,38,4-34,10,0.26
269,Sacramento St. ,46,25-21,12,0.26
270,Army West Point ,51,23-28,13,0.25
271,St. Bonaventure ,40,7-33,10,0.25
271,Villanova ,52,18-34,13,0.25
271,LIU Brooklyn ,56,22-34,14,0.25
271,Southern U. ,48,11-37,12,0.25
275,Nicholls St. ,53,19-34,13,0.25
276,Hartford ,38,8-30,9,0.24
277,Fla. Atlantic ,55,33-22,12,0.22
278,Tennessee St. ,56,18-38,12,0.21
278,Bethune-Cookman ,56,25-31,12,0.21
280,UMES ,47,7-40,10,0.21
281,George Mason ,43,22-21,9,0.21
282,Oakland ,39,16-23,8,0.21
283,Jackson St. ,57,28-29,11,0.19
284,South Carolina St. ,38,10-28,7,0.18
285,Lafayette ,42,10-32,7,0.17
286,Mississippi Val. ,49,14-35,8,0.16
287,Rhode Island ,46,13-32-1,7,0.15
288,CSU Bakersfield ,56,15-40-1,8,0.14
289,Alabama A&M ,44,11-33,4,0.09
