Rank,College,G,AB,TB,SLG PCT
1,Oklahoma ,62,"1,592",847,0.532
2,Boise St. ,56,"1,582",841,0.532
3,James Madison ,57,"1,521",805,0.529
4,Georgia ,61,"1,609",846,0.526
5,Oregon ,63,"1,666",873,0.524
6,UCLA ,65,"1,742",906,0.520
7,Columbia ,40,"1,133",573,0.506
8,New Mexico St. ,53,"1,426",721,0.506
9,Hofstra ,55,"1,494",754,0.505
10,Florida St. ,70,"1,798",904,0.503
11,Towson ,61,"1,595",798,0.500
12,South Dakota St. ,55,"1,527",755,0.494
13,Arizona ,59,"1,548",765,0.494
14,George Washington ,54,"1,504",741,0.493
15,Saint Francis ,58,"1,502",736,0.490
16,Washington ,62,"1,662",814,0.490
17,Illinois ,55,"1,552",758,0.488
18,St. John's ,50,"1,393",680,0.488
19,Eastern Ky. ,66,"1,700",821,0.483
20,Fresno St. ,54,"1,346",650,0.483
21,Oklahoma St. ,61,"1,648",791,0.480
22,Creighton ,43,"1,120",534,0.477
23,BYU ,58,"1,483",706,0.476
24,Ohio St. ,52,"1,385",655,0.473
25,Arizona St. ,61,"1,597",753,0.472
26,Mississippi St. ,61,"1,621",764,0.471
27,Campbell ,56,"1,447",679,0.469
28,Kentucky ,56,"1,462",686,0.469
29,Grand Canyon ,59,"1,648",768,0.466
30,Kent St. ,52,"1,437",669,0.466
31,Gardner-Webb ,58,"1,498",697,0.465
32,Florida ,67,"1,610",749,0.465
33,Drexel ,52,"1,432",665,0.464
34,McNeese ,62,"1,585",734,0.463
35,Ohio ,57,"1,550",716,0.462
36,Texas Tech ,59,"1,618",746,0.461
37,Coastal Caro. ,54,"1,330",611,0.459
38,Minnesota ,58,"1,567",719,0.459
39,Wichita St. ,55,"1,456",667,0.458
40,South Dakota ,55,"1,454",665,0.457
41,Missouri ,59,"1,574",719,0.457
42,South Carolina ,66,"1,659",755,0.455
43,Northwestern ,57,"1,517",690,0.455
44,Nevada ,54,"1,550",705,0.455
45,Charleston So. ,56,"1,403",638,0.455
46,Ball St. ,56,"1,462",663,0.453
47,Tennessee ,62,"1,658",751,0.453
48,Michigan ,57,"1,494",674,0.451
49,Nicholls St. ,55,"1,513",682,0.451
50,Kennesaw St. ,56,"1,468",660,0.450
51,Texas A&M ,62,"1,586",713,0.450
52,Baylor ,56,"1,492",670,0.449
53,Alabama A&M ,43,"1,115",500,0.448
54,Liberty ,63,"1,695",759,0.448
55,UNC Greensboro ,59,"1,522",681,0.447
56,Fordham ,56,"1,477",660,0.447
57,Bradley ,50,"1,344",600,0.446
58,Long Beach St. ,57,"1,591",706,0.444
59,Southern Utah ,47,"1,139",505,0.443
60,North Texas ,52,"1,362",603,0.443
61,Arkansas ,59,"1,554",688,0.443
62,Pittsburgh ,52,"1,355",594,0.438
63,Alabama ,56,"1,387",608,0.438
64,Virginia ,53,"1,420",621,0.437
65,Massachusetts ,49,"1,338",585,0.437
66,Furman ,56,"1,428",622,0.436
67,Colorado St. ,50,"1,371",597,0.435
68,Western Ky. ,54,"1,417",615,0.434
69,San Jose St. ,49,"1,282",556,0.434
70,Georgia St. ,55,"1,542",666,0.432
71,Western Mich. ,54,"1,519",655,0.431
72,Mercer ,52,"1,376",593,0.431
73,Quinnipiac ,51,"1,319",563,0.427
74,Auburn ,58,"1,490",634,0.426
75,UTEP ,54,"1,418",602,0.425
76,Kansas ,52,"1,382",586,0.424
77,Southeast Mo. St. ,53,"1,349",572,0.424
78,Bowling Green ,52,"1,373",582,0.424
79,Utah Valley ,52,"1,422",602,0.423
80,Monmouth ,48,"1,290",546,0.423
81,Bucknell ,51,"1,352",572,0.423
82,DePaul ,52,"1,381",583,0.422
83,Binghamton ,42,"1,147",483,0.421
84,Ga. Southern ,53,"1,454",612,0.421
85,South Fla. ,62,"1,516",638,0.421
86,Memphis ,58,"1,520",637,0.419
87,Villanova ,53,"1,389",580,0.418
88,Southern Ill. ,53,"1,421",591,0.416
89,Alabama St. ,54,"1,390",578,0.416
90,Nebraska ,54,"1,396",580,0.415
91,Louisville ,53,"1,445",600,0.415
92,Austin Peay ,58,"1,529",634,0.415
93,Middle Tenn. ,61,"1,587",658,0.415
94,Southern U. ,40,"1,023",422,0.413
95,CSUN ,59,"1,536",632,0.411
96,Loyola Marymount ,59,"1,510",621,0.411
97,Longwood ,54,"1,490",612,0.411
98,Boston U. ,59,"1,612",662,0.411
99,Harvard ,41,"1,096",450,0.411
100,USC Upstate ,54,"1,385",568,0.410
101,Michigan St. ,52,"1,342",549,0.409
101,Notre Dame ,57,"1,452",594,0.409
103,Weber St. ,54,"1,443",590,0.409
104,Youngstown St. ,51,"1,358",555,0.409
105,Texas St. ,59,"1,527",623,0.408
106,Utah St. ,52,"1,398",570,0.408
107,Radford ,55,"1,506",612,0.406
108,Penn ,37,"1,019",414,0.406
109,Northwestern St. ,53,"1,364",554,0.406
110,SIUE ,46,"1,146",465,0.406
111,Northern Ill. ,56,"1,447",586,0.405
