Rank,College,G,DP,PG
1,Auburn ,61,47,0.77
2,Utah ,53,34,0.64
3,UTEP ,48,30,0.63
3,Utah Valley ,40,25,0.63
5,Houston Baptist ,43,26,0.60
6,Boise St. ,53,32,0.60
7,UC Riverside ,52,31,0.60
8,Omaha ,45,26,0.58
9,Weber St. ,60,34,0.57
10,Campbell ,58,32,0.55
11,Iowa ,51,27,0.53
12,CSU Bakersfield ,45,23,0.51
13,Western Caro. ,48,24,0.50
13,UAB ,54,27,0.50
13,Colorado St. ,50,25,0.50
16,Oklahoma St. ,63,31,0.49
17,Indiana St. ,53,26,0.49
18,Central Conn. St. ,39,19,0.49
19,Col. of Charleston ,56,27,0.48
20,Virginia Tech ,53,25,0.47
21,Valparaiso ,51,24,0.47
22,Louisiana Tech ,62,29,0.47
23,North Florida ,58,27,0.47
24,South Fla. ,56,26,0.46
24,San Jose St. ,56,26,0.46
26,Samford ,61,28,0.46
26,FIU ,61,28,0.46
28,Western Ky. ,62,28,0.45
29,UT Arlington ,60,27,0.45
30,Pittsburgh ,47,21,0.45
31,Hampton ,45,20,0.44
31,Pacific ,54,24,0.44
31,Ole Miss ,63,28,0.44
34,Illinois St. ,57,25,0.44
35,CSUN ,53,23,0.43
36,Missouri St. ,49,21,0.43
36,Purdue ,56,24,0.43
36,Murray St. ,56,24,0.43
39,UC Davis ,54,23,0.43
40,Detroit Mercy ,52,22,0.42
41,Manhattan ,55,23,0.42
42,Central Ark. ,60,25,0.42
43,Troy ,54,22,0.41
43,New Mexico St. ,54,22,0.41
43,Northern Ill. ,54,22,0.41
46,South Carolina ,59,24,0.41
47,Stetson ,47,19,0.40
48,Wright St. ,52,21,0.40
48,UCF ,52,21,0.40
50,Notre Dame ,57,23,0.40
51,Texas A&M ,60,24,0.40
51,Kansas City ,55,22,0.40
51,Towson ,50,20,0.40
51,UNC Greensboro ,55,22,0.40
55,Southern Miss. ,53,21,0.40
55,Georgia Tech ,53,21,0.40
57,Austin Peay ,48,19,0.40
58,Saint Francis ,61,24,0.39
58,North Carolina ,61,24,0.39
60,UNCW ,56,22,0.39
61,Northwestern ,54,21,0.39
62,San Diego St. ,49,19,0.39
62,Tennessee St. ,49,19,0.39
64,Oregon ,62,24,0.39
65,Alabama St. ,57,22,0.39
66,UMBC ,52,20,0.38
66,Butler ,52,20,0.38
68,Nebraska ,53,20,0.38
69,Florida St. ,64,24,0.38
69,Seton Hall ,48,18,0.38
71,Utah St. ,51,19,0.37
72,Hartford ,49,18,0.37
73,Wichita St. ,52,19,0.37
73,Central Mich. ,52,19,0.37
73,Seattle U ,52,19,0.37
76,UCLA ,63,23,0.37
77,Jacksonville ,55,20,0.36
78,Iowa St. ,58,21,0.36
78,Kentucky ,58,21,0.36
80,Washington ,64,23,0.36
81,Elon ,53,19,0.36
82,California ,56,20,0.36
82,Fla. Atlantic ,56,20,0.36
82,NC State ,56,20,0.36
85,Virginia ,54,19,0.35
86,Missouri ,57,20,0.35
87,Idaho St. ,46,16,0.35
87,Morgan St. ,46,16,0.35
89,Wisconsin ,52,18,0.35
89,Hawaii ,52,18,0.35
89,George Washington ,52,18,0.35
89,Northern Ky. ,52,18,0.35
93,Chattanooga ,55,19,0.35
94,Colgate ,44,15,0.34
95,Binghamton ,47,16,0.34
96,Arizona St. ,53,18,0.34
96,Miami ,53,18,0.34
98,Illinois ,59,20,0.34
99,Akron ,57,19,0.33
99,Brown ,45,15,0.33
99,Stanford ,51,17,0.33
99,Eastern Mich. ,51,17,0.33
103,UIC ,61,20,0.33
104,Toledo ,58,19,0.33
104,Mississippi St. ,58,19,0.33
104,Tulsa ,58,19,0.33
107,Buffalo ,55,18,0.33
107,North Dakota ,55,18,0.33
107,Radford ,55,18,0.33
110,Robert Morris ,52,17,0.33
111,Tennessee Tech ,46,15,0.33
112,UT Martin ,59,19,0.32
113,Loyola Chicago ,53,17,0.32
113,Bradley ,53,17,0.32
113,Ohio St. ,53,17,0.32
116,New Mexico ,50,16,0.32
117,Lafayette ,41,13,0.32
118,Army West Point ,57,18,0.32
119,Indiana ,54,17,0.31
119,Western Mich. ,54,17,0.31
121,LSU ,70,22,0.31
122,Rutgers ,51,16,0.31
123,Michigan St. ,58,18,0.31
124,Texas Tech ,55,17,0.31
124,Drake ,55,17,0.31
124,Oregon St. ,55,17,0.31
124,Villanova ,55,17,0.31
128,Norfolk St. ,36,11,0.31
129,Texas ,59,18,0.31
130,Bowling Green ,56,17,0.30
130,Memphis ,56,17,0.30
132,Kent St. ,63,19,0.30
133,Quinnipiac ,50,15,0.30
133,Louisville ,50,15,0.30
133,Hofstra ,50,15,0.30
133,Oklahoma ,70,21,0.30
137,Bethune-Cookman ,57,17,0.30
138,Alcorn ,47,14,0.30
139,IUPUI ,54,16,0.30
140,Rhode Island ,44,13,0.30
141,McNeese ,61,18,0.30
142,Mount St. Mary's ,51,15,0.29
143,Saint Mary's ,48,14,0.29
143,Liberty ,72,21,0.29
145,Arkansas ,55,16,0.29
146,Long Beach St. ,52,15,0.29
146,Coppin St. ,52,15,0.29
146,UNLV ,52,15,0.29
149,North Texas ,56,16,0.29
149,Green Bay ,35,10,0.29
151,Texas Southern ,46,13,0.28
152,Northwestern St. ,57,16,0.28
153,Sacramento St. ,50,14,0.28
153,Syracuse ,50,14,0.28
153,Gardner-Webb ,50,14,0.28
156,South Dakota St. ,54,15,0.28
156,SIUE ,54,15,0.28
158,USC Upstate ,58,16,0.28
158,Ball St. ,58,16,0.28
160,Providence ,48,13,0.27
160,Bryant ,48,13,0.27
160,A&M-Corpus Christi ,48,13,0.27
163,LIU ,52,14,0.27
164,Kennesaw St. ,60,16,0.27
164,Princeton ,45,12,0.27
166,Alabama ,64,17,0.27
167,Middle Tenn. ,49,13,0.27
167,Drexel ,49,13,0.27
169,Belmont ,57,15,0.26
170,Georgia St. ,61,16,0.26
171,Fairleigh Dickinson ,42,11,0.26
172,Southern Utah ,46,12,0.26
173,SFA ,50,13,0.26
173,Saint Louis ,50,13,0.26
175,Southern U. ,39,10,0.26
176,Wagner ,47,12,0.26
176,Stony Brook ,47,12,0.26
178,South Alabama ,55,14,0.25
178,Houston ,55,14,0.25
178,Southeastern La. ,55,14,0.25
181,Cal Poly ,59,15,0.25
182,Boston U. ,52,13,0.25
182,BYU ,60,15,0.25
182,Florida A&M ,56,14,0.25
182,Lehigh ,56,14,0.25
182,Alabama A&M ,48,12,0.25
182,UNI ,52,13,0.25
182,Delaware St. ,48,12,0.25
189,Lamar University ,65,16,0.25
190,Arizona ,61,15,0.25
191,Michigan ,57,14,0.25
192,Delaware ,53,13,0.25
193,Portland St. ,45,11,0.24
194,South Carolina St. ,41,10,0.24
195,Marshall ,54,13,0.24
195,Furman ,54,13,0.24
195,Fairfield ,54,13,0.24
198,Creighton ,50,12,0.24
198,Southeast Mo. St. ,50,12,0.24
200,La.-Monroe ,63,15,0.24
201,Texas St. ,59,14,0.24
202,Louisiana ,55,13,0.24
203,Siena ,51,12,0.24
204,FGCU ,60,14,0.23
205,Holy Cross ,43,10,0.23
206,Longwood ,61,14,0.23
207,Purdue Fort Wayne ,48,11,0.23
207,Jackson St. ,48,11,0.23
209,Canisius ,53,12,0.23
209,UTSA ,53,12,0.23
211,Charleston So. ,62,14,0.23
212,Eastern Ill. ,49,11,0.22
213,Cal St. Fullerton ,58,13,0.22
213,Eastern Ky. ,58,13,0.22
215,Grambling ,45,10,0.22
215,Yale ,45,10,0.22
217,Marist ,59,13,0.22
218,Nevada ,55,12,0.22
219,Maine ,46,10,0.22
220,James Madison ,60,13,0.22
221,Maryland ,51,11,0.22
222,Dayton ,56,12,0.21
223,UMES ,38,8,0.21
224,Bucknell ,43,9,0.21
224,N.C. Central ,43,9,0.21
226,Evansville ,53,11,0.21
226,Boston College ,53,11,0.21
228,Winthrop ,58,12,0.21
229,Western Ill. ,54,11,0.20
230,Presbyterian ,50,10,0.20
230,Tennessee ,60,12,0.20
232,Sacred Heart ,51,10,0.20
233,San Diego ,46,9,0.20
234,Kansas ,52,10,0.19
235,Florida ,68,13,0.19
236,Jacksonville St. ,53,10,0.19
236,Saint Joseph's ,53,10,0.19
236,Ga. Southern ,53,10,0.19
239,Appalachian St. ,48,9,0.19
239,St. John's ,48,9,0.19
241,Montana ,59,11,0.19
242,South Dakota ,54,10,0.19
243,Ark.-Pine Bluff ,44,8,0.18
243,Northern Colo. ,55,10,0.18
245,Rider ,50,9,0.18
245,N.C. A&T ,50,9,0.18
247,George Mason ,56,10,0.18
248,Ohio ,62,11,0.18
248,North Dakota St. ,62,11,0.18
250,Sam Houston St. ,51,9,0.18
250,LMU ,51,9,0.18
252,Dartmouth ,40,7,0.18
253,Baylor ,63,11,0.17
253,Fordham ,63,11,0.17
255,UConn ,48,8,0.17
256,Minnesota ,61,10,0.16
257,Santa Clara ,49,8,0.16
257,St. Bonaventure ,49,8,0.16
259,Penn St. ,56,9,0.16
260,Nicholls St. ,57,9,0.16
260,Mercer ,57,9,0.16
262,Iona ,51,8,0.16
263,Niagara ,45,7,0.16
264,Georgia ,58,9,0.16
265,Oakland ,46,7,0.15
266,Massachusetts ,53,8,0.15
267,Albany ,47,7,0.15
268,Prairie View ,48,7,0.15
268,Columbia ,48,7,0.15
268,Georgetown ,48,7,0.15
271,Coastal Carolina ,55,8,0.15
272,East Carolina ,56,8,0.14
273,Youngstown St. ,59,8,0.14
274,Cleveland St. ,52,7,0.13
275,Howard ,38,5,0.13
276,ETSU ,55,7,0.13
277,Savannah St. ,40,5,0.13
277,Lipscomb ,56,7,0.13
277,Penn ,40,5,0.13
280,Fresno St. ,58,7,0.12
281,Charlotte ,53,6,0.11
282,La Salle ,47,5,0.11
283,Southern Ill. ,57,6,0.11
284,Morehead St. ,48,5,0.10
285,UC Santa Barbara ,59,6,0.10
286,Saint Peter's ,40,4,0.10
287,DePaul ,52,5,0.10
288,Cornell ,42,4,0.10
289,Harvard ,41,3,0.07
290,Monmouth ,56,4,0.07
291,Mississippi Val. ,46,3,0.07
