Rank,College,G,DP,PG
194,Providence ,45,11,0.24
194,Holy Cross ,45,11,0.24
196,Georgia Tech ,54,13,0.24
197,La Salle ,46,11,0.24
197,Presbyterian ,46,11,0.24
199,Bucknell ,51,12,0.24
199,LIU Brooklyn ,51,12,0.24
201,Pacific ,47,11,0.23
202,UMKC ,56,13,0.23
202,Furman ,56,13,0.23
204,Arizona St. ,61,14,0.23
205,Albany ,48,11,0.23
205,Western Ill. ,48,11,0.23
207,North Dakota ,53,12,0.23
208,Washington ,62,14,0.23
208,Oklahoma ,62,14,0.23
210,Cornell ,40,9,0.23
211,Miami ,49,11,0.22
211,Niagara ,49,11,0.22
213,Saint Francis ,58,13,0.22
214,Texas ,59,13,0.22
215,Eastern Mich. ,50,11,0.22
216,Stanford ,55,12,0.22
217,ETSU ,46,10,0.22
218,Omaha ,51,11,0.22
218,Sacramento St. ,51,11,0.22
220,FGCU ,56,12,0.21
220,Northern Colo. ,56,12,0.21
220,South Alabama ,56,12,0.21
223,Maine ,47,10,0.21
224,DePaul ,52,11,0.21
225,James Madison ,57,12,0.21
225,Drake ,57,12,0.21
227,South Fla. ,62,13,0.21
228,Texas Southern ,43,9,0.21
228,Creighton ,43,9,0.21
230,Akron ,48,10,0.21
231,Toledo ,58,12,0.21
232,Coastal Caro. ,54,11,0.20
232,Alabama St. ,54,11,0.20
234,Arizona ,59,12,0.20
234,Texas St. ,59,12,0.20
234,Tulsa ,59,12,0.20
237,Syracuse ,50,10,0.20
237,East Carolina ,55,11,0.20
237,Jackson St. ,40,8,0.20
237,Belmont ,50,10,0.20
237,Southern U. ,40,8,0.20
242,Georgia ,61,12,0.20
243,Morehead St. ,51,10,0.20
244,Green Bay ,46,9,0.20
245,Drexel ,52,10,0.19
246,Fairleigh Dickinson ,43,8,0.19
247,IUPUI ,49,9,0.18
248,Oakland ,50,9,0.18
249,Baylor ,56,10,0.18
249,Duke ,56,10,0.18
249,Purdue ,56,10,0.18
252,Mississippi Val. ,45,8,0.18
253,Iona ,46,8,0.17
254,North Texas ,52,9,0.17
255,North Dakota St. ,53,9,0.17
255,Iowa ,53,9,0.17
255,Wright St. ,53,9,0.17
258,Arkansas ,59,10,0.17
259,Western Mich. ,54,9,0.17
260,UConn ,55,9,0.16
261,Incarnate Word ,49,8,0.16
262,Sacred Heart ,56,9,0.16
262,Ball St. ,56,9,0.16
262,Dayton ,56,9,0.16
265,Penn St. ,50,8,0.16
266,Ohio ,57,9,0.16
267,Bryant ,45,7,0.16
268,Austin Peay ,58,9,0.16
268,Gardner-Webb ,58,9,0.16
270,SIUE ,46,7,0.15
271,Montana ,55,8,0.15
271,Nicholls St. ,55,8,0.15
273,Evansville ,49,7,0.14
273,Saint Mary's ,49,7,0.14
273,St. Bonaventure ,42,6,0.14
273,Fordham ,56,8,0.14
277,Michigan ,57,8,0.14
277,Sam Houston St. ,57,8,0.14
279,George Mason ,50,7,0.14
280,Wagner ,43,6,0.14
280,UMBC ,43,6,0.14
280,Prairie View ,43,6,0.14
283,Appalachian St. ,52,7,0.13
284,Howard ,45,6,0.13
285,Buffalo ,47,6,0.13
286,Indiana ,56,7,0.13
286,Coppin St. ,40,5,0.13
286,Dartmouth ,40,5,0.13
289,St. John's ,50,6,0.12
290,Georgetown ,52,6,0.12
290,Mercer ,52,6,0.12
292,Boston College ,53,6,0.11
293,Penn ,37,4,0.11
294,Tennessee Tech ,49,5,0.10
294,Alcorn ,49,5,0.10
296,UC Davis ,51,5,0.10
