Rank,College,G,AB,H,BA
1,Oklahoma ,63,"1,640",564,0.344
2,George Washington ,62,"1,706",582,0.341
3,UCLA ,62,"1,685",572,0.339
4,Virginia Tech ,58,"1,543",515,0.334
5,James Madison ,61,"1,621",539,0.333
6,Louisiana ,58,"1,466",484,0.330
6,Notre Dame ,55,"1,466",484,0.330
8,Florida St. ,65,"1,673",552,0.330
9,UIC ,55,"1,434",463,0.323
10,Colorado St. ,51,"1,391",447,0.321
11,Penn ,39,"1,067",342,0.321
12,Boise St. ,52,"1,432",458,0.320
13,Drexel ,60,"1,699",543,0.320
14,Texas Tech ,58,"1,512",483,0.319
15,Arizona ,62,"1,655",527,0.318
16,Arizona St. ,55,"1,370",436,0.318
17,UNLV ,50,"1,364",428,0.314
18,Michigan ,58,"1,582",496,0.314
19,Weber St. ,48,"1,240",386,0.311
20,Illinois ,58,"1,581",492,0.311
21,UT Arlington ,63,"1,708",528,0.309
22,Seattle U ,57,"1,543",476,0.308
23,Fresno St. ,57,"1,455",448,0.308
24,USC Upstate ,56,"1,427",438,0.307
25,South Carolina ,57,"1,505",460,0.306
26,Fordham ,55,"1,528",467,0.306
27,Louisiana Tech ,61,"1,575",480,0.305
28,Hofstra ,47,"1,297",395,0.305
29,North Dakota St. ,58,"1,522",462,0.304
30,Prairie View ,47,"1,252",380,0.304
31,LSU ,62,"1,595",484,0.303
32,Kentucky ,60,"1,580",479,0.303
33,Alabama St. ,49,"1,333",404,0.303
34,Texas ,63,"1,610",487,0.302
35,Loyola Chicago ,50,"1,333",403,0.302
36,Southern Ill. ,49,"1,267",383,0.302
37,Tennessee ,60,"1,548",467,0.302
38,Southeastern La. ,57,"1,545",465,0.301
39,Southeast Mo. St. ,64,"1,667",501,0.301
40,Mount St. Mary's ,54,"1,475",443,0.300
41,Gardner-Webb ,54,"1,386",412,0.297
42,Washington ,61,"1,643",488,0.297
43,Long Beach St. ,50,"1,367",406,0.297
44,LIU Brooklyn ,54,"1,492",443,0.297
45,Ohio St. ,53,"1,454",430,0.296
46,Mississippi St. ,58,"1,542",456,0.296
47,Georgia ,61,"1,580",467,0.296
48,Ohio ,55,"1,533",453,0.295
49,Bradley ,50,"1,327",391,0.295
50,Saint Louis ,52,"1,386",408,0.294
51,Massachusetts ,48,"1,339",394,0.294
52,Chattanooga ,54,"1,434",420,0.293
53,Eastern Ky. ,57,"1,527",447,0.293
54,Portland St. ,51,"1,447",423,0.292
55,Central Ark. ,54,"1,432",418,0.292
56,Oakland ,51,"1,446",422,0.292
57,South Alabama ,49,"1,333",388,0.291
58,Western Ky. ,50,"1,282",373,0.291
59,Austin Peay ,55,"1,503",437,0.291
60,Houston ,58,"1,487",432,0.291
61,Belmont ,54,"1,412",410,0.290
62,Fairfield ,50,"1,357",394,0.290
63,UAB ,50,"1,361",395,0.290
64,Stony Brook ,51,"1,364",395,0.290
65,Lehigh ,55,"1,496",433,0.289
66,Howard ,48,"1,300",376,0.289
67,Northern Ill. ,52,"1,358",392,0.289
68,Maryland ,51,"1,333",384,0.288
69,New Mexico St. ,55,"1,427",411,0.288
70,Arkansas ,58,"1,487",428,0.288
71,Saint Francis ,60,"1,672",480,0.287
72,South Dakota ,61,"1,653",473,0.286
73,Auburn ,60,"1,549",443,0.286
74,UTEP ,50,"1,294",370,0.286
75,Southern Miss. ,52,"1,351",386,0.286
75,Utah Valley ,46,"1,204",344,0.286
77,Campbell ,54,"1,432",409,0.286
78,Charlotte ,50,"1,313",375,0.286
79,Montana ,56,"1,528",436,0.285
80,St. John's ,48,"1,241",354,0.285
81,California ,55,"1,515",432,0.285
82,Oklahoma St. ,62,"1,610",459,0.285
83,Dartmouth ,40,"1,064",303,0.285
84,Cal St. Fullerton ,56,"1,435",408,0.284
85,Missouri ,60,"1,573",447,0.284
86,Minnesota ,60,"1,543",438,0.284
87,Bucknell ,52,"1,368",388,0.284
88,Alabama ,70,"1,799",510,0.283
89,Sacramento St. ,56,"1,546",438,0.283
90,Harvard ,44,"1,151",326,0.283
91,Jacksonville St. ,51,"1,374",389,0.283
92,North Carolina ,58,"1,459",412,0.282
93,Radford ,59,"1,612",455,0.282
94,Purdue ,63,"1,662",469,0.282
95,Yale ,43,"1,146",322,0.281
96,Lipscomb ,58,"1,534",431,0.281
97,Grand Canyon ,57,"1,492",419,0.281
98,Nevada ,56,"1,496",420,0.281
99,Louisville ,58,"1,525",428,0.281
100,Dayton ,51,"1,341",376,0.280
101,Wichita St. ,56,"1,459",409,0.280
102,UMKC ,56,"1,521",426,0.280
103,Kent St. ,54,"1,418",397,0.280
104,Drake ,59,"1,463",409,0.280
105,Alcorn ,38,988,276,0.279
106,Creighton ,44,"1,136",317,0.279
107,DePaul ,51,"1,326",370,0.279
108,North Florida ,54,"1,406",392,0.279
109,Wagner ,44,"1,127",314,0.279
110,Indiana St. ,54,"1,487",414,0.278
111,Columbia ,45,"1,132",315,0.278
112,Mercer ,56,"1,477",411,0.278
113,BYU ,56,"1,470",409,0.278
114,UC Davis ,53,"1,375",382,0.278
115,Wisconsin ,57,"1,451",402,0.277
116,Seton Hall ,48,"1,264",350,0.277
117,Georgia Tech ,58,"1,514",419,0.277
118,UMBC ,54,"1,417",392,0.277
119,Missouri St. ,51,"1,349",373,0.277
120,North Texas ,54,"1,391",384,0.276
121,Utah ,54,"1,344",371,0.276
122,Liberty ,62,"1,587",438,0.276
