Rank,College,G,3B,PG
1,Louisville ,58,31,0.53
2,Stanford ,53,25,0.47
3,Ole Miss ,61,23,0.38
4,Southeast Mo. St. ,64,24,0.38
4,Hampton ,48,18,0.38
6,Gardner-Webb ,54,19,0.35
7,Dartmouth ,40,14,0.35
8,Bucknell ,52,18,0.35
9,Duke ,56,19,0.34
10,Boise St. ,52,17,0.33
11,Columbia ,45,14,0.31
12,George Washington ,62,19,0.31
13,Holy Cross ,49,15,0.31
14,Sacramento St. ,56,17,0.30
14,Montana ,56,17,0.30
16,Oklahoma ,63,19,0.30
17,Towson ,54,16,0.30
18,Colorado St. ,51,15,0.29
19,North Carolina ,58,17,0.29
20,Fresno St. ,57,16,0.28
21,Yale ,43,12,0.28
22,Florida St. ,65,18,0.28
23,CSU Bakersfield ,47,13,0.28
24,Texas Tech ,58,16,0.28
25,Iowa ,51,14,0.27
25,Central Mich. ,51,14,0.27
25,Delaware ,51,14,0.27
28,SIUE ,44,12,0.27
29,Seton Hall ,48,13,0.27
29,Weber St. ,48,13,0.27
31,Texas Southern ,52,14,0.27
32,Villanova ,53,14,0.26
32,Syracuse ,53,14,0.26
34,Loyola Chicago ,50,13,0.26
35,Utah ,54,14,0.26
35,Monmouth ,54,14,0.26
37,Houston ,58,15,0.26
38,Albany ,43,11,0.26
39,Furman ,51,13,0.25
39,Hartford ,51,13,0.25
41,Ohio ,55,14,0.25
42,Saint Francis ,60,15,0.25
42,Massachusetts ,48,12,0.25
44,Southeastern La. ,57,14,0.25
45,San Jose St. ,53,13,0.25
46,Alabama St. ,49,12,0.24
47,UNCW ,54,13,0.24
48,UNLV ,50,12,0.24
49,Delaware St. ,42,10,0.24
50,Ark.-Pine Bluff ,38,9,0.24
50,Alcorn ,38,9,0.24
52,Oakland ,51,12,0.24
52,Jacksonville St. ,51,12,0.24
54,Jackson St. ,47,11,0.23
55,Georgia ,61,14,0.23
56,Binghamton ,48,11,0.23
57,Saint Joseph's ,53,12,0.23
58,Western Ill. ,40,9,0.23
59,North Florida ,54,12,0.22
60,Longwood ,59,13,0.22
61,Charlotte ,50,11,0.22
61,Bradley ,50,11,0.22
63,Maine ,41,9,0.22
64,Arizona St. ,55,12,0.22
64,California ,55,12,0.22
64,Winthrop ,55,12,0.22
64,Memphis ,55,12,0.22
68,Morgan St. ,46,10,0.22
69,Missouri St. ,51,11,0.22
70,North Dakota ,56,12,0.21
70,South Dakota St. ,56,12,0.21
70,UMKC ,56,12,0.21
73,Prairie View ,47,10,0.21
74,Nebraska ,52,11,0.21
74,Saint Louis ,52,11,0.21
76,Seattle U ,57,12,0.21
77,UCLA ,62,13,0.21
78,Ohio St. ,53,11,0.21
79,Texas ,63,13,0.21
80,Campbell ,54,11,0.20
80,UMBC ,54,11,0.20
80,LIU Brooklyn ,54,11,0.20
83,Marshall ,64,13,0.20
84,Michigan St. ,50,10,0.20
84,Minnesota ,60,12,0.20
84,Bryant ,45,9,0.20
84,Auburn ,60,12,0.20
84,UIC ,55,11,0.20
89,South Dakota ,61,12,0.20
90,Cal St. Fullerton ,56,11,0.20
91,Maryland ,51,10,0.20
91,Portland St. ,51,10,0.20
91,Miami ,51,10,0.20
91,FGCU ,51,10,0.20
95,Florida ,67,13,0.19
96,Liberty ,62,12,0.19
97,UC Santa Barbara ,52,10,0.19
98,Lipscomb ,58,11,0.19
99,UC Davis ,53,10,0.19
99,Florida A&M ,53,10,0.19
101,Howard ,48,9,0.19
102,Belmont ,54,10,0.19
103,Kentucky ,60,11,0.18
104,Abilene Christian ,44,8,0.18
104,UCF ,55,10,0.18
106,Manhattan ,50,9,0.18
107,Nicholls St. ,56,10,0.18
107,Col. of Charleston ,56,10,0.18
109,Northwestern St. ,57,10,0.18
109,Boston U. ,57,10,0.18
111,UTSA ,52,9,0.17
112,NC State ,58,10,0.17
113,Alabama ,70,12,0.17
114,Boston College ,53,9,0.17
115,Detroit Mercy ,59,10,0.17
116,Mount St. Mary's ,54,9,0.17
116,Tennessee ,60,10,0.17
116,Indiana St. ,54,9,0.17
119,Austin Peay ,55,9,0.16
119,Lehigh ,55,9,0.16
119,Kennesaw St. ,55,9,0.16
122,Cleveland St. ,49,8,0.16
123,Iowa St. ,62,10,0.16
124,Wichita St. ,56,9,0.16
124,Penn St. ,56,9,0.16
126,Fairfield ,50,8,0.16
126,Western Ky. ,50,8,0.16
126,UAB ,50,8,0.16
126,Santa Clara ,50,8,0.16
130,Harvard ,44,7,0.16
131,Wisconsin ,57,9,0.16
132,FIU ,51,8,0.16
132,Bowling Green ,51,8,0.16
134,Canisius ,45,7,0.16
134,St. Bonaventure ,45,7,0.16
136,North Dakota St. ,58,9,0.16
