Rank,College,GS,IP,HB
1,UMass Lowell ,0,322,8
2,Indiana ,0,384,9
3,Boston U. ,0,381,11
3,Marist ,0,383,11
5,Hartford ,0,323,12
5,California ,0,364,12
7,Auburn ,0,388,13
8,Houston ,0,380,14
8,Massachusetts ,0,323,14
8,Ark.-Pine Bluff ,0,217,14
8,Louisiana ,0,374,14
8,La.-Monroe ,0,353,14
8,Southern U. ,0,228,14
8,Fairfield ,0,333,14
8,Oklahoma ,0,399,14
16,Sam Houston St. ,0,391,15
16,UNI ,0,337,15
16,Cleveland St. ,0,323,15
19,Nicholls St. ,0,372,16
19,Stony Brook ,0,339,16
19,Green Bay ,0,266,16
19,Western Ill. ,0,273,16
19,Coppin St. ,0,246,16
19,Hawaii ,0,327,16
19,BYU ,0,360,16
19,Loyola Chicago ,0,323,16
19,Texas St. ,0,353,16
19,Savannah St. ,0,236,16
19,Princeton ,0,248,16
19,Penn St. ,0,362,16
31,IUPUI ,0,360,17
31,Grambling ,0,238,17
31,George Washington ,0,412,17
31,UConn ,0,326,17
31,Morgan St. ,0,288,17
36,Butler ,0,316,18
36,Weber St. ,0,306,18
36,Western Ky. ,0,327,18
36,Maine ,0,268,18
36,Manhattan ,0,323,18
36,Norfolk St. ,0,304,18
36,Oakland ,0,338,18
36,Penn ,0,257,18
36,San Jose St. ,0,362,18
36,Belmont ,0,342,18
36,Lipscomb ,0,397,18
47,Albany ,0,304,19
47,Appalachian St. ,0,380,19
47,Baylor ,0,326,19
47,Buffalo ,0,270,19
47,FGCU ,0,357,19
47,Northern Ill. ,0,341,19
47,Missouri St. ,0,338,19
47,UTSA ,0,332,19
47,Utah ,0,332,19
47,North Texas ,0,352,19
57,Colorado St. ,0,332,20
57,George Mason ,0,325,20
57,Georgia St. ,0,341,20
57,Delaware St. ,0,261,20
57,Delaware ,0,334,20
57,Wagner ,0,271,20
57,SFA ,0,410,20
57,Notre Dame ,0,352,20
57,Oregon St. ,0,291,20
57,Rhode Island ,0,300,20
57,Sacramento St. ,0,386,20
57,Saint Louis ,0,325,20
57,Mount St. Mary's ,0,341,20
70,Austin Peay ,0,360,21
70,Illinois St. ,0,321,21
70,Western Mich. ,0,311,21
70,Northern Colo. ,0,340,21
70,South Carolina St. ,0,182,21
70,N.C. A&T ,0,242,21
76,Arizona ,0,400,22
76,Tennessee St. ,0,278,22
76,Purdue Fort Wayne ,0,315,22
76,Idaho St. ,0,310,22
76,Iona ,0,306,22
76,Drake ,0,378,22
76,ETSU ,0,327,22
76,Nebraska ,0,328,22
76,Portland St. ,0,343,22
76,Quinnipiac ,0,328,22
76,Prairie View ,0,307,22
76,Seton Hall ,0,317,22
76,Southern Ill. ,0,334,22
76,Tennessee ,0,387,22
76,Cal St. Fullerton ,0,372,22
91,Cal Poly ,0,332,23
91,Elon ,0,354,23
91,McNeese ,0,459,23
91,Utah Valley ,0,285,23
91,Mississippi Val. ,0,243,23
91,Tennessee Tech ,0,296,23
91,Texas Southern ,0,339,23
91,Miami ,0,354,23
99,Alabama A&M ,0,279,24
99,Bradley ,0,318,24
99,Fla. Atlantic ,0,329,24
99,Lamar University ,0,381,24
99,Cornell ,0,275,24
99,Drexel ,0,388,24
99,Tulsa ,0,384,24
99,Wichita St. ,0,371,24
99,UMBC ,0,349,24
99,UMKC ,0,372,24
99,Murray St. ,0,351,24
99,Purdue ,0,412,24
99,Texas ,0,407,24
99,Washington ,0,418,24
113,Bucknell ,0,341,25
113,Brown ,0,258,25
113,Central Ark. ,0,347,25
113,Jackson St. ,0,284,25
113,Jacksonville ,0,344,25
113,Iowa ,0,327,25
113,Southeastern La. ,0,392,25
113,Wisconsin ,0,375,25
113,LMU ,0,423,25
113,Missouri ,0,390,25
113,UNCW ,0,351,25
113,UNC Greensboro ,0,374,25
113,Robert Morris ,0,319,25
113,Winthrop ,0,362,25
127,Bryant ,0,295,26
127,Ole Miss ,0,404,26
127,South Dakota St. ,0,371,26
127,St. John's ,0,317,26
127,Montana ,0,369,26
