Rank,College,G,AB,TB,SLG PCT
1,Arizona ,61,"1,555",901,0.579
2,Louisiana ,55,"1,455",817,0.562
3,James Madison ,60,"1,582",879,0.556
4,Florida St. ,64,"1,646",896,0.544
5,Minnesota ,61,"1,611",866,0.538
6,Michigan St. ,58,"1,526",797,0.522
7,UCLA ,63,"1,691",881,0.521
8,San Diego St. ,49,"1,396",720,0.516
9,BYU ,60,"1,492",768,0.515
10,New Mexico St. ,54,"1,444",724,0.501
11,Washington ,64,"1,701",843,0.496
12,Michigan ,57,"1,500",742,0.495
13,Texas A&M ,60,"1,488",729,0.490
14,Saint Francis ,61,"1,612",786,0.488
15,Jacksonville St. ,53,"1,455",691,0.475
16,Ohio St. ,53,"1,415",672,0.475
17,Utah St. ,51,"1,394",662,0.475
18,Fordham ,63,"1,670",793,0.475
19,Oklahoma ,70,"1,944",916,0.471
20,CSUN ,53,"1,382",650,0.470
21,Boise St. ,53,"1,480",695,0.470
22,Oregon ,62,"1,576",739,0.469
23,Utah Valley ,40,"1,077",505,0.469
24,Wichita St. ,52,"1,425",667,0.468
25,Arkansas ,55,"1,430",668,0.467
26,Illinois St. ,57,"1,541",718,0.466
27,IUPUI ,54,"1,506",699,0.464
28,Arizona St. ,53,"1,354",627,0.463
29,Seton Hall ,48,"1,292",598,0.463
30,Tennessee ,60,"1,525",704,0.462
31,Virginia Tech ,53,"1,410",648,0.460
32,Marshall ,54,"1,448",665,0.459
33,Alabama St. ,57,"1,488",683,0.459
34,McNeese ,61,"1,591",730,0.459
35,Florida ,68,"1,727",792,0.459
36,Virginia ,54,"1,463",669,0.457
37,Albany ,47,"1,154",527,0.457
38,Kennesaw St. ,60,"1,668",761,0.456
39,Illinois ,59,"1,605",729,0.454
40,St. John's ,48,"1,310",594,0.453
41,Utah ,53,"1,400",634,0.453
42,Georgia ,58,"1,537",696,0.453
43,Mount St. Mary's ,51,"1,350",610,0.452
44,North Carolina ,61,"1,608",726,0.451
45,Towson ,50,"1,372",618,0.450
46,UNC Greensboro ,55,"1,285",574,0.447
47,Syracuse ,50,"1,382",614,0.444
48,George Washington ,52,"1,410",626,0.444
49,Villanova ,55,"1,513",669,0.442
50,Providence ,48,"1,276",564,0.442
51,Georgia St. ,61,"1,691",746,0.441
52,Murray St. ,56,"1,528",674,0.441
53,Missouri ,57,"1,495",657,0.439
54,Auburn ,61,"1,577",693,0.439
55,Miami ,53,"1,333",585,0.439
56,Baylor ,63,"1,703",746,0.438
57,Belmont ,57,"1,574",687,0.436
58,UNI ,52,"1,376",599,0.435
59,Fresno St. ,58,"1,512",658,0.435
60,Eastern Ky. ,58,"1,541",670,0.435
61,Idaho St. ,46,"1,228",533,0.434
62,East Carolina ,56,"1,412",611,0.433
63,DePaul ,52,"1,374",594,0.432
64,LIU ,52,"1,384",597,0.431
65,Col. of Charleston ,56,"1,509",650,0.431
66,Charlotte ,53,"1,359",585,0.430
67,Weber St. ,60,"1,681",722,0.430
68,Western Mich. ,54,"1,477",634,0.429
69,Columbia ,48,"1,256",539,0.429
70,South Dakota ,54,"1,418",607,0.428
71,Southeast Mo. St. ,50,"1,327",568,0.428
72,Notre Dame ,57,"1,543",658,0.426
73,Bethune-Cookman ,57,"1,481",631,0.426
74,Wisconsin ,52,"1,352",576,0.426
75,Liberty ,72,"1,815",772,0.425
76,Charleston So. ,62,"1,547",658,0.425
77,South Carolina ,59,"1,469",624,0.425
78,Brown ,45,"1,166",495,0.425
79,Houston ,55,"1,449",615,0.424
80,Southern U. ,39,986,418,0.424
81,USC Upstate ,58,"1,515",642,0.424
82,Hawaii ,52,"1,353",573,0.424
83,Marist ,59,"1,662",702,0.422
84,ETSU ,55,"1,452",613,0.422
85,Campbell ,58,"1,598",674,0.422
86,Binghamton ,47,"1,212",511,0.422
87,Princeton ,45,"1,213",511,0.421
88,Hofstra ,50,"1,230",518,0.421
89,Louisville ,50,"1,381",580,0.420
90,Louisiana Tech ,62,"1,606",674,0.420
91,Colgate ,44,"1,126",470,0.417
92,UT Martin ,59,"1,546",645,0.417
93,Saint Louis ,50,"1,314",548,0.417
94,Nevada ,55,"1,487",620,0.417
95,Penn ,40,"1,137",474,0.417
96,Ohio ,62,"1,574",656,0.417
97,Ga. Southern ,53,"1,345",560,0.416
98,Morehead St. ,48,"1,200",499,0.416
99,Oregon St. ,55,"1,462",607,0.415
100,UTSA ,53,"1,465",608,0.415
101,Kentucky ,58,"1,526",633,0.415
102,Georgia Tech ,53,"1,444",598,0.414
103,Kansas ,52,"1,354",560,0.414
104,Ark.-Pine Bluff ,44,"1,127",466,0.413
105,Dayton ,56,"1,499",618,0.412
106,Northern Ill. ,54,"1,438",591,0.411
107,Alcorn ,47,"1,220",501,0.411
108,New Mexico ,50,"1,325",544,0.411
109,Delaware ,53,"1,413",580,0.410
110,Cornell ,42,"1,176",482,0.410
111,Texas Tech ,55,"1,430",585,0.409
112,Valparaiso ,51,"1,345",549,0.408
113,SIUE ,54,"1,381",563,0.408
114,Oklahoma St. ,63,"1,592",649,0.408
115,Western Ill. ,54,"1,480",603,0.407
116,Western Caro. ,48,"1,240",504,0.406
117,UTEP ,48,"1,265",514,0.406
118,Pittsburgh ,47,"1,258",511,0.406
119,Sacramento St. ,50,"1,323",537,0.406
120,FIU ,61,"1,544",626,0.405
121,San Jose St. ,56,"1,463",593,0.405
122,LSU ,70,"1,790",725,0.405
123,Stony Brook ,47,"1,230",498,0.405
124,Omaha ,45,"1,163",470,0.404
125,Kansas City ,55,"1,347",544,0.404
126,Harvard ,41,"1,095",442,0.404
127,Colorado St. ,50,"1,336",538,0.403
128,Dartmouth ,40,"1,051",423,0.402
129,Ole Miss ,63,"1,683",677,0.402
130,Seattle U ,52,"1,473",592,0.402
131,Ball St. ,58,"1,484",595,0.401
132,Stetson ,47,"1,253",502,0.401
133,Bradley ,53,"1,379",552,0.400
134,Pacific ,54,"1,382",552,0.399
135,UMBC ,52,"1,410",563,0.399
136,Nebraska ,53,"1,352",538,0.398
137,Iona ,51,"1,350",537,0.398
138,Chattanooga ,55,"1,351",537,0.397
139,Coastal Carolina ,55,"1,302",517,0.397
140,North Florida ,58,"1,592",632,0.397
141,Texas ,59,"1,601",635,0.397
142,Mississippi St. ,58,"1,554",616,0.396
143,Tennessee Tech ,46,"1,206",478,0.396
144,NC State ,56,"1,471",581,0.395
145,UT Arlington ,60,"1,565",617,0.394
146,Boston College ,53,"1,401",552,0.394
147,Monmouth ,56,"1,478",582,0.394
148,Southern Utah ,46,"1,184",466,0.394
149,Robert Morris ,52,"1,386",545,0.393
