Rank,College,G,SB,CS,PG
249,Princeton ,42,19,7,0.45
250,San Jose St. ,56,25,8,0.45
251,UTSA ,54,24,7,0.44
252,Cornell ,41,18,9,0.44
253,Sacred Heart ,44,19,10,0.43
253,Niagara ,44,19,5,0.43
255,Louisville ,49,21,8,0.43
256,UC Santa Barbara ,54,23,11,0.43
256,South Dakota ,54,23,8,0.43
258,Sam Houston St. ,47,20,6,0.43
259,Houston Baptist ,45,19,1,0.42
260,Quinnipiac ,50,21,5,0.42
260,Buffalo ,50,21,9,0.42
262,Sacramento St. ,54,22,9,0.41
262,Stanford ,54,22,4,0.41
264,Ark.-Pine Bluff ,40,16,6,0.40
265,Auburn ,67,26,5,0.39
266,UT Arlington ,55,21,2,0.38
267,Western Mich. ,51,19,6,0.37
267,Ga. Southern ,51,19,1,0.37
269,Manhattan ,46,17,7,0.37
270,Tennessee Tech ,61,22,10,0.36
271,Yale ,34,12,2,0.35
272,Rhode Island ,44,15,8,0.34
273,Evansville ,55,18,10,0.33
274,Penn St. ,57,18,7,0.32
275,LMU ,54,17,3,0.31
276,UAB ,51,16,3,0.31
277,Iowa ,59,18,4,0.31
278,Utah St. ,55,16,1,0.29
279,Southeastern La. ,52,15,8,0.29
280,Providence ,39,11,4,0.28
281,Cal Poly ,55,14,15,0.25
282,Northwestern St. ,54,13,4,0.24
283,Massachusetts ,43,10,2,0.23
284,Arizona St. ,58,12,6,0.21
285,Wagner ,34,7,2,0.21
286,Norfolk St. ,41,8,4,0.20
287,North Dakota ,55,10,6,0.18
288,Lafayette ,41,6,7,0.15
289,Chattanooga ,50,6,5,0.12
