Rank,College,G,AB,TB,SLG PCT
1,Louisiana ,55,"1,436",893,0.622
2,Oregon ,58,"1,528",945,0.618
3,Michigan ,59,"1,521",896,0.589
4,Washington ,54,"1,494",833,0.558
5,Texas A&M ,59,"1,545",852,0.551
6,Pittsburgh ,52,"1,353",739,0.546
7,Oklahoma ,65,"1,798",967,0.538
8,San Jose St. ,52,"1,442",773,0.536
9,Omaha ,59,"1,573",843,0.536
10,Coastal Carolina ,59,"1,612",856,0.531
11,Binghamton ,49,"1,320",695,0.527
12,Auburn ,70,"1,889",991,0.525
13,Tennessee ,59,"1,473",770,0.523
14,Minnesota ,57,"1,534",798,0.520
15,Saint Francis ,58,"1,530",790,0.516
16,LMU ,53,"1,403",723,0.515
17,Georgia ,66,"1,724",887,0.515
18,UCLA ,57,"1,470",756,0.514
19,Towson ,54,"1,401",720,0.514
20,Missouri ,58,"1,572",806,0.513
21,New Mexico St. ,59,"1,523",771,0.506
22,Florida St. ,65,"1,640",828,0.505
23,Nevada ,47,"1,301",655,0.503
24,Hofstra ,46,"1,258",633,0.503
25,Marist ,58,"1,583",794,0.502
26,Fresno St. ,55,"1,525",761,0.499
27,Samford ,60,"1,656",824,0.498
28,USC Upstate ,58,"1,532",760,0.496
29,South Fla. ,61,"1,517",751,0.495
30,Baylor ,59,"1,600",792,0.495
31,Notre Dame ,56,"1,554",769,0.495
32,Alabama ,65,"1,651",812,0.492
33,Ohio St. ,55,"1,479",727,0.492
34,Albany ,52,"1,353",664,0.491
35,Utah St. ,51,"1,425",698,0.490
36,Youngstown St. ,51,"1,435",702,0.489
37,Delaware St. ,48,"1,373",669,0.487
38,Arizona St. ,57,"1,539",745,0.484
39,Northern Ill. ,55,"1,448",699,0.483
40,Furman ,61,"1,650",793,0.481
41,UNC Greensboro ,59,"1,549",742,0.479
42,North Dakota St. ,54,"1,444",690,0.478
43,Louisiana Tech ,54,"1,445",689,0.477
44,UTEP ,55,"1,469",699,0.476
45,LSU ,70,"1,828",868,0.475
46,Jacksonville St. ,60,"1,628",773,0.475
47,Nebraska ,56,"1,540",731,0.475
48,Alabama St. ,55,"1,500",712,0.475
49,UNI ,57,"1,494",709,0.475
50,Wichita St. ,57,"1,508",715,0.474
51,James Madison ,56,"1,466",692,0.472
