Rank,College
1,Florida
2,Alabama
3,Oregon
3,Baylor
5,Kentucky
5,Oklahoma 
7,ULL
7,Florida State
9,Nebraska
9,Tennessee
9,Arizona  
9,UCLA
9,Georgia
9,Washington
9,Michigan
9,Minnesota
17,Auburn
17,Wisconsin
17,South Florida
17,Arizona State
17,Northwestern  
17,UCF
17,Tulsa
17,NC State
17,Notre Dame
17,DePaul
17,Texas  
17,LSU
17,Lipscomb
17,Texas A&M
17,South Alabama
17,Missouri
33,Albany
33,North Dakota State
33,San Diego State
33,South Carolina
33,Stetson
33,BYU
33,Houston
33,UAB
33,Long Beach State
33,James Madison
33,Boston U
33,Mississippi State
33,Hofstra
33,Virginia Tech
33,Kansas
33,USC Upstate
49,Bradley
49,SIU Edwardsville
49,Charleston Southern
49,Bryant
49,Texas Southern
49,Louisville
49,Ohio
49,Southern Utah
49,Northwestern State
49,Chattanooga
49,Iona
49,Florida A&M
49,Fordham
49,Dartmouth
49,Green Bay
49,Utah Valley
