Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
1,Oregon,Pac-12,54-8-0,11-4-0,17-2-0,26-2-0,0-0-0
2,UCLA,Pac-12,48-15-0,13-3-0,14-6-0,21-6-0,0-0-0
3,Florida,Southeastern,58-10-0,12-3-0,16-3-0,30-4-0,0-0-0
4,Washington,Pac-12,50-14-0,15-4-0,15-5-0,20-5-0,0-0-0
5,Arizona,Pac-12,52-9-0,13-4-0,9-1-0,30-4-0,0-0-0
6,Oklahoma,Big 12,61-9-0,18-0-0,19-7-0,24-2-0,0-0-0
7,Auburn,Southeastern,49-12-0,10-4-0,8-2-0,31-6-0,0-0-0
8,Florida St.,Atlantic Coast,55-8-1,19-5-0,7-1-1,29-2-0,0-0-0
9,Baylor,Big 12,48-15-0,12-9-0,9-4-0,27-2-0,0-0-0
10,Texas A&M,Southeastern,47-13-0,11-4-0,5-3-0,31-6-0,0-0-0
11,LSU,Southeastern,48-22-0,9-10-0,8-6-0,31-6-0,0-0-0
12,Tennessee,Southeastern,48-12-0,10-4-0,11-2-0,27-6-0,0-0-0
13,Minnesota,Big Ten,56-5-0,20-5-0,20-0-0,16-0-0,0-0-0
14,Alabama,Southeastern,46-18-0,10-11-0,6-1-0,30-6-0,0-0-0
15,James Madison,Colonial,52-8-0,16-4-0,20-2-0,16-2-0,0-0-0
16,Utah,Pac-12,37-16-0,12-6-0,16-4-0,9-6-0,0-0-0
17,Louisiana,Sun Belt,47-8-0,13-3-0,4-0-0,30-5-0,0-0-0
18,Kentucky,Southeastern,39-19-0,15-9-0,10-4-0,14-6-0,0-0-0
19,Ole Miss,Southeastern,43-20-0,6-12-0,14-2-0,23-6-0,0-0-0
20,Michigan,Big Ten,43-13-1,13-7-0,13-5-1,17-1-0,0-0-0
21,BYU,West Coast,46-13-0,14-7-0,16-6-0,16-0-0,0-0-0
22,South Carolina,Southeastern,34-25-0,6-11-0,7-5-0,22-9-0,0-0-0
23,California,Pac-12,32-24-0,4-13-0,16-3-0,12-8-0,0-0-0
24,Georgia,Southeastern,35-23-0,3-12-0,8-3-0,24-8-0,0-0-0
25,Tulsa,AAC,41-17-0,14-7-0,16-6-0,11-4-0,0-0-0
26,Arizona St.,Pac-12,31-22-0,5-9-0,6-5-0,20-8-0,0-0-0
27,Illinois,Big Ten,39-20-0,11-8-0,16-6-0,12-6-0,0-0-0
28,Oklahoma St.,Big 12,38-25-0,6-12-0,15-7-0,17-6-0,0-0-0
29,Texas St.,Sun Belt,42-17-0,13-7-0,12-5-0,17-5-0,0-0-0
30,Texas,Big 12,33-26-0,10-11-0,7-5-0,16-10-0,0-0-0
31,Marshall,Conference USA,42-12-0,12-6-0,15-5-0,15-1-0,0-0-0
32,North Carolina,Atlantic Coast,40-21-0,7-10-0,8-4-0,25-7-0,0-0-0
33,Mississippi St.,Southeastern,36-22-0,7-11-0,5-4-0,24-7-0,0-0-0
34,Jacksonville St.,OVC,41-12-0,11-4-0,17-4-0,13-4-0,0-0-0
35,Arkansas,Southeastern,31-24-0,9-14-0,9-2-0,13-8-0,0-0-0
36,Ohio St.,Big Ten,35-18-0,12-6-0,13-8-0,10-4-0,0-0-0
37,Missouri,Southeastern,29-28-0,5-8-0,10-9-0,14-11-0,0-0-0
38,USC Upstate,ASUN,45-13-0,12-6-0,8-4-0,25-3-0,0-0-0
39,Notre Dame,Atlantic Coast,34-23-0,8-8-0,12-9-0,14-6-0,0-0-0
40,Wisconsin,Big Ten,35-17-0,14-5-0,18-3-0,3-9-0,0-0-0
41,SIUE,OVC,41-13-0,8-8-0,21-2-0,12-3-0,0-0-0
42,Fordham,Atlantic 10,46-17-0,12-8-0,21-5-0,13-4-0,0-0-0
43,McNeese,Southland,43-18-0,14-9-0,12-5-0,17-4-0,0-0-0
44,FIU,Conference USA,46-15-0,7-6-0,15-7-0,24-2-0,0-0-0
45,San Diego St.,Mountain West,31-18-0,6-8-0,9-3-0,16-7-0,0-0-0
46,Kennesaw St.,ASUN,40-20-0,11-6-0,7-3-0,22-11-0,0-0-0
47,Cal St. Fullerton,Big West,35-23-0,15-5-0,6-6-0,14-12-0,0-0-0
48,Fresno St.,Mountain West,35-23-0,8-7-0,10-8-0,17-8-0,0-0-0
49,Oregon St.,Pac-12,28-27-0,7-11-0,12-7-0,9-9-0,0-0-0
50,South Fla.,AAC,32-24-0,5-6-0,6-8-0,21-10-0,0-0-0
51,Saint Francis (PA),Northeast,49-11-0,22-4-0,16-6-0,11-1-0,0-0-0
52,Lipscomb,ASUN,36-20-0,11-6-0,7-7-0,18-7-0,0-0-0
53,San Jose St.,Mountain West,37-19-0,12-8-0,16-9-0,9-2-0,0-0-0
54,Central Mich.,Mid-American,37-15-0,10-3-0,15-8-0,12-4-0,0-0-0
55,Ohio,Mid-American,42-18-0,12-11-0,20-4-0,10-3-0,0-0-0
56,South Ala.,Sun Belt,35-20-0,9-10-0,6-3-0,20-7-0,0-0-0
57,Fla. Atlantic,Conference USA,35-21-0,8-9-0,0-4-0,27-8-0,0-0-0
58,Cal Poly,Big West,38-21-0,9-8-0,18-7-0,11-6-0,0-0-0
59,Georgia St.,Sun Belt,36-25-0,11-13-0,10-3-0,15-9-0,0-0-0
60,Louisville,Atlantic Coast,31-19-0,7-3-0,9-6-0,15-10-0,0-0-0
