Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
1,Oklahoma,Big 12,57-4,13-2,24- 0- 0,20-2,0-0
2,Texas,Big 12,51-10,9-2,13- 5- 0,29-3,0-0
3,Florida,Southeastern,58-9,13-3,13- 3- 0,32-3,0-0
4,Tennessee,Southeastern,52-12,12-5,19- 5- 0,21-2,0-0
5,Michigan,Big Ten,51-13,10-5,20- 7- 0,21-1,0-0
6,Washington,Pac-12,45-17,12-5,17- 8- 0,16-4,0-0
7,Oregon,Pac-12,50-11,11-5,21- 4- 0,18-2,0-0
8,Arizona St.,Pac-12,50-12,7-6,3- 2- 0,40-4,0-0
9,Alabama,Southeastern,45-15,10-8,9- 1- 0,26-6,0-0
10,Missouri,Southeastern,38-14,15-5,9- 2- 0,14-7,0-0
11,Nebraska,Big Ten,45-16,17-7,10- 5- 0,18-4,0-0
12,Kentucky,Southeastern,41-21,14-10,13- 2- 0,14-9,0-0
13,LSU,Southeastern,42-16,9-6,7- 4- 0,26-6,0-0
14,La.-Lafayette,Sun Belt,47-15,14-6,12- 7- 0,21-2,0-0
15,South Ala.,Sun Belt,48-9,16-1,12- 3- 0,20-5,0-0
16,Florida St.,Atlantic Coast,44-19,14-6,2- 4- 0,28-9,0-0
17,Texas A&M,Southeastern,42-18,6-10,7- 2- 0,29-6,0-0
18,Louisville,Big East,47-13,11-6,12- 2- 0,24-5,0-0
19,Hofstra,Colonial,46-13,13-4,10- 7- 0,23-2,0-0
20,UCLA,Pac-12,40-20,10-7,18- 3- 0,12-10,0-0
21,Hawaii,Big West,45-13,12-3,5- 3- 0,28-7,0-0
22,California,Pac-12,38-19,8-10,21- 3- 0,9-6,0-0
23,Wisconsin,Big Ten,44-13,13-6,24- 3- 0,7-4,0-0
24,Baylor,Big 12,42-17,9-10,11- 2- 0,22-5,0-0
25,Stanford,Pac-12,39-21,7-10,12- 5- 0,20-6,0-0
26,Western Ky.,Sun Belt,43-18,15-12,10- 3- 0,18-3,0-0
27,Arkansas,Southeastern,36-20,7-10,8- 4- 0,21-6,0-0
28,Georgia,Southeastern,40-21,8-8,8- 5- 0,24-8,0-0
29,UAB,Conference USA,40-19,13-10,10- 5- 0,17-4,0-0
30,Tulsa,Conference USA,42-16,16-8,12- 5- 1,14-3,0-0
31,Arizona,Pac-12,33-26,5-9,8- 10- 0,20-7,0-0
32,Minnesota,Big Ten,36-19,17-9,14- 9- 0,5-1,0-0
33,Virginia Tech,Atlantic Coast,38-21,15-7,17- 4- 0,6-10,0-0
34,North Carolina St.,Atlantic Coast,35-20,17-7,8- 8- 1,10-5,0-0
35,South Fla.,Big East,45-16,9-4,7- 5- 0,29-7,0-0
36,Houston,Conference USA,41-20,18-6,2- 3- 0,21-11,0-0
37,South Carolina,Southeastern,34-25,12-11,14- 4- 0,8-10,0-0
38,Mississippi St.,Southeastern,33-24,8-13,11- 2- 0,14-9,0-0
39,Iowa,Big Ten,30-24,13-7,13- 6- 0,4-11,0-0
40,Oregon St.,Pac-12,34-24,5-12,21- 6- 0,8-6,0-0
41,James Madison,Colonial,42-17,13-7,15- 8- 0,14-2,0-0
42,North Carolina,Atlantic Coast,40-21,6-13,11- 5- 0,23-3,0-0
43,USC Upstate,Atlantic Sun,42-12,14-7,3- 2- 0,25-3,0-0
44,Notre Dame,Big East,43-15,16-4,17- 8- 0,10-3,0-0
45,Northwestern,Big Ten,31-22,5-8,14- 10- 0,12-4,0-0
46,DePaul,Big East,32-21,12-5,12- 10- 0,8-6,0-0
47,Illinois St.,Missouri Valley,28-20,7-6,12- 10- 0,9-4,0-0
48,San Diego St.,Mountain West,36-20,7-5,11- 10- 0,18-5,0-0
49,Lipscomb,Atlantic Sun,35-24,17-8,6- 3- 0,12-13,0-0
50,Kansas,Big 12,34-16,12-7,18- 3- 0,4-6,0-0
51,Georgia St.,Colonial,36-19,11-9,5- 3- 0,20-7,0-0
52,North Florida,Atlantic Sun,42-15,11-6,10- 4- 0,21-5,0-0
53,Oklahoma St.,Big 12,30-26,4-8,12- 8- 0,14-10,0-0
54,Long Beach St.,Big West,37-20,9-4,14- 8- 0,14-8,0-0
55,FGCU,Atlantic Sun,36-18,8-6,6- 5- 0,22-7,0-0
56,Kennesaw St.,Atlantic Sun,34-20,10-9,3- 2- 0,21-9,0-0
57,San Jose St.,Western Athletic,42-17,8-8,16- 7- 0,18-2,0-0
58,Cal St. Fullerton,Big West,28-28,8-5,3- 6- 0,17-17,0-0
59,Texas Tech,Big 12,30-26,7-7,14- 7- 0,9-12,0-0
60,Ohio St.,Big Ten,34-22,8-11,14- 6- 0,12-5,0-0
61,Sam Houston St.,Southland,37-24,14-14,7- 6- 0,16-4,0-0
62,North Dakota St.,Summit,33-16,9-7,16- 6- 0,8-3,0-0
63,Northwestern St.,Southland,40-15,14-4,7- 4- 0,19-7,0-0
64,Saint Joseph's,Atlantic 10,37-10,12-4,13- 5- 1,12-1,0-0
65,Ball St.,Mid-American,37-17,13-6,15- 9- 0,9-2,0-0
66,Auburn,Southeastern,30-23,7-9,1- 2- 0,22-12,0-0
67,Eastern Ill.,OVC,36-14,12-9,9- 3- 0,15-2,0-0
68,Utah,Pac-12,24-30,7-13,10- 9- 1,7-8,0-0
69,Pacific,Big West,28-28,8-12,8- 9- 0,12-7,0-0
69,Illinois,Big Ten,22-27,8-5,5- 11- 0,9-11,0-0
71,Neb. Omaha,Summit,36-7,11-4,16- 2- 0,9-1,0-0
72,Jacksonville,Atlantic Sun,30-22,12-9,6- 1- 0,12-12,0-0
73,Ga. Southern,Southern,33-30,9-11,7- 11- 0,17-8,0-0
74,North Texas,Sun Belt,29-24,12-9,8- 5- 0,9-10,0-0
75,Syracuse,Big East,23-29,7-10,8- 12- 0,8-7,0-0
76,Longwood,Big South,41-20,22-8,9- 5- 0,10-7,0-0
77,SIU Edwardsville,OVC,35-13,11-3,13- 6- 0,11-4,0-0
78,Ole Miss,Southeastern,25-31,3-15,8- 3- 0,14-13,0-0
79,Fordham,Atlantic 10,36-23,8-7,18- 12- 0,10-4,0-0
80,UCF,Conference USA,29-25,8-10,4- 4- 0,17-11,0-0
81,McNeese St.,Southland,38-15,10-8,9- 2- 0,19-5,0-0
82,FIU,Sun Belt,27-28,8-9,1- 3- 0,18-16,0-0
83,UT Martin,OVC,37-20,9-6,17- 7- 0,10-7,1-0
84,New Mexico St.,Western Athletic,37-20,10-7,6- 6- 0,21-7,0-0
85,Stetson,Atlantic Sun,31-22,4-7,2- 4- 0,25-11,0-0
86,Marshall,Conference USA,36-22,11-11,9- 7- 0,16-4,0-0
87,Creighton,Missouri Valley,29-18,7-7,13- 6- 0,9-5,0-0
88,Central Ark.,Southland,37-21,9-14,6- 5- 0,20-2,2-0
89,IPFW,Summit,34-16,12-6,10- 6- 0,10-4,2-0
90,Georgia Tech,Atlantic Coast,25-30,10-11,2- 9- 0,13-10,0-0
91,Drake,Missouri Valley,29-20,8-10,13- 5- 0,8-5,0-0
92,Maryland,Atlantic Coast,31-26,6-5,7- 13- 0,18-8,0-0
93,Eastern Ky.,OVC,36-20,13-7,11- 7- 0,12-6,0-0
94,Appalachian St.,Southern,31-22,9-17,4- 5- 0,18-0,0-0
95,Central Conn. St.,Northeast,36-15,11-8,9- 5- 0,16-2,0-0
