Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
1,Florida,Southeastern,55-12-0,12-4-0,20-1-0,23-7-0,0-0-0
2,Alabama,Southeastern,53-13-0,13-6-0,12-4-0,28-3-0,0-0-0
3,Oregon,Pac-12,56-9-1,14-2-0,23-5-0,19-2-1,0-0-0
4,Georgia,Southeastern,49-15-0,6-7-0,6-1-0,37-7-0,0-0-0
5,UCLA,Pac-12,52-8-0,13-4-0,8-0-0,31-4-0,0-0-0
6,Oklahoma,Big 12,51-13-0,8-5-0,11-5-0,32-3-0,0-0-0
7,La.-Lafayette,Sun Belt,49-10-1,14-0-0,8-4-0,27-6-1,0-0-0
8,Florida St.,Atlantic Coast,55-9-0,15-3-0,13-4-0,27-2-0,0-0-0
9,Baylor,Big 12,49-16-0,15-4-0,17-5-0,17-7-0,0-0-0
10,Kentucky,Southeastern,50-19-0,17-6-0,13-5-0,20-8-0,0-0-0
11,Michigan,Big Ten,47-15-0,17-7-0,18-5-0,12-3-0,0-0-0
12,Tennessee,Southeastern,46-12-0,12-7-0,12-2-0,22-3-0,0-0-0
13,Arizona St.,Pac-12,46-12-1,6-4-1,5-0-0,35-8-0,0-0-0
14,Arizona,Pac-12,44-16-0,7-10-0,6-3-0,31-3-0,0-0-0
15,Washington,Pac-12,37-15-0,11-5-0,19-4-0,7-6-0,0-0-0
16,Missouri,Southeastern,43-18-0,10-7-0,13-4-0,20-7-0,0-0-0
17,Minnesota,Big Ten,44-12-0,13-7-0,19-2-0,12-3-0,0-0-0
18,Auburn,Southeastern,42-19-1,7-9-1,7-3-0,28-7-0,0-0-0
19,LSU,Southeastern,38-24-0,12-11-0,7-2-0,19-11-0,0-0-0
20,South Ala.,Sun Belt,42-14-0,11-8-0,15-4-0,16-2-0,0-0-0
21,Nebraska,Big Ten,44-18-0,18-6-0,13-9-0,13-3-0,0-0-0
22,Texas A&M,Southeastern,37-22-0,10-10-0,8-2-0,19-10-0,0-0-0
23,Tulsa,Conference USA,53-9-0,17-8-0,15-0-0,21-1-0,0-0-0
24,James Madison,Colonial,45-15-0,12-7-0,16-6-0,17-2-0,0-0-0
25,Notre Dame,Atlantic Coast,41-13-0,10-7-0,18-4-0,13-2-0,0-0-0
26,Texas,Big 12,35-23-0,11-4-0,6-9-0,18-10-0,0-0-0
27,DePaul,Big East,44-11-0,13-6-0,16-5-0,15-0-0,0-0-0
28,UCF,AAC,43-18-0,8-5-0,5-4-0,30-9-0,0-0-0
29,USC Upstate,Atlantic Sun,46-9-0,21-6-0,1-3-0,24-0-0,0-0-0
30,South Fla.,AAC,43-17-0,7-3-0,9-2-0,27-12-0,0-0-0
31,North Carolina St.,Atlantic Coast,36-18-0,8-9-0,6-6-0,22-3-0,0-0-0
32,Wisconsin,Big Ten,36-20-0,11-9-0,13-8-0,12-3-0,0-0-0
33,Lipscomb,Atlantic Sun,41-15-0,12-8-0,9-3-0,20-4-0,0-0-0
34,South Carolina,Southeastern,36-22-0,6-9-0,3-5-0,27-8-0,0-0-0
35,Stetson,Atlantic Sun,39-14-0,11-5-0,6-3-0,22-6-0,0-0-0
36,Mississippi St.,Southeastern,39-21-0,10-10-0,9-4-0,20-7-0,0-0-0
37,Kansas,Big 12,34-23-0,8-12-0,16-7-0,10-4-0,0-0-0
38,Hofstra,Colonial,34-15-0,8-7-0,11-6-0,15-2-0,0-0-0
39,Northwestern,Big Ten,35-18-0,7-9-0,17-5-0,11-4-0,0-0-0
40,UAB,Conference USA,32-27-0,12-13-0,6-7-0,14-7-0,0-0-0
41,North Dakota St.,Summit,36-18-0,14-7-0,14-8-0,8-3-0,0-0-0
42,Mercer,Atlantic Sun,37-19-0,10-12-0,10-2-0,17-5-0,0-0-0
43,San Diego St.,Mountain West,40-19-0,7-7-0,11-6-0,22-6-0,0-0-0
44,Long Beach St.,Big West,39-19-0,12-4-0,15-8-0,12-7-0,0-0-0
45,Virginia Tech,Atlantic Coast,36-23-0,10-13-0,10-5-0,16-5-0,0-0-0
46,McNeese St.,Southland,40-17-0,14-7-0,9-7-0,15-2-0,2-1-0
47,Houston,AAC,33-23-0,9-6-0,4-7-0,20-10-0,0-0-0
48,Louisville,AAC,36-22-0,9-9-0,6-6-0,21-7-0,0-0-0
49,Stanford,Pac-12,30-25-0,5-11-0,11-4-0,14-10-0,0-0-0
50,Col. of Charleston,Colonial,40-16-0,11-6-0,9-5-0,20-5-0,0-0-0
51,FIU,Conference USA,33-20-0,10-10-0,2-3-0,21-7-0,0-0-0
52,Texas Tech,Big 12,35-19-0,6-7-0,12-6-0,16-6-0,1-0-0
53,Cal St. Fullerton,Big West,33-21-1,7-4-1,4-4-0,22-13-0,0-0-0
54,IPFW,Summit,40-15-0,15-8-0,16-5-0,9-2-0,0-0-0
55,Coastal Caro.,Big South,41-15-0,9-5-0,1-2-0,31-8-0,0-0-0
56,UC Santa Barbara,Big West,34-20-0,12-11-0,13-3-0,9-6-0,0-0-0
57,Fordham,Atlantic 10,36-20-0,9-5-0,11-14-0,16-1-0,0-0-0
58,Oklahoma St.,Big 12,26-28-0,4-15-0,10-4-0,12-9-0,0-0-0
59,Fresno St.,Mountain West,31-21-0,7-10-0,7-6-0,17-5-0,0-0-0
60,Ga. Southern,Southern,35-21-0,8-14-0,10-3-0,17-4-0,0-0-0
61,Longwood,Big South,40-16-0,9-8-0,5-3-0,26-5-0,0-0-0
62,Illinois St.,Missouri Valley,25-28-0,9-7-0,9-14-0,7-7-0,0-0-0
63,Utah,Pac-12,31-24-0,5-11-0,8-6-0,18-7-0,0-0-0
64,Georgia St.,Sun Belt,30-26-0,11-12-0,6-4-0,13-10-0,0-0-0
65,Illinois,Big Ten,24-26-0,6-10-0,13-6-0,5-10-0,0-0-0
66,Ohio St.,Big Ten,30-25-0,4-12-0,14-11-0,12-2-0,0-0-0
67,California,Pac-12,23-29-0,6-10-0,11-8-0,6-11-0,0-0-0
68,Kent St.,Mid-American,25-20-0,7-7-0,13-8-0,5-5-0,0-0-0
69,Omaha,Summit,33-16-0,12-4-0,13-7-0,8-5-0,0-0-0
70,Cal Poly,Big West,33-19-0,9-4-0,10-9-0,14-6-0,0-0-0
71,BYU,West Coast,34-23-0,8-5-0,10-16-0,16-2-0,0-0-0
72,Chattanooga,Southern,34-21-0,6-7-0,11-12-0,17-2-0,0-0-0
73,Purdue,Big Ten,27-28-1,7-9-1,12-12-0,8-7-0,0-0-0
74,Oregon St.,Pac-12,18-31-0,5-13-0,8-10-0,5-8-0,0-0-0
75,North Texas,Conference USA,31-22-0,11-10-0,2-2-0,17-10-0,1-0-0
76,Ball St.,Mid-American,33-19-0,8-11-0,16-5-0,9-3-0,0-0-0
77,Arkansas,Southeastern,27-28-0,6-11-0,6-3-0,15-14-0,0-0-0
78,Colorado St.,Mountain West,32-17-0,5-9-0,12-3-0,15-5-0,0-0-0
79,San Jose St.,Mountain West,30-24-0,8-8-0,13-10-0,9-6-0,0-0-0
80,Western Ky.,Sun Belt,33-24-1,13-8-0,9-4-1,11-12-0,0-0-0
81,Boise St.,Mountain West,30-22-0,8-6-0,6-10-0,16-6-0,0-0-0
82,North Carolina,Atlantic Coast,24-26-0,12-11-0,5-4-0,7-11-0,0-0-0
83,Boston College,Atlantic Coast,30-23-0,8-14-0,12-7-0,10-2-0,0-0-0
84,SIU Edwardsville,OVC,30-23-0,10-10-0,8-10-0,12-3-0,0-0-0
85,Wichita St.,Missouri Valley,34-21-0,16-7-0,4-7-0,14-7-0,0-0-0
86,North Florida,Atlantic Sun,26-23-0,8-11-0,7-1-0,11-11-0,0-0-0
87,Rutgers,AAC,28-19-0,10-10-0,10-7-0,8-2-0,0-0-0
88,Albany (NY),America East,34-13-0,14-5-0,11-7-0,9-1-0,0-0-0
89,Georgia Tech,Atlantic Coast,23-24-0,4-9-0,0-1-0,19-14-0,0-0-0
