Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
74,Southeast Mo. St.,OVC,33-20-0,9-13-0,11-4-0,13-3-0,0-0-0
75,Iowa St.,Big 12,23-33-0,9-15-0,13-12-0,1-6-0,0-0-0
76,UT Arlington,Sun Belt,30-28-0,11-15-0,9-4-0,10-9-0,0-0-0
77,UC Riverside,Big West,38-24-0,5-11-0,9-3-0,24-10-0,0-0-0
78,Austin Peay,OVC,39-19-0,17-6-0,10-9-0,12-4-0,0-0-0
79,Nicholls St.,Southland,40-15-0,13-6-0,9-7-0,18-2-0,0-0-0
80,Furman,SoCon,41-15-0,6-9-0,8-3-0,27-3-0,0-0-0
81,Fla. Atlantic,C-USA,30-26-0,6-8-0,6-6-0,18-12-0,0-0-0
82,NC State,ACC,23-31-0,5-13-0,3-1-0,15-17-0,0-0-0
83,Memphis,AAC,37-21-0,7-11-0,8-4-0,22-6-0,0-0-0
84,Missouri St.,MVC,32-20-0,8-11-0,11-4-0,13-5-0,0-0-0
85,Ga. Southern,Sun Belt,28-25-0,7-16-0,9-4-0,12-5-0,0-0-0
86,Towson,CAA,42-19-0,8-12-0,11-2-0,23-5-0,0-0-0
87,Fresno St.,MWC,31-23-0,9-6-0,5-8-0,17-9-0,0-0-0
88,Mercer,SoCon,33-19-0,10-7-0,6-7-0,17-5-0,0-0-0
89,Fordham,Atlantic 10,33-23-0,12-8-0,6-10-0,15-5-0,0-0-0
90,UNLV,MWC,33-20-0,10-7-0,5-2-0,18-11-0,0-0-0
91,Boston U.,Patriot,39-20-0,14-9-0,12-8-0,13-3-0,0-0-0
92,New Mexico St.,WAC,29-24-0,9-9-0,6-7-0,14-8-0,0-0-0
93,Col. of Charleston,CAA,31-27-0,5-14-0,9-3-0,17-10-0,0-0-0
94,Syracuse,ACC,30-20-0,11-10-0,8-6-0,11-4-0,0-0-0
95,Marshall,C-USA,25-29-1,6-16-1,7-8-0,12-5-0,0-0-0
96,Louisiana Tech,C-USA,34-23-0,9-11-0,8-9-0,16-3-0,1-0-0
97,Michigan St.,Big Ten,26-26-0,8-14-0,11-7-0,7-5-0,0-0-0
98,Troy,Sun Belt,34-26-0,10-10-0,11-4-0,13-12-0,0-0-0
99,East Carolina,AAC,23-32-0,5-10-0,6-9-0,12-13-0,0-0-0
100,Saint Francis (PA),NEC,39-19-0,15-9-0,13-10-0,11-0-0,0-0-0
101,Eastern Ill.,OVC,36-20-0,11-10-0,18-6-0,7-4-0,0-0-0
102,San Diego St.,MWC,20-31-0,4-11-0,5-10-0,11-10-0,0-0-0
103,North Florida,ASUN,24-30-0,1-13-0,9-4-0,14-13-0,0-0-0
104,Middle Tenn.,C-USA,39-22-0,8-11-0,19-6-0,12-5-0,0-0-0
105,Stanford,Pac-12,24-31-0,3-11-0,9-6-0,12-14-0,0-0-0
106,Georgia Tech,ACC,28-26-0,9-9-0,5-4-0,14-13-0,0-0-0
107,Duke,ACC,29-27-0,8-15-0,4-5-0,17-7-0,0-0-0
108,Southeastern La.,Southland,38-21-0,15-8-0,6-5-0,17-8-0,0-0-0
109,Creighton,Big East,28-15-0,6-6-0,9-3-0,13-6-0,0-0-0
110,Monmouth,MAAC,32-16-0,9-6-0,9-10-0,14-0-0,0-0-0
111,Iowa,Big Ten,21-32-0,5-14-0,9-7-0,7-11-0,0-0-0
112,Kansas,Big 12,27-25-0,5-10-0,11-2-0,11-13-0,0-0-0
113,South Dakota St.,Summit League,37-18-0,13-8-0,21-8-0,1-2-0,2-0-0
114,Southern Ill.,MVC,31-22-0,9-8-0,13-3-0,9-11-0,0-0-0
115,Colorado St.,MWC,27-23-0,10-10-0,6-6-0,11-7-0,0-0-0
116,Lamar University,Southland,28-28-0,8-13-0,6-4-0,14-11-0,0-0-0
117,Cal Poly,Big West,25-25-0,3-12-0,11-8-0,11-5-0,0-0-0
118,Ball St.,MAC,37-19-0,17-6-0,16-8-0,4-5-0,0-0-0
119,Indiana,Big Ten,26-30-0,10-12-0,4-10-0,12-8-0,0-0-0
120,Toledo,MAC,35-23-0,11-12-0,15-9-0,9-2-0,0-0-0
121,SIUE,OVC,25-21-0,8-12-0,9-5-0,8-4-0,0-0-0
122,Virginia Tech,ACC,23-30-0,5-14-0,11-7-0,7-9-0,0-0-0
123,Illinois St.,MVC,21-33-0,5-15-0,10-11-0,6-7-0,0-0-0
124,CSUN,Big West,23-36-0,5-7-0,9-13-0,9-16-0,0-0-0
125,Hawaii,Big West,23-27-0,4-11-0,5-4-0,14-12-0,0-0-0
126,Nevada,MWC,27-27-0,7-7-0,12-12-0,8-8-0,0-0-0
127,UC Davis,Big West,27-24-0,5-8-0,9-5-0,13-11-0,0-0-0
128,Coastal Caro.,Sun Belt,26-28-0,4-15-0,2-1-0,20-12-0,0-0-0
129,Jacksonville,ASUN,27-29-0,4-7-0,3-5-0,20-17-0,0-0-0
130,Morehead St.,OVC,28-23-0,8-8-0,13-5-0,7-10-0,0-0-0
